725500,OMAHA EPPLEY AIRFIELD,NE,-6,41.317,-95.9,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1995,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,1,A,7,-12.8,A,7,-15.6,A,7,77,A,7,992,A,7,310,A,7,4.1,A,7,19200,B,7,77777,A,7,0.5,E,8,0.066,F,8,0.19,F,8,0,1,D,9,0,C,8,260.2
1/1/1995,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,1,A,7,-13.9,A,7,-15.6,A,7,86,A,7,992,A,7,310,A,7,3.1,A,7,16000,B,7,77777,A,7,0.5,E,8,0.066,F,8,0.19,F,8,0,1,D,9,0,C,8,259.3141985
1/1/1995,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,0,A,7,-13.3,A,7,-15.6,A,7,81,A,7,992,A,7,310,A,7,4.6,A,7,16000,B,7,77777,A,7,0.4,E,8,0.066,F,8,0.19,F,8,0,1,D,9,0,C,8,258.8625033
1/1/1995,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,A,7,0,A,7,-15.6,A,7,-17.2,A,7,86,A,7,992,A,7,340,A,7,2.6,A,7,16000,B,7,77777,A,7,0.4,E,8,0.066,F,8,0.19,F,8,0,1,D,9,0,C,8,258.0899453
1/1/1995,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,3,A,7,-15,A,7,-17.8,A,7,77,A,7,991,A,7,360,A,7,2.1,A,7,16000,B,7,77777,A,7,0.4,E,8,0.066,F,8,0.19,F,8,0,1,D,9,0,C,8,257.4685891
1/1/1995,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-16.1,A,7,-18.3,A,7,81,A,7,992,A,7,330,A,7,3.1,A,7,16000,B,7,77777,A,7,0.3,E,8,0.066,F,8,0.19,F,8,0,1,D,9,0,C,8,256.8875575
1/1/1995,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-16.1,A,7,-18.3,A,7,81,A,7,992,A,7,320,A,7,3.1,A,7,16000,B,7,77777,A,7,0.4,E,8,0.066,F,8,0.19,F,8,0,1,D,9,0,C,8,256.40253
1/1/1995,8:00,2,200,0,1,10,1,1,16,0,1,10,0,1,10,0,1,16,0,1,10,0,1,21,0,A,7,0,A,7,-17.2,A,7,-20,A,7,77,A,7,992,A,7,350,A,7,1.5,A,7,16000,B,7,77777,A,7,0.4,E,8,0.066,F,8,0.19,F,8,0,1,D,9,0,C,8,255.8163465
1/1/1995,9:00,138,1415,50,1,10,133,1,16,37,1,10,52,1,10,63,1,16,46,1,10,69,1,21,1,A,7,1,A,7,-16.7,A,7,-18.9,A,7,81,A,7,992,A,7,360,A,7,2.6,A,7,19200,B,7,77777,A,7,0.4,E,8,0.066,F,8,0.19,F,8,0,1,D,9,0,C,8,255.7031308
1/1/1995,10:00,335,1415,164,1,10,347,1,16,81,1,10,170,1,10,281,1,16,103,1,10,149,1,21,2,A,7,2,A,7,-14.4,A,7,-17.8,A,7,73,A,7,993,A,7,340,A,7,1.5,A,7,24000,B,7,77777,A,7,0.4,E,8,0.066,F,8,0.19,F,8,0,1,D,9,0,C,8,256.802998
1/1/1995,11:00,487,1415,298,1,10,628,1,16,82,1,10,311,1,10,576,1,16,111,1,10,157,1,21,1,A,7,1,A,7,-11.1,A,7,-16.1,A,7,63,A,7,992,A,7,290,A,7,3.1,A,7,24000,B,7,77777,A,7,0.4,E,8,0.066,F,8,0.19,F,8,0,1,D,9,0,C,8,259.6447248
1/1/1995,12:00,581,1415,349,1,10,549,1,16,123,1,10,372,1,10,531,1,16,153,1,10,240,1,21,1,A,7,1,A,7,-9.4,A,7,-15,A,7,60,A,7,991,A,7,290,A,7,3.1,A,7,24000,B,7,77777,A,7,0.4,E,8,0.066,F,8,0.19,F,8,0,1,D,9,0,C,8,263.297455
1/1/1995,13:00,611,1415,328,1,10,473,1,16,123,1,10,351,1,10,463,1,16,151,1,10,242,1,21,3,A,7,3,A,7,-8.3,A,7,-14.4,A,7,58,A,7,990,A,7,280,A,7,5.2,A,7,24000,B,7,77777,A,7,0.4,E,8,0.066,F,8,0.19,F,8,0,1,D,9,0,C,8,265.8954079
1/1/1995,14:00,575,1415,364,1,10,578,1,16,129,1,10,386,1,10,557,1,16,158,1,10,252,1,21,2,A,7,2,A,7,-8.3,A,7,-14.4,A,7,58,A,7,989,A,7,270,A,7,6.2,A,7,24000,B,7,77777,A,7,0.4,E,8,0.066,F,8,0.19,F,8,0,1,D,9,0,C,8,268.4372125
1/1/1995,15:00,475,1415,290,1,10,623,1,16,81,1,10,302,1,10,567,1,16,110,1,10,154,1,21,0,A,7,0,A,7,-7.8,A,7,-14.4,A,7,55,A,7,989,A,7,290,A,7,6.7,A,7,24000,B,7,77777,A,7,0.4,E,8,0.066,F,8,0.19,F,8,0,1,D,9,0,C,8,270.8837602
1/1/1995,16:00,318,1415,164,1,10,461,1,16,61,1,10,169,1,10,368,1,16,86,1,10,109,1,21,0,A,7,0,A,7,-7.8,A,7,-14.4,A,7,55,A,7,989,A,7,290,A,7,6.7,A,7,24000,B,7,77777,A,7,0.4,E,8,0.066,F,8,0.19,F,8,0,1,D,9,0,C,8,271.4811342
1/1/1995,17:00,118,1415,39,1,10,141,1,16,27,1,10,40,1,10,65,1,16,35,1,10,48,1,21,0,A,7,0,A,7,-7.8,A,7,-14.4,A,7,55,A,7,989,A,7,270,A,7,3.1,A,7,24000,B,7,77777,A,7,0.4,E,8,0.066,F,8,0.19,F,8,0,1,D,9,0,C,8,269.3865951
1/1/1995,18:00,0,83,0,1,10,0,1,16,0,1,10,0,1,10,0,1,16,0,1,10,0,1,21,0,A,7,0,A,7,-8.9,A,7,-14.4,A,7,61,A,7,989,A,7,250,A,7,3.1,A,7,24000,B,7,77777,A,7,0.4,E,8,0.066,F,8,0.19,F,8,0,1,D,9,0,C,8,266.3766606
1/1/1995,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-8.9,A,7,-14.4,A,7,61,A,7,989,A,7,250,A,7,4.1,A,7,24000,B,7,77777,A,7,0.4,E,8,0.066,F,8,0.19,F,8,0,1,D,9,0,C,8,264.4470347
1/1/1995,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-9.4,A,7,-14.4,A,7,64,A,7,989,A,7,270,A,7,5.2,A,7,24000,B,7,77777,A,7,0.4,E,8,0.066,F,8,0.19,F,8,0,1,D,9,0,C,8,263.3568892
