725510,LINCOLN MUNICIPAL ARPT,NE,-6,40.833,-96.767,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2003,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,0.6,A,7,-10,A,7,41,A,7,971,A,7,130,A,7,2.1,A,7,16000,B,7,77777,A,7,1.1,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,273.6
1/1/2003,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,7,E,9,0,A,7,-10,A,7,43,A,7,970,A,7,130,A,7,3.6,A,7,16000,B,7,77777,A,7,1.1,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,272.4381907
1/1/2003,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,0.6,A,7,-10,A,7,41,A,7,971,A,7,80,A,7,2.6,A,7,16000,B,7,77777,A,7,1.1,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,272.2532058
1/1/2003,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,8,E,9,-1.1,A,7,-10,A,7,47,A,7,971,A,7,80,A,7,2.1,A,7,16000,B,7,77777,A,7,1,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,271.5413754
1/1/2003,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,B,8,7,B,8,-1.1,A,7,-10,A,7,47,A,7,971,A,7,60,A,7,2.1,A,7,16000,B,7,77777,A,7,0.9,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,271.083736
1/1/2003,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,5,E,9,-2.2,A,7,-10,A,7,51,A,7,971,A,7,60,A,7,3.6,A,7,16000,B,7,77777,A,7,0.8,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,270.2400229
1/1/2003,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,6,E,9,-5,A,7,-10.6,A,7,61,A,7,972,A,7,40,A,7,3.6,A,7,16000,B,7,77777,A,7,0.8,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,268.5852076
1/1/2003,8:00,1,153,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,6,E,9,-5,A,7,-10,A,7,65,A,7,973,A,7,30,A,7,3.1,A,7,16000,B,7,77777,A,7,0.8,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,267.5304681
1/1/2003,9:00,132,1415,59,2,9,129,2,21,47,2,9,61,2,9,59,2,21,55,2,9,93,2,25,9,E,9,4,E,9,-2.8,A,7,-9.4,A,7,57,A,7,974,A,7,20,A,7,3.1,A,7,16000,B,7,77777,A,7,0.8,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,268.0663583
1/1/2003,10:00,333,1415,105,2,9,39,2,21,96,2,9,115,2,9,34,2,21,107,2,9,240,2,25,9,E,9,7,E,9,-1.7,A,7,-10,A,7,49,A,7,974,A,7,50,A,7,4.1,A,7,16000,B,7,3658,A,7,0.8,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,268.7160051
1/1/2003,11:00,489,1415,239,2,9,290,2,21,138,2,9,253,2,9,275,2,21,157,2,9,283,2,25,9,E,9,8,E,9,0,A,7,-10,A,7,43,A,7,975,A,7,50,A,7,4.1,A,7,16000,B,7,5486,A,7,0.8,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,270.0658693
1/1/2003,12:00,588,1415,263,2,9,140,2,21,205,2,9,284,2,9,138,2,21,226,2,9,485,2,25,7,E,9,6,E,9,1.7,A,7,-10.6,A,7,36,A,7,974,A,7,40,A,7,4.6,A,7,16000,B,7,6096,A,7,0.8,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,271.5685625
1/1/2003,13:00,622,1415,289,2,9,150,2,21,223,2,9,311,2,9,150,2,21,245,2,9,535,2,25,0,E,9,0,A,7,2.8,A,7,-11.1,A,7,32,A,7,975,A,7,40,A,7,6.2,A,7,16000,B,7,77777,A,7,0.8,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,272.8197859
1/1/2003,14:00,589,1415,325,2,9,387,2,21,163,2,9,347,2,9,387,2,21,185,2,9,345,2,25,5,E,9,5,A,7,4.4,A,7,-11.7,A,7,27,A,7,975,A,7,70,A,7,5.7,A,7,16000,B,7,77777,A,7,0.8,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,275.8512358
1/1/2003,15:00,492,1415,288,2,9,551,2,21,95,2,9,296,2,9,503,2,21,120,2,9,177,2,25,5,E,9,5,A,7,3.3,A,7,-13.9,A,7,24,A,7,975,A,7,50,A,7,6.2,A,7,16000,B,7,77777,A,7,0.8,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,278.2586868
1/1/2003,16:00,337,1415,176,2,9,442,2,21,70,2,9,179,2,9,358,2,21,93,2,9,124,2,25,9,E,9,9,A,7,2.8,A,7,-15,A,7,22,A,7,976,A,7,40,A,7,6.7,A,7,16000,B,7,1829,A,7,0.8,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,279.4264678
1/1/2003,17:00,137,1415,38,2,9,73,2,21,31,2,9,41,2,9,35,2,21,37,2,9,56,2,25,10,E,9,10,E,9,1.7,A,7,-12.8,A,7,29,A,7,976,A,7,50,A,7,4.6,A,7,16000,B,7,1676,A,7,0.9,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,277.0231095
1/1/2003,18:00,2,200,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,A,7,1.1,A,7,-10.6,A,7,37,A,7,975,A,7,30,A,7,5.2,A,7,16000,B,7,1676,A,7,0.9,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,274.2379188
1/1/2003,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,0.6,A,7,-9.4,A,7,43,A,7,977,A,7,20,A,7,5.7,A,7,16000,B,7,2134,A,7,0.9,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,272.7273015
1/1/2003,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,0,A,7,-6.7,A,7,57,A,7,977,A,7,10,A,7,5.7,A,7,16000,B,7,1524,A,7,1,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,273.0073108
