725524,ORD/SHARP FIELD,NE,-6,41.617,-98.95,631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1995,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,E,9,3,E,9,-14.8,E,9,-17,E,9,82,A,7,940,E,9,300,E,9,4.5,E,9,24100,C,8,77777,E,9,0.4,E,8,0.054,F,8,0.21,F,8,0,1,D,9,0,C,8,258.2
1/1/1995,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,E,9,3,E,9,-16.3,E,9,-19.1,E,9,77,A,7,940,E,9,300,E,9,4.4,E,9,24100,C,8,77777,E,9,0.4,E,8,0.054,F,8,0.21,F,8,0,1,D,9,0,C,8,257.211244
1/1/1995,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,E,9,3,E,9,-17.4,E,9,-20.3,E,9,76,A,7,940,E,9,280,E,9,4.1,E,9,24100,C,8,77777,E,9,0.4,E,8,0.054,F,8,0.21,F,8,0,1,D,9,0,C,8,256.109874
1/1/1995,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,E,9,3,E,9,-18.7,E,9,-20.5,E,9,84,A,7,940,E,9,170,E,9,3.6,E,9,24100,C,8,77777,E,9,0.3,E,8,0.054,F,8,0.21,F,8,0,1,D,9,0,C,8,254.9848595
1/1/1995,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,E,9,2,E,9,-19.9,E,9,-21.7,E,9,84,A,7,940,E,9,280,E,9,2.2,E,9,24100,C,8,77777,E,9,0.3,E,8,0.054,F,8,0.21,F,8,0,1,D,9,0,C,8,253.8327377
1/1/1995,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,E,9,2,E,9,-20.2,E,9,-21.8,E,9,86,A,7,940,E,9,290,E,9,2.2,E,9,24100,C,8,77777,E,9,0.3,E,8,0.054,F,8,0.21,F,8,0,1,D,9,0,C,8,252.943204
1/1/1995,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,E,9,2,E,9,-21.5,E,9,-23,E,9,86,A,7,940,E,9,290,E,9,2.3,E,9,24100,C,8,77777,E,9,0.3,E,8,0.054,F,8,0.21,F,8,0,1,D,9,0,C,8,252.0464882
1/1/1995,8:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,E,9,2,E,9,-21.8,E,9,-23.2,E,9,87,A,7,940,E,9,300,E,9,2.4,E,9,24100,C,8,77777,E,9,0.3,E,8,0.054,F,8,0.21,F,8,0,1,D,9,0,C,8,251.2642834
1/1/1995,9:00,91,1309,36,1,28,204,1,31,21,1,28,37,1,28,99,1,31,29,1,28,37,1,50,2,E,9,2,E,9,-20,E,9,-22.3,E,9,80,A,7,940,E,9,150,E,9,3.9,E,9,24100,C,8,77777,E,9,0.3,E,8,0.054,F,8,0.21,F,8,0,1,D,9,0,C,8,251.8488183
1/1/1995,10:00,293,1415,136,1,24,400,1,27,53,1,24,140,1,24,310,1,27,75,1,24,96,1,43,2,A,7,2,E,9,-17.3,A,7,-19.5,A,7,81,A,7,940,E,9,310,A,7,2.5,A,7,24100,B,7,77777,A,7,0.3,E,8,0.054,F,8,0.21,F,8,0,1,D,9,0,C,8,253.7932685
