725625,MCCOOK MUNICIPAL,NE,-6,40.2,-100.583,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,2,A,7,-1,A,7,80,A,7,920,A,7,260,A,7,5.1,A,7,16100,B,7,77777,A,7,1.1,E,8,0.055,F,8,0.22,F,8,0,1,D,9,0,C,8,275
1/1/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-1,A,7,-2,A,7,92,A,7,919,A,7,280,A,7,3.1,A,7,16100,B,7,77777,A,7,1.1,E,8,0.055,F,8,0.22,F,8,0,1,D,9,0,C,8,273.3038283
1/1/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,1,A,7,-2,A,7,79,A,7,919,A,7,260,A,7,3.1,A,7,16100,B,7,77777,A,7,1.1,E,8,0.055,F,8,0.22,F,8,0,1,D,9,0,C,8,272.5362988
1/1/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,1,E,9,0,A,7,-2,A,7,85,A,7,919,A,7,250,A,7,4.1,A,7,16100,B,7,77777,A,7,1.1,E,8,0.055,F,8,0.22,F,8,0,1,D,9,0,C,8,272.303631
1/1/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,0,A,7,-2,A,7,85,A,7,919,A,7,240,A,7,3.6,A,7,16100,B,7,77777,A,7,1.1,E,8,0.055,F,8,0.22,F,8,0,1,D,9,0,C,8,271.9998832
1/1/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,-1,A,7,-3,A,7,85,A,7,919,A,7,250,A,7,4.6,A,7,16100,B,7,77777,A,7,1.1,E,8,0.055,F,8,0.22,F,8,0,1,D,9,0,C,8,271.7802868
1/1/1998,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,0,A,7,-2,A,7,85,A,7,919,A,7,250,A,7,4.1,A,7,16100,B,7,77777,A,7,1.1,E,8,0.055,F,8,0.22,F,8,0,1,D,9,0,C,8,271.6486464
1/1/1998,8:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,0,A,7,-2,A,7,85,A,7,920,A,7,270,A,7,5.7,A,7,16100,B,7,77777,A,7,1.2,E,8,0.055,F,8,0.22,F,8,0,1,D,9,0,C,8,271.6771093
1/1/1998,9:00,87,1262,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,E,9,0,A,7,-2,A,7,85,A,7,920,A,7,260,A,7,6.7,A,7,16100,B,7,77777,A,7,1.2,E,8,0.055,F,8,0.22,F,8,0,1,D,9,0,C,8,271.6908028
1/1/1998,10:00,296,1415,199,2,9,690,2,21,54,2,9,197,2,9,545,2,21,82,2,9,88,2,25,0,E,9,0,E,9,3,A,7,0,A,7,81,A,7,921,A,7,260,A,7,5.1,A,7,16100,B,7,77777,A,7,1.2,E,8,0.055,F,8,0.22,F,8,0,1,D,9,0,C,8,274.1668825
