725670,VALENTINE MILLER FIELD,NE,-6,42.867,-100.55,789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,2.2,A,7,-2.2,A,7,71,A,7,916,A,7,240,A,7,4.1,A,7,16000,B,7,77777,A,7,0.8,E,8,0.051,F,8,0.32,F,8,0,1,D,9,0,C,8,275.2
1/1/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,1.7,A,7,-2.8,A,7,70,A,7,915,A,7,240,A,7,2.6,A,7,16000,B,7,77777,A,7,0.8,E,8,0.051,F,8,0.32,F,8,0,1,D,9,0,C,8,274.230494
1/1/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,1.1,A,7,-3.9,A,7,67,A,7,916,A,7,260,A,7,3.6,A,7,16000,B,7,77777,A,7,0.8,E,8,0.051,F,8,0.32,F,8,0,1,D,9,0,C,8,273.7641336
1/1/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,1.7,A,7,-3.9,A,7,64,A,7,916,A,7,270,A,7,3.6,A,7,16000,B,7,77777,A,7,0.8,E,8,0.051,F,8,0.32,F,8,0,1,D,9,0,C,8,273.4571867
1/1/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3.3,A,7,-3.9,A,7,57,A,7,916,A,7,280,A,7,6.2,A,7,16000,B,7,77777,A,7,0.7,E,8,0.051,F,8,0.32,F,8,0,1,D,9,0,C,8,273.9531821
1/1/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,0.6,A,7,-4.4,A,7,66,A,7,917,A,7,290,A,7,3.6,A,7,16000,B,7,77777,A,7,0.7,E,8,0.051,F,8,0.32,F,8,0,1,D,9,0,C,8,273.4826755
1/1/1998,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-0.6,A,7,-4.4,A,7,73,A,7,917,A,7,270,A,7,3.6,A,7,16000,B,7,77777,A,7,0.8,E,8,0.051,F,8,0.32,F,8,0,1,D,9,0,C,8,272.5042048
1/1/1998,8:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,0.6,A,7,-4.4,A,7,66,A,7,917,A,7,260,A,7,2.1,A,7,16000,B,7,77777,A,7,0.8,E,8,0.051,F,8,0.32,F,8,0,1,D,9,0,C,8,272.113543
1/1/1998,9:00,58,1073,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,E,9,0,A,7,-3.9,A,7,72,A,7,918,A,7,250,A,7,2.6,A,7,16000,B,7,77777,A,7,0.8,E,8,0.051,F,8,0.32,F,8,0,1,D,9,0,C,8,272.01683
1/1/1998,10:00,252,1415,159,2,9,550,2,21,61,2,9,160,2,9,393,2,21,90,2,9,103,2,25,0,E,9,0,E,9,5,A,7,-1.7,A,7,61,A,7,919,A,7,270,A,7,3.6,A,7,16000,B,7,77777,A,7,0.8,E,8,0.051,F,8,0.32,F,8,0,1,D,9,0,C,8,274.7529228
1/1/1998,11:00,415,1415,281,2,9,731,2,21,65,2,9,283,2,9,642,2,21,94,2,9,116,2,25,0,E,9,0,E,9,8.9,A,7,-1.1,A,7,49,A,7,919,A,7,270,A,7,2.6,A,7,16000,B,7,77777,A,7,0.8,E,8,0.051,F,8,0.32,F,8,0,1,D,9,0,C,8,278.8522122
1/1/1998,12:00,526,1415,363,2,9,811,2,21,60,2,9,380,2,9,763,2,21,96,2,9,126,2,25,0,E,9,0,E,9,12.2,A,7,-1.7,A,7,37,A,7,919,A,7,270,A,7,4.1,A,7,16000,B,7,77777,A,7,0.8,E,8,0.051,F,8,0.32,F,8,0,1,D,9,0,C,8,283.9632208
1/1/1998,13:00,575,1415,426,2,9,861,2,21,75,2,9,442,2,9,818,2,21,108,2,9,150,2,25,0,E,9,0,E,9,13.9,A,7,-2.2,A,7,32,A,7,918,A,7,230,A,7,3.1,A,7,16000,B,7,77777,A,7,0.9,E,8,0.051,F,8,0.32,F,8,0,1,D,9,0,C,8,288.9943249
