725715,HAYDEN/YAMPA (AWOS),CO,-7,40.483,-107.217,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2002,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,8,E,9,-6,E,9,-13,E,9,54,A,7,798,E,9,310,E,9,5.3,E,9,14500,C,8,2700,E,9,0.5,E,8,0.032,F,8,0.39,F,8,0,1,D,9,0,C,8,267
1/1/2002,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3,E,9,-12,E,9,46,A,7,798,E,9,290,E,9,5.7,E,9,14500,C,8,2700,E,9,0.5,E,8,0.032,F,8,0.39,F,8,0,1,D,9,0,C,8,267.3287424
1/1/2002,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1,E,9,-12,E,9,39,A,7,798,E,9,280,E,9,6.2,E,9,14500,C,8,2400,E,9,0.5,E,8,0.032,F,8,0.39,F,8,0,1,D,9,0,C,8,268.8037475
1/1/2002,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3,E,9,-12,E,9,46,A,7,798,E,9,280,E,9,6.7,E,9,14500,C,8,2400,E,9,0.4,E,8,0.032,F,8,0.39,F,8,0,1,D,9,0,C,8,269.1683804
1/1/2002,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2,E,9,-12,E,9,42,A,7,798,E,9,290,E,9,6.2,E,9,14500,C,8,2100,E,9,0.4,E,8,0.032,F,8,0.39,F,8,0,1,D,9,0,C,8,269.2742982
1/1/2002,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3,E,9,-12,E,9,46,A,7,798,E,9,290,E,9,4.1,E,9,14500,C,8,2400,E,9,0.4,E,8,0.032,F,8,0.39,F,8,0,1,D,9,0,C,8,269.1967502
1/1/2002,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2,E,9,-12,E,9,42,A,7,798,E,9,280,E,9,4.6,E,9,14500,C,8,2100,E,9,0.4,E,8,0.032,F,8,0.39,F,8,0,1,D,9,0,C,8,269.2885124
1/1/2002,8:00,20,625,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-4,E,9,-11,E,9,54,A,7,798,E,9,280,E,9,5.1,E,9,14500,C,8,2700,E,9,0.4,E,8,0.032,F,8,0.39,F,8,0,1,D,9,0,C,8,268.4680518
1/1/2002,9:00,202,1415,139,2,9,737,2,21,33,2,9,146,2,9,543,2,21,67,2,9,51,2,25,10,E,9,10,E,9,-4,E,9,-11,E,9,54,A,7,798,E,9,280,E,9,5.6,E,9,14500,C,8,2700,E,9,0.4,E,8,0.032,F,8,0.39,F,8,0,1,D,9,0,C,8,270.6319781
1/1/2002,10:00,393,1415,292,2,9,931,2,21,32,2,9,310,2,9,825,2,21,80,2,9,85,2,25,9,E,9,8,E,9,-1,E,9,-11,E,9,42,A,7,798,E,9,280,E,9,6.2,E,9,14500,C,8,2700,E,9,0.4,E,8,0.032,F,8,0.39,F,8,0,1,D,9,0,C,8,274.0110965
