725724,PROVO MUNI (AWOS),UT,-7,40.217,-111.717,1369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1999,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,0.3,E,9,-1.7,E,9,85,A,7,861,E,9,30,E,9,3.2,E,9,16100,C,8,1067,E,9,1,E,8,0.042,F,8,0.54,F,8,0,1,D,9,0,C,8,273.3
1/1/1999,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,0.4,E,9,-1.6,E,9,85,A,7,861,E,9,280,E,9,3.5,E,9,16100,C,8,615,E,9,1,E,8,0.042,F,8,0.54,F,8,0,1,D,9,0,C,8,272.6737843
1/1/1999,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1.5,E,9,-1.5,E,9,79,A,7,861,E,9,130,E,9,1.4,E,9,16100,C,8,1033,E,9,1,E,8,0.042,F,8,0.54,F,8,0,1,D,9,0,C,8,272.7321731
1/1/1999,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,0.5,E,9,-1.5,E,9,85,A,7,861,E,9,120,E,9,1.1,E,9,16100,C,8,1031,E,9,1,E,8,0.042,F,8,0.54,F,8,0,1,D,9,0,C,8,272.6479542
1/1/1999,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,0.6,E,9,-1.4,E,9,85,A,7,861,E,9,260,E,9,5,E,9,16100,C,8,939,E,9,1,E,8,0.042,F,8,0.54,F,8,0,1,D,9,0,C,8,272.448428
1/1/1999,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,2.6,E,9,-1.4,E,9,74,A,7,861,E,9,100,E,9,0.7,E,9,16100,C,8,1446,E,9,1,E,8,0.042,F,8,0.54,F,8,0,1,D,9,0,C,8,273.0423266
1/1/1999,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1.7,E,9,-1.3,E,9,79,A,7,861,E,9,260,E,9,2.4,E,9,16100,C,8,1504,E,9,1,E,8,0.042,F,8,0.54,F,8,0,1,D,9,0,C,8,273.3966399
1/1/1999,8:00,2,200,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,0.7,E,9,-1.3,E,9,85,A,7,861,E,9,210,E,9,3.2,E,9,16100,C,8,1322,E,9,0.9,E,8,0.042,F,8,0.54,F,8,0,1,D,9,0,C,8,273.0795153
1/1/1999,9:00,142,1415,44,2,9,208,2,21,23,2,9,45,2,9,118,2,21,33,2,9,42,2,25,10,E,9,10,E,9,2,A,7,-1,A,7,80,A,7,861,E,9,80,A,7,1.5,A,7,16100,B,7,1440,A,7,0.9,E,8,0.042,F,8,0.54,F,8,0,1,D,9,0,C,8,274.0484593
1/1/1999,10:00,345,1415,187,2,9,499,2,21,65,2,9,192,2,9,410,2,21,91,2,9,117,2,25,10,E,9,9,E,9,1.9,E,9,-1,E,9,80,A,7,861,E,9,60,E,9,0.1,E,9,16100,C,8,3339,E,9,0.9,E,8,0.042,F,8,0.54,F,8,0,1,D,9,0,C,8,275.8568391
1/1/1999,11:00,502,1415,367,2,9,605,2,21,151,2,9,375,2,9,561,2,21,175,2,9,298,2,25,10,E,9,10,E,9,2.8,E,9,0.2,E,9,83,A,7,861,E,9,50,E,9,0.2,E,9,16100,C,8,2537,E,9,0.9,E,8,0.042,F,8,0.54,F,8,0,1,D,9,0,C,8,276.7457418
1/1/1999,12:00,601,1415,102,2,9,0,2,21,102,2,9,120,2,9,0,2,21,120,2,9,442,2,25,10,E,9,10,E,9,3.7,E,9,0.2,E,9,78,A,7,861,E,9,50,E,9,0.2,E,9,16100,C,8,3146,E,9,0.9,E,8,0.042,F,8,0.54,F,8,0,1,D,9,0,C,8,275.8837084
1/1/1999,13:00,636,1415,140,2,9,0,2,21,140,2,9,162,2,9,0,2,21,162,2,9,581,2,25,10,E,9,10,E,9,3.6,E,9,0.3,E,9,79,A,7,861,E,9,50,E,9,0.3,E,9,16100,C,8,4684,E,9,0.9,E,8,0.042,F,8,0.54,F,8,0,1,D,9,0,C,8,274.8738668
1/1/1999,14:00,603,1415,409,2,9,627,2,21,141,2,9,431,2,9,610,2,21,170,2,9,281,2,25,10,E,9,9,E,9,4.5,E,9,0.4,E,9,75,A,7,861,E,9,50,E,9,0.4,E,9,16100,C,8,5322,E,9,0.8,E,8,0.042,F,8,0.54,F,8,0,1,D,9,0,C,8,277.5250478
1/1/1999,15:00,504,1415,335,2,9,772,2,21,58,2,9,350,2,9,720,2,21,92,2,9,121,2,25,6,E,9,4,E,9,4.5,E,9,0.5,E,9,75,A,7,861,E,9,90,E,9,2,E,9,16100,C,8,14760,E,9,0.8,E,8,0.042,F,8,0.54,F,8,0,1,D,9,0,C,8,281.8978871
1/1/1999,16:00,348,1415,216,2,9,647,2,21,57,2,9,224,2,9,538,2,21,92,2,9,106,2,25,10,E,9,10,E,9,4.3,E,9,-0.4,E,9,71,A,7,861,E,9,40,E,9,0.6,E,9,16100,C,8,7169,E,9,0.8,E,8,0.042,F,8,0.54,F,8,0,1,D,9,0,C,8,283.7725398
1/1/1999,17:00,145,1415,62,2,9,0,2,21,62,2,9,66,2,9,0,2,21,66,2,9,153,2,25,10,E,9,9,E,9,3.3,E,9,-1.3,E,9,71,A,7,861,E,9,40,E,9,0.7,E,9,16100,C,8,7808,E,9,0.8,E,8,0.042,F,8,0.54,F,8,0,1,D,9,0,C,8,280.2696311
1/1/1999,18:00,3,224,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,9,E,9,0.1,E,9,-1.3,E,9,89,A,7,861,E,9,110,E,9,3.2,E,9,16100,C,8,8745,E,9,0.8,E,8,0.042,F,8,0.54,F,8,0,1,D,9,0,C,8,275.975134
1/1/1999,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,-1,E,9,-2.1,E,9,91,A,7,861,E,9,340,E,9,6.4,E,9,16100,C,8,9384,E,9,0.7,E,8,0.042,F,8,0.54,F,8,0,1,D,9,0,C,8,273.4285948
1/1/1999,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,8,E,9,-2,E,9,-3.1,E,9,91,A,7,861,E,9,80,E,9,2.9,E,9,16100,C,8,14003,E,9,0.7,E,8,0.042,F,8,0.54,F,8,0,1,D,9,0,C,8,271.7454227
