725760,LANDER HUNT FIELD,WY,-7,42.817,-108.733,1694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1995,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-20,A,7,-22.2,A,7,81,A,7,834,A,7,140,A,7,1.5,A,7,40000,B,7,77777,A,7,0.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,253
1/1/1995,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-20,A,7,-23.3,A,7,73,A,7,835,A,7,240,A,7,2.1,A,7,40000,B,7,77777,A,7,0.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,252.5275617
1/1/1995,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-20,A,7,-22.2,A,7,81,A,7,835,A,7,0,A,7,0,A,7,40000,B,7,77777,A,7,0.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,252.2679611
1/1/1995,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-21.7,A,7,-23.9,A,7,81,A,7,835,A,7,0,A,7,0,A,7,40000,B,7,77777,A,7,0.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,251.6471247
1/1/1995,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-21.7,A,7,-24.4,A,7,77,A,7,828,A,7,0,A,7,0,A,7,40000,B,7,77777,A,7,0.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,250.9996233
1/1/1995,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-21.7,A,7,-23.9,A,7,81,A,7,835,A,7,230,A,7,2.6,A,7,40000,B,7,77777,A,7,0.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,250.6736821
1/1/1995,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-19.4,A,7,-21.7,A,7,80,A,7,836,A,7,0,A,7,0,A,7,40000,B,7,77777,A,7,0.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,251.2278966
1/1/1995,8:00,4,295,1,1,10,67,1,16,0,1,10,0,1,10,0,1,16,0,1,10,0,1,21,0,A,7,0,A,7,-21.1,A,7,-23.3,A,7,81,A,7,829,A,7,250,A,7,2.6,A,7,112000,B,7,77777,A,7,0.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,251.7835588
1/1/1995,9:00,145,1415,78,1,10,576,1,16,19,1,10,83,1,10,387,1,16,43,1,10,42,1,21,0,A,7,0,A,7,-18.9,A,7,-21.7,A,7,76,A,7,836,A,7,150,A,7,2.1,A,7,112000,B,7,77777,A,7,0.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,254.8642536
1/1/1995,10:00,333,1415,225,1,10,822,1,16,32,1,10,240,1,10,700,1,16,74,1,10,79,1,21,0,A,7,0,A,7,-19.4,A,7,-22.8,A,7,72,A,7,836,A,7,0,A,7,0,A,7,112000,B,7,77777,A,7,0.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,257.8979764
1/1/1995,11:00,473,1415,349,1,10,919,1,16,41,1,10,370,1,10,846,1,16,86,1,10,103,1,21,0,A,7,0,A,7,-16.7,A,7,-20.6,A,7,69,A,7,833,A,7,0,A,7,0,A,7,112000,B,7,77777,A,7,0.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,259.7430458
1/1/1995,12:00,557,1415,424,1,10,958,1,16,47,1,10,449,1,10,907,1,16,91,1,10,117,1,21,0,A,7,0,A,7,-13.9,A,7,-18.9,A,7,63,A,7,836,A,7,0,A,7,0,A,7,112000,B,7,77777,A,7,0.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,261.7469425
1/1/1995,13:00,577,1415,443,1,10,966,1,16,49,1,10,469,1,10,919,1,16,93,1,10,121,1,21,0,A,7,0,A,7,-15,A,7,-18.9,A,7,69,A,7,835,A,7,0,A,7,0,A,7,112000,B,7,77777,A,7,0.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,264.4789888
1/1/1995,14:00,532,1415,402,1,10,947,1,16,46,1,10,426,1,10,890,1,16,90,1,10,114,1,21,0,A,7,0,A,7,-13.3,A,7,-17.8,A,7,66,A,7,836,A,7,250,A,7,2.1,A,7,112000,B,7,77777,A,7,0.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,267.1785506
1/1/1995,15:00,426,1415,306,1,10,889,1,16,38,1,10,325,1,10,801,1,16,82,1,10,95,1,21,0,A,7,0,A,7,-12.8,A,7,-16.7,A,7,70,A,7,835,A,7,300,A,7,2.1,A,7,112000,B,7,77777,A,7,0.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.2647067
1/1/1995,16:00,266,1415,169,1,10,754,1,16,28,1,10,181,1,10,605,1,16,66,1,10,67,1,21,0,A,7,0,A,7,-12.2,A,7,-17.2,A,7,63,A,7,835,A,7,270,A,7,2.1,A,7,112000,B,7,77777,A,7,0.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.9436628
1/1/1995,17:00,70,1167,32,1,10,365,1,16,10,1,10,36,1,10,216,1,16,22,1,10,27,1,21,0,A,7,0,A,7,-14.4,A,7,-18.3,A,7,70,A,7,835,A,7,250,A,7,3.6,A,7,112000,B,7,77777,A,7,0.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,267.2564939
1/1/1995,18:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-14.4,A,7,-17.8,A,7,73,A,7,834,A,7,180,A,7,2.1,A,7,40000,B,7,77777,A,7,0.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,262.8900228
