725776,JACKSON HOLE,WY,-7,43.6,-110.733,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2003,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-4,A,7,-6,A,7,84,A,7,798,E,9,230,A,7,2.1,A,7,16100,B,7,270,A,7,0.5,E,8,0.042,F,8,0.59,F,8,0,1,D,9,0,C,8,269
1/1/2003,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3,A,7,-5,A,7,84,A,7,798,E,9,240,A,7,2.6,A,7,11300,B,7,480,A,7,0.5,E,8,0.042,F,8,0.59,F,8,0,1,D,9,0,C,8,268.6786675
1/1/2003,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-4,A,7,-6,A,7,84,A,7,798,E,9,360,A,7,2.6,A,7,16100,B,7,900,A,7,0.5,E,8,0.042,F,8,0.59,F,8,0,1,D,9,0,C,8,268.4090202
1/1/2003,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-4,A,7,-4,A,7,100,A,7,798,E,9,0,A,7,0,A,7,16100,B,7,360,A,7,0.5,E,8,0.042,F,8,0.59,F,8,0,1,D,9,0,C,8,268.0866614
1/1/2003,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-7,A,7,-8,A,7,92,A,7,798,E,9,10,A,7,3.6,A,7,16100,B,7,1230,A,7,0.5,E,8,0.042,F,8,0.59,F,8,0,1,D,9,0,C,8,267.0388584
1/1/2003,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-7,A,7,-8,A,7,92,A,7,798,E,9,40,A,7,2.6,A,7,16100,B,7,930,A,7,0.5,E,8,0.042,F,8,0.59,F,8,0,1,D,9,0,C,8,265.9632646
1/1/2003,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-7,A,7,-8,A,7,92,A,7,798,E,9,0,A,7,0,A,7,16100,B,7,930,A,7,0.5,E,8,0.042,F,8,0.59,F,8,0,1,D,9,0,C,8,265.4229252
1/1/2003,8:00,0,35,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,5,E,9,5,E,9,-7,A,7,-8,A,7,92,A,7,798,E,9,320,A,7,3.1,A,7,16100,B,7,77777,A,7,0.5,E,8,0.042,F,8,0.59,F,8,0,1,D,9,0,C,8,265.1174909
1/1/2003,9:00,107,1415,43,2,9,379,2,21,14,2,9,45,2,9,233,2,21,28,2,9,33,2,25,10,E,9,10,E,9,-9,A,7,-9,A,7,100,A,7,798,E,9,30,A,7,2.1,A,7,16100,B,7,810,A,7,0.5,E,8,0.042,F,8,0.59,F,8,0,1,D,9,0,C,8,266.1857102
1/1/2003,10:00,296,1415,164,2,9,582,2,21,42,2,9,167,2,9,468,2,21,69,2,9,80,2,25,1,E,9,0,E,9,-9,A,7,-12,A,7,77,A,7,798,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,0.5,E,8,0.042,F,8,0.59,F,8,0,1,D,9,0,C,8,267.3407804
