725785,IDAHO FALLS FANNING FIELD,ID,-7,43.517,-112.067,1441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2002,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-5.6,B,8,-6.6,B,8,92,A,7,857,B,8,350,B,8,2.8,B,8,400,C,8,53,B,8,0.6,E,8,0.041,F,8,0.51,F,8,0,1,D,9,10,C,8,267.4
1/1/2002,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-6,B,8,-7,B,8,92,A,7,857,B,8,360,B,8,2.9,B,8,400,C,8,45,B,8,0.6,E,8,0.041,F,8,0.51,F,8,0,1,D,9,10,C,8,266.7489443
1/1/2002,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-6.6,B,8,-7.6,B,8,92,A,7,857,B,8,360,B,8,2.9,B,8,400,C,8,38,B,8,0.5,E,8,0.041,F,8,0.51,F,8,0,1,D,9,10,C,8,266.0017338
1/1/2002,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-6.9,B,8,-8,B,8,91,A,7,857,B,8,10,B,8,3,B,8,400,C,8,30,B,8,0.5,E,8,0.041,F,8,0.51,F,8,0,1,D,9,10,C,8,265.5251342
1/1/2002,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-6.9,B,8,-7.9,B,8,92,A,7,857,B,8,10,B,8,3,B,8,400,C,8,23,B,8,0.4,E,8,0.041,F,8,0.51,F,8,0,1,D,9,49,C,8,265.2179234
1/1/2002,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-7,A,7,-8,A,7,92,A,7,857,B,8,20,A,7,3.1,A,7,400,B,7,15,A,7,0.4,E,8,0.041,F,8,0.51,F,8,0,1,D,9,49,C,8,265.0302259
1/1/2002,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-9,A,7,-11,A,7,84,A,7,857,A,7,360,A,7,2.6,A,7,4000,B,7,30,A,7,0.4,E,8,0.041,F,8,0.51,F,8,0,1,D,9,10,C,8,264.3497831
1/1/2002,8:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-13,A,7,-14,A,7,91,A,7,856,A,7,20,A,7,3.1,A,7,4800,B,7,30,A,7,0.4,E,8,0.041,F,8,0.51,F,8,0,1,D,9,10,C,8,262.3321309
1/1/2002,9:00,91,1332,28,2,9,314,2,21,8,2,9,33,2,9,192,2,21,19,2,9,25,2,25,10,E,9,10,E,9,-13,A,7,-15,A,7,83,A,7,857,A,7,10,B,8,2.3,B,8,3200,B,7,90,A,7,0.4,E,8,0.041,F,8,0.51,F,8,0,1,D,9,10,C,8,262.1495491
1/1/2002,10:00,282,1415,148,2,9,460,2,21,55,2,9,150,2,9,350,2,21,80,2,9,98,2,25,10,E,9,10,E,9,-13,A,7,-16,A,7,76,A,7,857,A,7,350,A,7,1.5,A,7,2400,B,7,30,A,7,0.3,E,8,0.041,F,8,0.51,F,8,0,1,D,9,10,C,8,262.7827895
1/1/2002,11:00,433,1415,86,2,9,0,2,21,86,2,9,99,2,9,0,2,21,99,2,9,337,2,25,10,E,9,10,E,9,-12,A,7,-13,A,7,91,A,7,857,A,7,360,A,7,2.1,A,7,1200,B,7,30,A,7,0.3,E,8,0.041,F,8,0.51,F,8,0,1,D,9,10,C,8,261.5661809
1/1/2002,12:00,529,1415,62,2,9,0,2,21,62,2,9,75,2,9,0,2,21,75,2,9,276,2,25,10,E,9,10,E,9,-11,A,7,-12,A,7,91,A,7,858,A,7,10,A,7,1.5,A,7,6400,B,7,90,A,7,0.3,E,8,0.041,F,8,0.51,F,8,0,1,D,9,48,C,8,260.6505799
1/1/2002,13:00,563,1415,67,2,9,0,2,21,67,2,9,81,2,9,0,2,21,81,2,9,302,2,25,8,E,9,8,E,9,-9,A,7,-12,A,7,77,A,7,859,A,7,350,B,8,1.7,B,8,6400,B,7,90,A,7,0.3,E,8,0.041,F,8,0.51,F,8,0,1,D,9,10,C,8,261.0743721
1/1/2002,14:00,533,1415,60,2,9,0,2,21,60,2,9,72,2,9,0,2,21,72,2,9,269,2,25,4,E,9,4,E,9,-10,A,7,-13,A,7,76,A,7,858,A,7,340,B,8,1.9,B,8,16100,B,7,77777,A,7,0.3,E,8,0.041,F,8,0.51,F,8,0,1,D,9,10,C,8,261.3289514
1/1/2002,15:00,441,1415,304,2,9,581,2,21,122,2,9,313,2,9,519,2,21,150,2,9,234,2,25,10,E,9,10,A,7,-10,A,7,-11,A,7,91,A,7,858,A,7,320,A,7,2.1,A,7,1600,B,7,15,A,7,0.3,E,8,0.041,F,8,0.51,F,8,0,1,D,9,10,C,8,263.8920859
1/1/2002,16:00,294,1415,214,2,9,747,2,21,58,2,9,210,2,9,585,2,21,88,2,9,88,2,25,1,E,9,1,E,9,-11,A,7,-13,A,7,84,A,7,858,A,7,10,A,7,1.5,A,7,16100,B,7,77777,A,7,0.3,E,8,0.041,F,8,0.51,F,8,0,1,D,9,10,C,8,267.828951
1/1/2002,17:00,104,1415,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,2,E,9,2,E,9,-15,A,7,-17,A,7,83,A,7,856,A,7,350,A,7,2.6,A,7,16100,B,7,77777,A,7,0.3,E,8,0.041,F,8,0.51,F,8,0,1,D,9,0,C,8,264.7206439
1/1/2002,18:00,0,12,0,2,0,0,2,0,0,2,0,0,2,1,0,2,2,0,2,2,0,2,1,1,E,9,1,E,9,-15,A,7,-17,A,7,83,A,7,856,A,7,360,A,7,2.1,A,7,16100,B,7,77777,A,7,0.3,E,8,0.041,F,8,0.51,F,8,0,1,D,9,0,C,8,260.5289961
1/1/2002,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,-14,A,7,-16,A,7,83,A,7,857,A,7,10,B,8,2.9,B,8,16100,B,7,77777,A,7,0.2,E,8,0.041,F,8,0.51,F,8,0,1,D,9,0,C,8,259.063541
1/1/2002,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-16,A,7,-18,A,7,83,A,7,857,A,7,20,A,7,3.6,A,7,16100,B,7,77777,A,7,0.2,E,8,0.041,F,8,0.51,F,8,0,1,D,9,0,C,8,257.8818715
1/1/2002,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,-17,A,7,-19,A,7,83,A,7,857,A,7,40,A,7,3.6,A,7,16100,B,7,77777,A,7,0.2,E,8,0.041,F,8,0.51,F,8,0,1,D,9,0,C,8,256.6527877
