725830,WINNEMUCCA MUNICIPAL ARPT,NV,-8,40.9,-117.8,1310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1982,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,2.2,A,7,-0.6,A,7,82,A,7,851,A,7,240,A,7,6.7,A,7,16100,B,7,580,A,7,0.7,E,8,0,?,0,0,?,0,0,1,D,9,61,C,8,275.2
1/1/1982,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,2.2,A,7,-1.1,A,7,79,A,7,852,A,7,270,A,7,7.7,A,7,48300,B,7,610,A,7,0.7,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,276.6513934
1/1/1982,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,0,A,7,-3.3,A,7,79,A,7,854,A,7,350,A,7,6.2,A,7,16100,B,7,580,A,7,0.6,E,8,0,?,0,0,?,0,0,1,D,9,71,C,8,274.3037187
1/1/1982,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-0.6,A,7,-4.4,A,7,75,A,7,855,A,7,360,A,7,5.2,A,7,24100,B,7,850,A,7,0.6,E,8,0,?,0,0,?,0,0,1,D,9,22,C,8,272.5917056
1/1/1982,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-1.1,A,7,-8.3,A,7,58,A,7,856,A,7,340,A,7,4.1,A,7,24100,B,7,1130,A,7,0.6,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,271.2511894
1/1/1982,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,A,7,7,A,7,-2.2,A,7,-7.8,A,7,66,A,7,857,A,7,340,A,7,5.2,A,7,48300,B,7,1220,A,7,0.6,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,270.5879076
1/1/1982,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,A,7,7,A,7,-2.8,A,7,-8.3,A,7,66,A,7,858,A,7,260,A,7,2.1,A,7,48300,B,7,1520,A,7,0.6,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,269.7792808
1/1/1982,8:00,54,1002,25,1,13,120,1,13,14,1,13,22,1,13,53,1,13,19,1,13,26,1,23,5,A,7,4,A,7,-3.3,A,7,-8.3,A,7,69,A,7,858,A,7,310,A,7,1.5,A,7,80500,B,7,77777,A,7,0.5,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,269.8769978
1/1/1982,9:00,255,1415,94,1,13,183,1,13,61,1,13,100,1,13,130,1,13,76,1,13,114,1,23,3,A,7,3,A,7,-2.8,A,7,-7.2,A,7,72,A,7,859,A,7,240,A,7,1.5,A,7,80500,B,7,77777,A,7,0.5,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,270.5047958
1/1/1982,10:00,432,1415,275,1,9,677,1,9,68,1,13,287,1,9,603,1,9,102,1,13,129,1,18,2,A,7,2,A,7,-1.1,A,7,-8.9,A,7,56,A,7,859,A,7,270,A,7,3.6,A,7,144800,B,7,77777,A,7,0.5,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,273.6195205
1/1/1982,11:00,554,1415,408,1,9,906,1,9,51,1,13,429,1,9,856,1,9,92,1,13,121,1,18,2,A,7,2,A,7,-0.6,A,7,-10,A,7,49,A,7,859,A,7,260,A,7,4.1,A,7,144800,B,7,77777,A,7,0.5,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,276.2660237
1/1/1982,12:00,615,1415,374,1,9,657,1,9,88,1,13,396,1,9,638,1,9,117,1,13,182,1,18,2,A,7,2,A,7,-0.6,A,7,-10,A,7,49,A,7,858,A,7,260,A,7,4.6,A,7,144800,B,7,77777,A,7,0.5,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,275.8320049
1/1/1982,13:00,609,1415,381,1,9,719,1,9,72,1,13,401,1,9,692,1,9,102,1,13,151,1,18,2,A,7,2,A,7,0,A,7,-10.6,A,7,45,A,7,856,A,7,280,A,7,3.6,A,7,144800,B,7,77777,A,7,0.4,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,275.9826585
1/1/1982,14:00,538,1415,356,1,13,778,1,13,61,1,13,376,1,13,735,1,13,95,1,13,129,1,23,4,A,7,3,A,7,-0.6,A,7,-10,A,7,49,A,7,856,A,7,260,A,7,3.1,A,7,144800,B,7,77777,A,7,0.4,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,277.1706484
1/1/1982,15:00,405,1415,176,1,13,215,1,13,114,1,13,186,1,13,191,1,13,131,1,13,228,1,23,7,A,7,7,A,7,0,A,7,-9.4,A,7,49,A,7,856,A,7,270,A,7,5.2,A,7,144800,B,7,7620,A,7,0.4,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,275.8362784
1/1/1982,16:00,221,1415,87,1,13,76,1,9,76,1,13,94,1,13,53,1,9,86,1,13,161,1,21,10,A,7,8,A,7,0,A,7,-9.4,A,7,49,A,7,856,A,7,220,A,7,3.1,A,7,144800,B,7,7620,A,7,0.4,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,273.5270892
1/1/1982,17:00,31,766,23,1,13,126,1,9,12,1,13,18,1,13,50,1,9,16,1,13,22,1,21,2,A,7,2,A,7,-2.2,A,7,-9.4,A,7,58,A,7,855,A,7,200,A,7,3.6,A,7,144800,B,7,77777,A,7,0.4,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,272.0767329
1/1/1982,18:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,A,7,-3.3,A,7,-9.4,A,7,63,A,7,854,A,7,190,A,7,4.1,A,7,48300,B,7,77777,A,7,0.4,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,270.4774337
