725845,BLUE CANYON AP,CA,-8,39.3,-120.717,1609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2004,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-0.6,A,7,-0.6,A,7,100,A,7,831,A,7,190,A,7,6.7,A,7,400,B,7,30,A,7,1,E,8,0.065,F,8,0.19,F,8,0,1,D,9,0,C,8,272.4
1/1/2004,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1.1,A,7,-1.1,A,7,100,A,7,831,A,7,180,A,7,7.2,A,7,800,B,7,30,A,7,1,E,8,0.065,F,8,0.19,F,8,0,1,D,9,45,C,8,271.9094231
1/1/2004,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,6,E,9,-1.1,A,7,-1.1,A,7,100,A,7,830,A,7,170,A,7,7.7,A,7,400,B,7,30,A,7,1,E,8,0.065,F,8,0.19,F,8,0,1,D,9,45,C,8,270.8274158
1/1/2004,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,-1.7,A,7,-1.7,A,7,100,A,7,829,A,7,180,A,7,9.8,A,7,400,B,7,30,A,7,1,E,8,0.065,F,8,0.19,F,8,0,1,D,9,45,C,8,274.7813524
1/1/2004,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,E,9,-1.7,A,7,-1.7,A,7,100,A,7,828,A,7,180,A,7,8.8,A,7,400,B,7,30,A,7,1.1,E,8,0.065,F,8,0.19,F,8,0,1,D,9,45,C,8,272.4427009
1/1/2004,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1.7,A,7,-1.7,A,7,100,A,7,828,A,7,170,A,7,10.3,A,7,400,B,7,30,A,7,1.1,E,8,0.065,F,8,0.19,F,8,0,1,D,9,45,C,8,269.6679504
1/1/2004,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.2,A,7,-2.2,A,7,100,A,7,827,A,7,180,A,7,13.4,A,7,400,B,7,91,A,7,1.1,E,8,0.065,F,8,0.19,F,8,0,1,D,9,45,C,8,279.3329806
1/1/2004,8:00,39,837,1,2,8,0,2,15,1,2,8,1,2,8,0,2,15,1,2,8,4,2,19,10,E,9,10,E,9,-2.2,A,7,-2.2,A,7,100,A,7,826,A,7,200,E,9,12.6,E,9,0,B,7,90,E,9,1,E,8,0.065,F,8,0.19,F,8,0,1,D,9,45,C,8,273.9889984
1/1/2004,9:00,242,1415,35,2,8,0,2,15,35,2,8,41,2,8,0,2,15,41,2,8,135,2,19,10,E,9,10,E,9,-0.8,E,9,-1.3,E,9,96,A,7,826,B,8,180,E,9,13,E,9,100,C,8,0,E,9,1,E,8,0.065,F,8,0.19,F,8,0,1,D,9,45,C,8,262.6327798
1/1/2004,10:00,431,1415,67,2,8,0,2,15,67,2,8,78,2,8,0,2,15,78,2,8,276,2,19,10,E,9,10,E,9,0.3,E,9,0.3,E,9,100,A,7,826,B,8,150,E,9,9.7,E,9,200,C,8,88,E,9,1,E,8,0.065,F,8,0.19,F,8,0,1,D,9,45,C,8,267.6459662
