725866,JOSLIN FLD MAGIC VA [TWIN FALLS - UO],ID,-7,42.55,-114.35,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1999,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2,A,7,0,A,7,87,A,7,872,A,7,240,A,7,10.8,A,7,16100,B,7,77777,A,7,0.9,E,8,0.04,F,8,0.43,F,8,5,1,D,9,0,C,8,275
1/1/1999,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,E,9,2,A,7,-1,A,7,80,A,7,873,A,7,250,A,7,7.7,A,7,16100,B,7,77777,A,7,0.9,E,8,0.04,F,8,0.43,F,8,5,1,D,9,0,C,8,273.2322768
1/1/1999,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,2,A,7,-1,A,7,80,A,7,874,A,7,250,A,7,8.7,A,7,16100,B,7,1050,A,7,0.9,E,8,0.04,F,8,0.43,F,8,0,1,D,9,0,C,8,273.4651055
1/1/1999,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,1,A,7,-2,A,7,79,A,7,874,A,7,230,A,7,7.7,A,7,16100,B,7,1170,A,7,0.9,E,8,0.04,F,8,0.43,F,8,0,1,D,9,0,C,8,274.7806964
1/1/1999,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,1,A,7,-2,A,7,79,A,7,875,A,7,240,A,7,8.2,A,7,16100,B,7,1110,A,7,0.9,E,8,0.04,F,8,0.43,F,8,0,1,D,9,0,C,8,273.0566281
1/1/1999,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,0,A,7,-3,A,7,78,A,7,875,A,7,240,A,7,9.3,A,7,16100,B,7,77777,A,7,0.9,E,8,0.04,F,8,0.43,F,8,0,1,D,9,0,C,8,272.6548837
1/1/1999,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,0,A,7,-3,A,7,78,A,7,875,A,7,240,A,7,8.2,A,7,16100,B,7,77777,A,7,0.9,E,8,0.04,F,8,0.43,F,8,0,1,D,9,0,C,8,271.1564903
1/1/1999,8:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,0,A,7,-3,A,7,78,A,7,876,A,7,240,A,7,8.2,A,7,16100,B,7,77777,A,7,0.9,E,8,0.04,F,8,0.43,F,8,0,1,D,9,0,C,8,271.4450138
1/1/1999,9:00,75,1191,20,2,9,168,2,21,12,2,9,24,2,9,81,2,21,19,2,9,23,2,25,2,E,9,1,E,9,0,A,7,-3,A,7,78,A,7,877,A,7,240,A,7,7.7,A,7,16100,B,7,77777,A,7,0.8,E,8,0.04,F,8,0.43,F,8,0,1,D,9,0,C,8,272.3824908
1/1/1999,10:00,272,1415,166,2,9,668,2,21,37,2,9,170,2,9,524,2,21,69,2,9,72,2,25,5,E,9,5,E,9,1,A,7,-3,A,7,72,A,7,878,A,7,250,A,7,8.7,A,7,16100,B,7,77777,A,7,0.8,E,8,0.04,F,8,0.43,F,8,0,1,D,9,0,C,8,274.0794595
