725868,SODA SPRINGS/TIGERT,ID,-7,42.65,-111.583,1780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2003,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,B,8,5,B,8,-2.8,B,8,-3,B,8,98,A,7,821,E,9,310,B,8,3.8,B,8,32200,C,8,13642,B,8,0.7,E,8,0.043,F,8,0.56,F,8,0,1,D,9,0,C,8,270.2
1/1/2003,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,B,8,5,B,8,-2.9,B,8,-3.1,B,8,98,A,7,821,E,9,320,B,8,3.8,B,8,32200,C,8,15314,B,8,0.7,E,8,0.043,F,8,0.56,F,8,0,1,D,9,0,C,8,269.5009132
1/1/2003,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,B,8,4,B,8,-3,B,8,-3.3,B,8,98,A,7,821,E,9,330,B,8,3.7,B,8,32200,C,8,16985,B,8,0.6,E,8,0.043,F,8,0.56,F,8,0,1,D,9,0,C,8,269.1437283
1/1/2003,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,B,8,3,B,8,-3.1,B,8,-3.4,B,8,98,A,7,821,E,9,340,B,8,3.7,B,8,32200,C,8,18657,B,8,0.6,E,8,0.043,F,8,0.56,F,8,0,1,D,9,0,C,8,268.9128252
1/1/2003,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,B,8,3,B,8,-3.2,B,8,-3.6,B,8,97,A,7,821,E,9,350,B,8,3.6,B,8,32200,C,8,20328,B,8,0.6,E,8,0.043,F,8,0.56,F,8,0,1,D,9,0,C,8,268.7479151
1/1/2003,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,A,7,-4,A,7,-5,A,7,92,A,7,821,E,9,360,A,7,3.6,A,7,32200,B,7,77777,A,7,0.6,E,8,0.043,F,8,0.56,F,8,0,1,D,9,0,C,8,268.4078085
1/1/2003,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,A,7,-4,A,7,-5,A,7,92,A,7,821,E,9,340,A,7,5.1,A,7,16100,B,7,1200,A,7,0.6,E,8,0.043,F,8,0.56,F,8,0,1,D,9,0,C,8,268.0860819
1/1/2003,8:00,0,35,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,B,8,10,B,8,-4.2,B,8,-4.6,B,8,97,A,7,821,E,9,350,B,8,2.6,B,8,14500,C,8,900,B,8,0.6,E,8,0.043,F,8,0.56,F,8,0,1,D,9,0,C,8,267.8613095
1/1/2003,9:00,109,1415,38,2,9,250,2,21,19,2,9,39,2,9,126,2,21,30,2,9,35,2,25,10,E,9,10,A,7,-6,A,7,-6,A,7,100,A,7,821,E,9,0,A,7,0,A,7,12900,B,7,600,A,7,0.6,E,8,0.043,F,8,0.56,F,8,0,1,D,9,0,C,8,268.3831944
1/1/2003,10:00,303,1415,114,2,9,182,2,21,75,2,9,121,2,9,142,2,21,91,2,9,143,2,25,10,E,9,10,A,7,-6,A,7,-6,A,7,100,A,7,821,E,9,0,A,7,0,A,7,12900,B,7,600,A,7,0.5,E,8,0.043,F,8,0.56,F,8,0,1,D,9,0,C,8,268.1524806
1/1/2003,11:00,454,1415,61,2,9,0,2,21,61,2,9,72,2,9,0,2,21,72,2,9,259,2,25,10,E,9,10,A,7,-3,A,7,-3,A,7,100,A,7,821,E,9,50,A,7,3.1,A,7,12900,B,7,600,A,7,0.5,E,8,0.043,F,8,0.56,F,8,0,1,D,9,0,C,8,267.872451
1/1/2003,12:00,549,1415,62,2,9,0,2,21,62,2,9,75,2,9,0,2,21,75,2,9,280,2,25,9,E,9,9,A,7,-1,A,7,-2,A,7,92,A,7,821,E,9,30,A,7,2.6,A,7,16100,B,7,750,A,7,0.6,E,8,0.043,F,8,0.56,F,8,0,1,D,9,0,C,8,268.7027855
1/1/2003,13:00,582,1415,275,2,9,259,2,21,168,2,9,292,2,9,258,2,21,186,2,9,358,2,25,10,E,9,10,A,7,-1,A,7,-3,A,7,85,A,7,821,E,9,340,A,7,3.1,A,7,16100,B,7,2400,A,7,0.6,E,8,0.043,F,8,0.56,F,8,0,1,D,9,0,C,8,270.0133632
1/1/2003,14:00,549,1415,366,2,9,586,2,21,137,2,9,382,2,9,558,2,21,164,2,9,269,2,25,10,E,9,10,E,9,-0.3,E,9,-2.2,E,9,85,A,7,821,E,9,340,E,9,2.2,E,9,16027,C,8,0,E,9,0.6,E,8,0.043,F,8,0.56,F,8,0,1,D,9,0,C,8,273.0242404
1/1/2003,15:00,454,1415,91,2,9,0,2,21,91,2,9,105,2,9,0,2,21,105,2,9,359,2,25,10,E,9,10,E,9,-0.5,E,9,-2.6,E,9,84,A,7,821,E,9,350,E,9,1,E,9,15954,C,8,0,E,9,0.6,E,8,0.043,F,8,0.56,F,8,0,1,D,9,0,C,8,273.1868667
1/1/2003,16:00,303,1415,32,2,9,0,2,21,32,2,9,38,2,9,0,2,21,38,2,9,132,2,25,10,E,9,10,E,9,-0.5,E,9,-2.7,E,9,83,A,7,821,E,9,0,E,9,0,E,9,15881,C,8,0,E,9,0.5,E,8,0.043,F,8,0.56,F,8,0,1,D,9,0,C,8,271.801359
1/1/2003,17:00,109,1415,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-2.3,E,9,-4.8,E,9,81,A,7,821,E,9,0,E,9,0,E,9,15809,C,8,0,E,9,0.5,E,8,0.043,F,8,0.56,F,8,0,1,D,9,0,C,8,270.8600002
1/1/2003,18:00,0,35,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-5.6,E,9,-8.8,E,9,76,A,7,821,E,9,0,E,9,0,E,9,15736,C,8,0,E,9,0.5,E,8,0.043,F,8,0.56,F,8,0,1,D,9,0,C,8,268.958366
