725905,UKIAH MUNICIPAL AP,CA,-8,39.133,-123.2,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2005,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,4,A,7,4,A,7,100,A,7,988,A,7,150,A,7,1.5,A,7,8000,B,7,1110,A,7,1,E,8,0.086,F,8,0.14,F,8,0,1,D,9,0,C,8,277
1/1/2005,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,4,A,7,3,A,7,93,A,7,988,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,1,E,8,0.086,F,8,0.14,F,8,0,1,D,9,0,C,8,276.3349479
1/1/2005,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,2,A,7,2,A,7,100,A,7,989,A,7,0,A,7,0,A,7,16100,B,7,2700,A,7,1,E,8,0.086,F,8,0.14,F,8,0,1,D,9,0,C,8,275.4215653
1/1/2005,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,3,A,7,3,A,7,100,A,7,989,A,7,0,A,7,0,A,7,12900,B,7,960,A,7,1,E,8,0.086,F,8,0.14,F,8,5,1,D,9,0,C,8,274.8652783
1/1/2005,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,3,A,7,3,A,7,100,A,7,989,A,7,0,A,7,0,A,7,8000,B,7,2700,A,7,1,E,8,0.086,F,8,0.14,F,8,0,1,D,9,0,C,8,274.757423
1/1/2005,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,3,A,7,3,A,7,100,A,7,990,A,7,120,A,7,1.5,A,7,11300,B,7,1020,A,7,1,E,8,0.086,F,8,0.14,F,8,0,1,D,9,0,C,8,274.7053759
1/1/2005,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,3,A,7,3,A,7,100,A,7,991,A,7,0,A,7,0,A,7,11300,B,7,780,A,7,1,E,8,0.086,F,8,0.14,F,8,0,1,D,9,0,C,8,274.680397
1/1/2005,8:00,21,625,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,10,E,9,10,A,7,3,A,7,3,A,7,100,A,7,991,A,7,0,A,7,0,A,7,16100,B,7,720,A,7,1,E,8,0.086,F,8,0.14,F,8,0,1,D,9,0,C,8,274.6684426
1/1/2005,9:00,209,1415,96,2,8,259,2,15,58,2,8,98,2,8,166,2,15,74,2,8,107,2,19,10,E,9,10,E,9,4,A,7,4,A,7,100,A,7,992,A,7,120,A,7,2.1,A,7,16100,B,7,930,A,7,1,E,8,0.086,F,8,0.14,F,8,5,1,D,9,0,C,8,276.4530123
1/1/2005,10:00,406,1415,130,2,8,61,2,15,112,2,8,142,2,8,55,2,15,126,2,8,293,2,19,8,E,9,8,E,9,6,A,7,4,A,7,87,A,7,992,A,7,140,A,7,4.1,A,7,16100,B,7,2100,A,7,1,E,8,0.086,F,8,0.14,F,8,0,1,D,9,0,C,8,277.3075527
