725910,RED BLUFF MUNICIPAL ARPT,CA,-8,40.15,-122.25,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2005,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,6.7,A,7,5.6,A,7,93,A,7,997,A,7,160,A,7,4.6,A,7,16000,B,7,274,A,7,1,E,8,0.079,F,8,0.18,F,8,0,1,D,9,0,C,8,279.7
1/1/2005,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,6.1,A,7,5,A,7,93,A,7,997,A,7,220,A,7,2.1,A,7,16000,B,7,2987,A,7,1,E,8,0.079,F,8,0.18,F,8,0,1,D,9,0,C,8,278.8800241
1/1/2005,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,5.6,A,7,4.4,A,7,92,A,7,998,A,7,150,A,7,3.6,A,7,16000,B,7,2743,A,7,1,E,8,0.079,F,8,0.18,F,8,28,1,D,9,0,C,8,278.1779841
1/1/2005,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,3.3,A,7,2.2,A,7,92,A,7,999,A,7,200,A,7,3.6,A,7,16000,B,7,4206,A,7,1,E,8,0.079,F,8,0.18,F,8,0,1,D,9,0,C,8,276.9337616
1/1/2005,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,3.9,A,7,2.8,A,7,93,A,7,999,A,7,190,A,7,2.6,A,7,16000,B,7,3300,A,7,1,E,8,0.079,F,8,0.18,F,8,0,1,D,9,0,C,8,276.0752069
1/1/2005,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,5,A,7,3.9,A,7,93,A,7,999,A,7,160,A,7,5.2,A,7,16000,B,7,3600,A,7,1,E,8,0.079,F,8,0.18,F,8,0,1,D,9,0,C,8,276.1578399
1/1/2005,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,6,E,9,5,A,7,3.9,A,7,93,A,7,1000,A,7,160,A,7,7.2,A,7,16000,B,7,77777,A,7,1,E,8,0.079,F,8,0.18,F,8,0,1,D,9,0,C,8,276.4072445
1/1/2005,8:00,22,625,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,10,E,9,10,A,7,5.6,A,7,3.9,A,7,89,A,7,1001,A,7,160,A,7,6.2,A,7,16000,B,7,2896,A,7,1,E,8,0.079,F,8,0.18,F,8,0,1,D,9,0,C,8,276.7245224
1/1/2005,9:00,207,1415,97,2,8,370,2,15,42,2,8,98,2,8,246,2,15,62,2,8,74,2,19,9,E,9,9,E,9,6.1,A,7,4.4,A,7,89,A,7,1001,A,7,160,A,7,7.2,A,7,16000,B,7,3000,A,7,1,E,8,0.079,F,8,0.18,F,8,0,1,D,9,0,C,8,279.3693842
1/1/2005,10:00,399,1415,219,2,8,384,2,15,110,2,8,225,2,8,331,2,15,131,2,8,209,2,19,4,E,9,4,E,9,7.2,A,7,5,A,7,86,A,7,1002,A,7,160,A,7,7.7,A,7,16000,B,7,77777,A,7,1,E,8,0.079,F,8,0.18,F,8,0,1,D,9,0,C,8,281.0451067
1/1/2005,11:00,540,1415,134,2,8,6,2,15,131,2,8,152,2,8,4,2,15,150,2,8,510,2,19,6,E,9,6,E,9,8,A,7,4,A,7,76,A,7,1002,A,7,160,A,7,9.3,A,7,16100,B,7,77777,A,7,1.1,E,8,0.079,F,8,0.18,F,8,0,1,D,9,0,C,8,278.7371994
1/1/2005,12:00,621,1415,267,2,8,155,2,15,199,2,8,290,2,8,155,2,15,221,2,8,477,2,19,9,E,9,9,E,9,8.9,A,7,5,A,7,77,A,7,1001,A,7,150,A,7,9.8,A,7,16000,B,7,3300,A,7,1.1,E,8,0.079,F,8,0.18,F,8,0,1,D,9,0,C,8,279.0375007
1/1/2005,13:00,636,1415,150,2,8,0,2,15,150,2,8,172,2,8,0,2,15,172,2,8,612,2,19,8,E,9,8,E,9,8.9,A,7,4.4,A,7,73,A,7,1001,A,7,160,A,7,10.8,A,7,16000,B,7,11217,A,7,1.1,E,8,0.079,F,8,0.18,F,8,0,1,D,9,0,C,8,279.1604582
1/1/2005,14:00,583,1415,109,2,8,0,2,15,109,2,8,127,2,8,0,2,15,127,2,8,460,2,19,9,E,9,9,E,9,9.4,A,7,4.4,A,7,71,A,7,1000,A,7,160,A,7,8.8,A,7,16000,B,7,13045,A,7,1.1,E,8,0.079,F,8,0.18,F,8,0,1,D,9,0,C,8,279.378183
1/1/2005,15:00,466,1415,172,2,8,78,2,15,147,2,8,189,2,8,73,2,15,165,2,8,383,2,19,8,E,9,8,E,9,9.4,A,7,4.4,A,7,71,A,7,1000,A,7,160,A,7,11.3,A,7,16000,B,7,990,A,7,1.1,E,8,0.079,F,8,0.18,F,8,0,1,D,9,0,C,8,279.8505876
1/1/2005,16:00,294,1415,176,2,8,222,2,15,130,2,8,186,2,8,173,2,15,150,2,8,281,2,19,10,E,9,10,E,9,9.4,A,7,3.9,A,7,68,A,7,1000,A,7,170,A,7,9.8,A,7,16000,B,7,3048,A,7,1.1,E,8,0.079,F,8,0.18,F,8,0,1,D,9,0,C,8,280.9199783
1/1/2005,17:00,84,1238,22,2,8,99,2,15,16,2,8,25,2,8,42,2,15,22,2,8,28,2,19,10,E,9,10,E,9,8.3,A,7,4.4,A,7,76,A,7,1000,A,7,150,A,7,7.7,A,7,16000,B,7,2896,A,7,1,E,8,0.079,F,8,0.18,F,8,0,1,D,9,0,C,8,281.0339038
1/1/2005,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,7.2,A,7,5,A,7,86,A,7,1001,A,7,160,A,7,5.7,A,7,16000,B,7,3000,A,7,1,E,8,0.079,F,8,0.18,F,8,0,1,D,9,0,C,8,280.834594
1/1/2005,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,E,9,6.7,A,7,4.4,A,7,85,A,7,1001,A,7,160,A,7,5.2,A,7,16000,B,7,77777,A,7,1,E,8,0.079,F,8,0.18,F,8,0,1,D,9,0,C,8,279.4285223
1/1/2005,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,6.1,A,7,3.9,A,7,86,A,7,1001,A,7,150,A,7,7.2,A,7,16000,B,7,77777,A,7,1,E,8,0.079,F,8,0.18,F,8,0,1,D,9,0,C,8,277.5590276
1/1/2005,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,6.1,A,7,3.9,A,7,86,A,7,1001,A,7,150,A,7,8.2,A,7,16000,B,7,77777,A,7,0.9,E,8,0.079,F,8,0.18,F,8,0,1,D,9,0,C,8,277.6384558
1/1/2005,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,6.1,A,7,3.9,A,7,86,A,7,1002,A,7,160,A,7,6.7,A,7,16000,B,7,3048,A,7,0.9,E,8,0.079,F,8,0.18,F,8,0,1,D,9,0,C,8,277.675654
1/1/2005,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,6.7,A,7,3.9,A,7,82,A,7,1002,A,7,160,A,7,5.7,A,7,16000,B,7,2438,A,7,1,E,8,0.079,F,8,0.18,F,8,0,1,D,9,0,C,8,277.893027
1/1/2005,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,6.7,A,7,4.4,A,7,85,A,7,1002,A,7,150,A,7,5.7,A,7,16000,B,7,2700,A,7,1,E,8,0.079,F,8,0.18,F,8,0,1,D,9,0,C,8,278.109867
1/2/2005,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,5.6,A,7,3.9,A,7,89,A,7,1001,A,7,160,A,7,3.6,A,7,16000,B,7,3300,A,7,1.1,E,8,0.079,F,8,0.18,F,8,0,1,D,9,0,C,8,277.8611001
1/2/2005,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,4.4,A,7,3.9,A,7,97,A,7,1001,A,7,220,A,7,2.6,A,7,16000,B,7,2286,A,7,1.1,E,8,0.079,F,8,0.18,F,8,0,1,D,9,0,C,8,277.178516
1/2/2005,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,5.6,A,7,4.4,A,7,92,A,7,1001,A,7,220,A,7,2.6,A,7,16000,B,7,2987,A,7,1.1,E,8,0.079,F,8,0.18,F,8,13,1,D,9,0,C,8,276.9768023
1/2/2005,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,5.6,A,7,4.4,A,7,92,A,7,1001,A,7,250,A,7,3.1,A,7,6400,B,7,274,A,7,1.1,E,8,0.079,F,8,0.18,F,8,60,1,D,9,10,C,8,277.1039683
1/2/2005,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,6,A,7,5,A,7,93,A,7,1000,A,7,230,A,7,1.5,A,7,16100,B,7,210,A,7,1.1,E,8,0.079,F,8,0.18,F,8,0,1,D,9,45,C,8,277.296502
