725958,ALTURAS,CA,-8,41.5,-120.533,1341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2004,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1,A,7,-1,A,7,86,A,7,854,A,7,170,A,7,4.6,A,7,16100,B,7,900,A,7,0.9,E,8,0.042,F,8,0.2,F,8,0,1,D,9,0,C,8,274
1/1/2004,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1,A,7,-1,A,7,86,A,7,853,A,7,170,A,7,4.1,A,7,11300,B,7,870,A,7,1,E,8,0.042,F,8,0.2,F,8,0,1,D,9,71,C,8,273.2682205
1/1/2004,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,2,A,7,-1,A,7,80,A,7,852,A,7,190,A,7,6.7,A,7,14500,B,7,870,A,7,1,E,8,0.042,F,8,0.2,F,8,0,1,D,9,71,C,8,273.2917795
1/1/2004,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1,A,7,-1,A,7,86,A,7,851,A,7,180,A,7,8.7,A,7,9700,B,7,840,A,7,1.1,E,8,0.042,F,8,0.2,F,8,0,1,D,9,10,C,8,274.6974345
1/1/2004,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,2,A,7,-1,A,7,80,A,7,850,A,7,170,A,7,10.3,A,7,9700,B,7,510,A,7,1.1,E,8,0.042,F,8,0.2,F,8,0,1,D,9,71,C,8,272.632522
1/1/2004,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,2,A,7,-2,A,7,73,A,7,849,A,7,170,A,7,9.3,A,7,14500,B,7,990,A,7,1.1,E,8,0.042,F,8,0.2,F,8,0,1,D,9,71,C,8,273.1906764
1/1/2004,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,2,A,7,-2,A,7,73,A,7,847,A,7,190,A,7,11.3,A,7,8000,B,7,840,A,7,1.1,E,8,0.042,F,8,0.2,F,8,0,1,D,9,71,C,8,277.6950334
1/1/2004,8:00,26,696,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,10,E,9,10,E,9,1,A,7,-1,A,7,86,A,7,846,A,7,180,A,7,11.3,A,7,2000,B,7,510,A,7,1.1,E,8,0.042,F,8,0.2,F,8,0,1,D,9,10,C,8,271.3958505
1/1/2004,9:00,209,1415,17,2,8,0,2,15,17,2,8,21,2,8,0,2,15,21,2,8,69,2,19,10,E,9,10,E,9,1,A,7,-1,A,7,86,A,7,846,A,7,180,A,7,10.8,A,7,2400,B,7,480,A,7,1.1,E,8,0.042,F,8,0.2,F,8,0,1,D,9,10,C,8,272.0321563
1/1/2004,10:00,392,1415,259,2,8,524,2,15,113,2,8,264,2,8,449,2,15,139,2,8,216,2,19,10,B,8,10,B,8,0.8,B,8,-0.2,B,8,93,A,7,847,B,8,190,A,7,9.3,A,7,1600,C,8,300,B,8,1.1,E,8,0.042,F,8,0.2,F,8,0,1,D,9,0,C,8,275.690595
