725975,SEXTON SUMMIT,OR,-8,42.6,-123.367,1168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2005,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,0,A,7,-2.2,A,7,83,A,7,870,A,7,190,A,7,5.2,A,7,400,B,7,30,A,7,1,E,8,0.056,F,8,0.17,F,8,0,1,D,9,45,C,8,273
1/1/2005,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,0,A,7,-2.2,A,7,83,A,7,870,A,7,190,A,7,4.1,A,7,400,B,7,549,A,7,0.9,E,8,0.056,F,8,0.17,F,8,0,1,D,9,45,C,8,272.255169
1/1/2005,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,0,A,7,-2.2,A,7,83,A,7,870,A,7,180,A,7,5.2,A,7,400,B,7,549,A,7,0.9,E,8,0.056,F,8,0.17,F,8,0,1,D,9,45,C,8,271.9750663
1/1/2005,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-0.6,A,7,-2.8,A,7,83,A,7,870,A,7,180,A,7,5.2,A,7,400,B,7,30,A,7,0.9,E,8,0.056,F,8,0.17,F,8,0,1,D,9,45,C,8,271.652889
1/1/2005,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-0.6,A,7,-3.3,A,7,80,A,7,870,A,7,190,A,7,5.2,A,7,800,B,7,549,A,7,0.9,E,8,0.056,F,8,0.17,F,8,0,1,D,9,45,C,8,271.3790323
1/1/2005,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-0.6,A,7,-2.8,A,7,83,A,7,870,A,7,180,A,7,4.1,A,7,800,B,7,4816,A,7,0.9,E,8,0.056,F,8,0.17,F,8,0,1,D,9,5,C,8,271.2423499
1/1/2005,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-0.6,A,7,-2.8,A,7,83,A,7,871,A,7,170,A,7,4.1,A,7,4000,B,7,183,A,7,0.9,E,8,0.056,F,8,0.17,F,8,0,1,D,9,45,C,8,271.1754341
1/1/2005,8:00,6,342,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,10,E,9,10,A,7,-0.6,A,7,-2.8,A,7,83,A,7,870,A,7,150,A,7,4.1,A,7,800,B,7,6340,A,7,0.9,E,8,0.056,F,8,0.17,F,8,0,1,D,9,10,C,8,271.1429402
1/1/2005,9:00,154,1415,24,2,8,0,2,15,24,2,8,28,2,8,0,2,15,28,2,8,88,2,19,10,E,9,10,A,7,-0.6,A,7,-2.2,A,7,88,A,7,871,A,7,180,A,7,5.2,A,7,300,B,7,549,A,7,1,E,8,0.056,F,8,0.17,F,8,0,1,D,9,45,C,8,271.0420308
1/1/2005,10:00,341,1415,58,2,8,0,2,15,58,2,8,67,2,8,0,2,15,67,2,8,226,2,19,10,E,9,10,A,7,0,A,7,-2.2,A,7,83,A,7,872,A,7,190,A,7,3.6,A,7,400,B,7,30,A,7,1,E,8,0.056,F,8,0.17,F,8,0,1,D,9,45,C,8,271.0225262
