725976,LAKEVIEW (AWOS),OR,-8,42.167,-120.4,1441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1994,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,3,E,9,1.6,A,7,-3.4,A,7,67,A,7,854,E,9,170,A,7,6.6,A,7,16100,B,7,77777,A,7,1.1,E,8,0.068,F,8,0.28,F,8,0,1,D,9,0,C,8,274.6
1/1/1994,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,0.5,A,7,-2.8,A,7,76,A,7,854,E,9,130,A,7,4.1,A,7,16100,B,7,2700,A,7,1.1,E,8,0.068,F,8,0.28,F,8,0,1,D,9,0,C,8,273.4960791
1/1/1994,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,1.1,A,7,-2.8,A,7,73,A,7,854,E,9,150,A,7,3.6,A,7,16100,B,7,2700,A,7,1.1,E,8,0.068,F,8,0.28,F,8,0,1,D,9,0,C,8,273.036409
1/1/1994,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,7,E,9,1.1,A,7,-2.8,A,7,73,A,7,854,E,9,160,A,7,5.6,A,7,16100,B,7,1170,A,7,1.1,E,8,0.068,F,8,0.28,F,8,0,1,D,9,0,C,8,272.9076491
1/1/1994,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,8,E,9,1.6,A,7,-2.8,A,7,71,A,7,854,E,9,190,A,7,8.2,A,7,16100,B,7,780,A,7,1.1,E,8,0.068,F,8,0.28,F,8,0,1,D,9,0,C,8,273.0073005
1/1/1994,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,0.5,A,7,-2.3,A,7,80,A,7,854,E,9,170,A,7,7.2,A,7,3200,B,7,300,A,7,1.1,E,8,0.068,F,8,0.28,F,8,0,1,D,9,0,C,8,273.8130929
1/1/1994,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,0,A,7,-1.2,A,7,91,A,7,854,E,9,170,A,7,9.2,A,7,1600,B,7,90,A,7,1.1,E,8,0.068,F,8,0.28,F,8,0,1,D,9,0,C,8,275.0186665
1/1/1994,8:00,22,649,2,1,24,0,1,27,2,1,24,0,1,24,0,1,27,0,1,24,0,1,43,10,A,7,10,E,9,0,A,7,-1.7,A,7,87,A,7,854,E,9,170,A,7,7.2,A,7,4000,B,7,120,A,7,1.1,E,8,0.068,F,8,0.28,F,8,0,1,D,9,0,C,8,273.2832317
1/1/1994,9:00,200,1415,22,1,24,0,1,27,22,1,24,26,1,24,0,1,27,26,1,24,87,1,43,10,A,7,10,E,9,0,A,7,-1.2,A,7,91,A,7,854,E,9,180,A,7,7.7,A,7,1600,B,7,90,A,7,1.1,E,8,0.068,F,8,0.28,F,8,0,1,D,9,0,C,8,273.2668346
1/1/1994,10:00,381,1415,72,1,24,0,1,27,72,1,24,83,1,24,0,1,27,83,1,24,279,1,43,10,A,7,10,E,9,0,A,7,-1.2,A,7,91,A,7,854,E,9,180,A,7,6.1,A,7,3200,B,7,480,A,7,1.1,E,8,0.068,F,8,0.28,F,8,0,1,D,9,0,C,8,272.6214337
1/1/1994,11:00,511,1415,88,1,24,0,1,27,88,1,24,103,1,24,0,1,27,103,1,24,367,1,43,10,A,7,10,E,9,0,A,7,-1.2,A,7,91,A,7,854,E,9,180,A,7,8.2,A,7,2800,B,7,390,A,7,1.1,E,8,0.068,F,8,0.28,F,8,0,1,D,9,0,C,8,272.9097808
1/1/1994,12:00,582,1415,103,1,24,0,1,27,103,1,24,121,1,24,0,1,27,121,1,24,440,1,43,10,A,7,10,E,9,0.5,A,7,-1.2,A,7,87,A,7,854,E,9,180,A,7,7.2,A,7,16100,B,7,300,A,7,1.1,E,8,0.068,F,8,0.28,F,8,0,1,D,9,0,C,8,272.9385386
