726165,DILLANT HOPKINS,NH,-5,42.9,-72.267,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2000,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-7,A,7,-11,A,7,70,A,7,995,E,9,170,A,7,1.5,A,7,16100,B,7,1500,A,7,1.2,E,8,0.091,F,8,0.24,F,8,0,1,D,9,0,C,8,266
1/1/2000,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-6,A,7,-9,A,7,77,A,7,995,E,9,0,A,7,0,A,7,16100,B,7,1320,A,7,1.1,E,8,0.091,F,8,0.24,F,8,0,1,D,9,0,C,8,265.6933374
1/1/2000,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-6,A,7,-8,A,7,84,A,7,995,E,9,0,A,7,0,A,7,16100,B,7,1320,A,7,1.1,E,8,0.091,F,8,0.24,F,8,0,1,D,9,0,C,8,265.7440932
1/1/2000,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-5,A,7,-8,A,7,77,A,7,995,E,9,0,A,7,0,A,7,16100,B,7,1260,A,7,1.1,E,8,0.091,F,8,0.24,F,8,0,1,D,9,0,C,8,266.09614
1/1/2000,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-5,A,7,-8,A,7,77,A,7,995,E,9,0,A,7,0,A,7,16100,B,7,1260,A,7,1,E,8,0.091,F,8,0.24,F,8,0,1,D,9,0,C,8,266.4529459
1/1/2000,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-5,A,7,-8,A,7,77,A,7,995,E,9,0,A,7,0,A,7,16100,B,7,1260,A,7,1,E,8,0.091,F,8,0.24,F,8,0,1,D,9,0,C,8,266.6212214
1/1/2000,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-5,A,7,-8,A,7,77,A,7,995,E,9,0,A,7,0,A,7,16100,B,7,1200,A,7,1,E,8,0.091,F,8,0.24,F,8,0,1,D,9,0,C,8,266.7019011
1/1/2000,8:00,41,908,4,2,9,109,2,21,2,2,9,8,2,9,61,2,21,5,2,9,8,2,25,10,E,9,10,E,9,-5,A,7,-7,A,7,84,A,7,995,E,9,0,A,7,0,A,7,16100,B,7,1260,A,7,0.9,E,8,0.091,F,8,0.24,F,8,0,1,D,9,0,C,8,266.9209549
1/1/2000,9:00,229,1415,132,2,9,402,2,21,66,2,9,134,2,9,271,2,21,89,2,9,123,2,25,1,E,9,1,E,9,-4,A,7,-7,A,7,77,A,7,995,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.091,F,8,0.24,F,8,0,1,D,9,0,C,8,267.5126939
1/1/2000,10:00,398,1415,264,2,9,622,2,21,88,2,9,268,2,9,530,2,21,118,2,9,155,2,25,2,E,9,2,E,9,0,A,7,-7,A,7,55,A,7,995,E,9,220,A,7,1.5,A,7,16100,B,7,77777,A,7,0.9,E,8,0.091,F,8,0.24,F,8,0,1,D,9,0,C,8,270.4133779
