726170,BURLINGTON INTERNATIONAL AP,VT,-5,44.467,-73.15,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1987,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-8.3,A,7,-10.6,A,7,84,A,7,1015,A,7,60,A,7,2.1,A,7,11300,B,7,77777,A,7,0.6,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,264.7
1/1/1987,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-8.9,A,7,-11.1,A,7,84,A,7,1015,A,7,100,A,7,2.6,A,7,11300,B,7,77777,A,7,0.6,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,263.949811
1/1/1987,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-9.4,A,7,-11.1,A,7,88,A,7,1016,A,7,70,A,7,2.1,A,7,11300,B,7,77777,A,7,0.6,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,263.3103705
1/1/1987,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-10,A,7,-11.7,A,7,88,A,7,1015,A,7,30,A,7,3.1,A,7,11300,B,7,77777,A,7,0.6,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,262.6199341
1/1/1987,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-9.4,A,7,-11.7,A,7,84,A,7,1015,A,7,40,A,7,4.1,A,7,11300,B,7,77777,A,7,0.6,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,262.4224666
1/1/1987,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,A,7,4,A,7,-9.4,A,7,-11.7,A,7,84,A,7,1015,A,7,100,A,7,2.1,A,7,11300,B,7,77777,A,7,0.6,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,262.4318356
1/1/1987,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,4,A,7,-9.4,A,7,-11.7,A,7,84,A,7,1014,A,7,40,A,7,3.6,A,7,56300,B,7,77777,A,7,0.6,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,262.4365063
1/1/1987,8:00,23,696,15,1,13,11,1,9,14,1,13,0,1,13,0,1,9,0,1,13,0,1,21,10,A,7,7,A,7,-9.4,A,7,-11.7,A,7,84,A,7,1014,A,7,60,A,7,3.1,A,7,24100,B,7,7620,A,7,0.6,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,262.4158441
1/1/1987,9:00,192,1415,54,1,13,24,1,9,51,1,13,59,1,13,17,1,9,57,1,13,122,1,21,10,A,7,9,A,7,-7.8,A,7,-11.1,A,7,77,A,7,1014,A,7,40,A,7,2.1,A,7,24100,B,7,7620,A,7,0.6,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,262.7900941
1/1/1987,10:00,359,1415,147,1,13,236,1,9,87,1,13,157,1,13,199,1,9,106,1,13,167,1,21,10,A,7,7,A,7,-5.6,A,7,-10,A,7,71,A,7,1015,A,7,90,A,7,2.1,A,7,40200,B,7,7620,A,7,0.6,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,264.3209251
