726185,AUGUSTA AIRPORT,ME,-5,44.317,-69.8,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1994,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,E,9,-7.8,A,7,-12.3,A,7,67,A,7,1008,A,7,170,A,7,4.1,A,7,24100,B,7,1500,A,7,0.6,E,8,0.084,F,8,0.15,F,8,0,1,D,9,0,C,8,265.2
1/1/1994,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,E,9,-8.4,A,7,-12.3,A,7,71,A,7,1010,A,7,200,A,7,4.6,A,7,24100,B,7,1500,A,7,0.7,E,8,0.084,F,8,0.15,F,8,0,1,D,9,0,C,8,264.2745499
1/1/1994,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,E,9,-7.3,A,7,-11.2,A,7,71,A,7,1010,A,7,230,A,7,2.5,A,7,24100,B,7,1500,A,7,0.7,E,8,0.084,F,8,0.15,F,8,0,1,D,9,0,C,8,264.1942121
1/1/1994,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,E,9,-6.7,A,7,-10.6,A,7,71,A,7,1011,A,7,200,A,7,3,A,7,24100,B,7,1500,A,7,0.7,E,8,0.084,F,8,0.15,F,8,0,1,D,9,0,C,8,264.5542598
1/1/1994,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,E,9,-7.3,A,7,-10.6,A,7,75,A,7,1010,A,7,190,A,7,4.6,A,7,24100,B,7,2100,A,7,0.7,E,8,0.084,F,8,0.15,F,8,0,1,D,9,0,C,8,264.6462275
1/1/1994,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,E,9,-6.7,A,7,-10,A,7,75,A,7,1011,A,7,170,A,7,3.6,A,7,24100,B,7,2100,A,7,0.7,E,8,0.084,F,8,0.15,F,8,0,1,D,9,0,C,8,264.7688451
1/1/1994,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,E,9,-7.8,A,7,-11.2,A,7,74,A,7,1011,A,7,160,A,7,4.1,A,7,24100,B,7,2100,A,7,0.7,E,8,0.084,F,8,0.15,F,8,0,1,D,9,0,C,8,264.6015067
1/1/1994,8:00,51,1026,9,1,11,4,1,16,9,1,11,10,1,11,2,1,16,10,1,11,23,1,22,9,A,7,9,E,9,-7.3,A,7,-10.6,A,7,75,A,7,1011,A,7,160,A,7,3.6,A,7,24100,B,7,3600,A,7,0.8,E,8,0.084,F,8,0.15,F,8,0,1,D,9,0,C,8,264.4385866
1/1/1994,9:00,236,1415,43,1,11,0,1,16,43,1,11,49,1,11,0,1,16,49,1,11,158,1,22,10,A,7,10,E,9,-6.2,A,7,-9.5,A,7,75,A,7,1011,A,7,190,A,7,5.1,A,7,24100,B,7,3600,A,7,0.8,E,8,0.084,F,8,0.15,F,8,0,1,D,9,0,C,8,264.669042
1/1/1994,10:00,393,1415,84,1,11,0,1,16,84,1,11,96,1,11,0,1,16,96,1,11,317,1,22,10,A,7,10,E,9,-4.5,A,7,-8.9,A,7,68,A,7,1011,A,7,170,A,7,3.6,A,7,24100,B,7,6000,A,7,0.8,E,8,0.084,F,8,0.15,F,8,0,1,D,9,0,C,8,265.3704888
1/1/1994,11:00,498,1415,115,1,11,0,1,16,115,1,11,131,1,11,0,1,16,131,1,11,446,1,22,10,A,7,10,E,9,-3.4,A,7,-8.4,A,7,65,A,7,1010,A,7,180,A,7,4.1,A,7,24100,B,7,4200,A,7,0.8,E,8,0.084,F,8,0.15,F,8,0,1,D,9,0,C,8,266.2276672
1/1/1994,12:00,543,1415,128,1,11,0,1,16,128,1,11,146,1,11,0,1,16,146,1,11,503,1,22,10,A,7,10,E,9,-2.3,A,7,-7.8,A,7,62,A,7,1008,A,7,180,A,7,5.6,A,7,24100,B,7,6000,A,7,0.8,E,8,0.084,F,8,0.15,F,8,0,1,D,9,0,C,8,267.1152021
1/1/1994,13:00,525,1415,123,1,11,0,1,16,123,1,11,140,1,11,0,1,16,140,1,11,480,1,22,10,A,7,10,E,9,-1.7,A,7,-7.8,A,7,59,A,7,1008,A,7,160,A,7,4.6,A,7,24100,B,7,77777,A,7,0.8,E,8,0.084,F,8,0.15,F,8,0,1,D,9,0,C,8,267.9274052
1/1/1994,14:00,445,1415,99,1,11,0,1,16,99,1,11,113,1,11,0,1,16,113,1,11,379,1,22,10,A,7,10,E,9,-0.6,A,7,-6.7,A,7,60,A,7,1007,A,7,160,A,7,4.1,A,7,24100,B,7,4200,A,7,0.8,E,8,0.084,F,8,0.15,F,8,0,1,D,9,0,C,8,268.889395
1/1/1994,15:00,309,1415,61,1,11,0,1,16,61,1,11,70,1,11,0,1,16,70,1,11,227,1,22,10,A,7,10,E,9,0,A,7,-6.7,A,7,57,A,7,1006,A,7,170,A,7,6.1,A,7,24100,B,7,4200,A,7,0.8,E,8,0.084,F,8,0.15,F,8,0,1,D,9,0,C,8,269.9170402
1/1/1994,16:00,128,1415,24,1,11,0,1,16,24,1,11,27,1,11,0,1,16,27,1,11,84,1,22,10,A,7,10,E,9,-1.2,A,7,-6.7,A,7,63,A,7,1005,A,7,170,A,7,5.1,A,7,24100,B,7,4200,A,7,0.8,E,8,0.084,F,8,0.15,F,8,0,1,D,9,0,C,8,270.265972
1/1/1994,17:00,2,200,0,1,11,0,1,17,0,1,11,0,1,11,0,1,17,0,1,11,0,1,23,10,B,8,10,B,8,-1.2,B,8,-6.5,B,8,64,A,7,1005,B,8,170,B,8,5.9,B,8,24100,C,8,3150,B,8,0.8,E,8,0.084,F,8,0.15,F,8,0,1,D,9,0,C,8,270.3492686
1/1/1994,18:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-1.2,A,7,-6.2,A,7,65,A,7,1004,A,7,170,A,7,6.6,A,7,24100,B,7,2100,A,7,0.8,E,8,0.084,F,8,0.15,F,8,0,1,D,9,0,C,8,270.4388713
1/1/1994,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-1.7,A,7,-5.6,A,7,72,A,7,1003,A,7,160,A,7,5.6,A,7,19300,B,7,4500,A,7,0.9,E,8,0.084,F,8,0.15,F,8,0,1,D,9,0,C,8,270.3239021
1/1/1994,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,0.5,A,7,-3.4,A,7,73,A,7,1001,A,7,170,A,7,6.6,A,7,19300,B,7,2100,A,7,0.9,E,8,0.084,F,8,0.15,F,8,0,1,D,9,0,C,8,270.9078422
1/1/1994,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,2.2,A,7,-1.2,A,7,77,A,7,1000,A,7,170,A,7,8.7,A,7,24100,B,7,1800,A,7,0.9,E,8,0.084,F,8,0.15,F,8,0,1,D,9,0,C,8,272.2061051
1/1/1994,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,3.3,A,7,0,A,7,79,A,7,999,A,7,180,A,7,9.2,A,7,24100,B,7,1800,A,7,0.9,E,8,0.084,F,8,0.15,F,8,0,1,D,9,0,C,8,273.5053061
1/1/1994,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,3.3,A,7,0,A,7,79,A,7,997,A,7,180,A,7,9.2,A,7,24100,B,7,1800,A,7,0.9,E,8,0.084,F,8,0.15,F,8,0,1,D,9,0,C,8,274.2910106
1/1/1994,24:00:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,3.3,A,7,-1.2,A,7,71,A,7,996,A,7,180,A,7,7.7,A,7,24100,B,7,4500,A,7,0.9,E,8,0.084,F,8,0.15,F,8,0,1,D,9,0,C,8,274.643826
1/2/1994,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,5,E,9,2.7,A,7,-2.8,A,7,65,A,7,996,A,7,210,A,7,7.7,A,7,24100,B,7,3600,A,7,0.9,E,8,0.084,F,8,0.15,F,8,0,1,D,9,0,C,8,274.6124816
1/2/1994,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,5,E,9,2.2,A,7,-2.8,A,7,68,A,7,996,A,7,200,A,7,7.7,A,7,24100,B,7,900,A,7,0.9,E,8,0.084,F,8,0.15,F,8,0,1,D,9,0,C,8,275.6154498
1/2/1994,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,5,E,9,1.6,A,7,-2.3,A,7,74,A,7,996,A,7,210,A,7,6.1,A,7,24100,B,7,900,A,7,0.9,E,8,0.084,F,8,0.15,F,8,0,1,D,9,0,C,8,273.292651
1/2/1994,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,5,E,9,1.6,A,7,-1.7,A,7,77,A,7,996,A,7,220,A,7,4.1,A,7,24100,B,7,1500,A,7,0.9,E,8,0.084,F,8,0.15,F,8,0,1,D,9,0,C,8,273.2857261
