726370,FLINT BISHOP INTL ARPT,MI,-5,42.967,-83.75,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1986,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-7.2,A,7,-11.7,A,7,71,A,7,988,A,7,280,A,7,6.2,A,7,22500,B,7,790,A,7,0.4,E,8,0,?,0,0,?,0,0,1,D,9,85,C,8,265.8
1/1/1986,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-8.3,A,7,-12.2,A,7,74,A,7,988,A,7,260,A,7,4.6,A,7,22500,B,7,77777,A,7,0.4,E,8,0,?,0,0,?,0,0,1,D,9,85,C,8,264.8367379
1/1/1986,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-10,A,7,-13.3,A,7,77,A,7,989,A,7,250,A,7,4.6,A,7,22500,B,7,77777,A,7,0.4,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,263.2775029
1/1/1986,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-11.1,A,7,-14.4,A,7,77,A,7,989,A,7,240,A,7,3.6,A,7,22500,B,7,77777,A,7,0.4,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,262.2823662
1/1/1986,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-13.3,A,7,-16.1,A,7,80,A,7,989,A,7,220,A,7,2.1,A,7,22500,B,7,77777,A,7,0.4,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,260.8276241
1/1/1986,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,2,A,7,-13.9,A,7,-16.1,A,7,84,A,7,990,A,7,210,A,7,3.6,A,7,22500,B,7,77777,A,7,0.4,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,259.5556975
1/1/1986,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,5,A,7,-11.7,A,7,-13.9,A,7,84,A,7,990,A,7,190,A,7,3.1,A,7,22500,B,7,77777,A,7,0.4,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,259.4698809
1/1/1986,8:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-10.6,A,7,-13.3,A,7,80,A,7,990,A,7,200,A,7,3.6,A,7,22500,B,7,670,A,7,0.4,E,8,0,?,0,0,?,0,0,1,D,9,3,C,8,260.202703
1/1/1986,9:00,77,1214,15,1,13,1,1,9,15,1,13,17,1,13,0,1,9,17,1,13,54,1,21,10,A,7,10,A,7,-8.9,A,7,-11.7,A,7,81,A,7,991,A,7,210,A,7,4.1,A,7,11300,B,7,700,A,7,0.4,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,261.2913895
1/1/1986,10:00,272,1415,77,1,13,4,1,9,76,1,13,85,1,13,1,1,9,85,1,13,249,1,21,10,A,7,10,A,7,-7.2,A,7,-11.1,A,7,74,A,7,991,A,7,210,A,7,6.2,A,7,11300,B,7,700,A,7,0.4,E,8,0,F,8,0,?,0,0,1,D,9,71,C,8,262.4828964
1/1/1986,11:00,429,1415,148,1,9,9,1,9,146,1,13,163,1,9,6,1,9,161,1,13,475,1,18,10,A,7,10,A,7,-6.7,A,7,-9.4,A,7,81,A,7,991,A,7,220,A,7,5.2,A,7,3200,B,7,460,A,7,0.4,E,8,0,F,8,0,?,0,0,1,D,9,85,C,8,263.1793177
1/1/1986,12:00,532,1415,146,1,9,3,1,9,145,1,13,165,1,9,2,1,9,164,1,13,542,1,18,10,A,7,10,A,7,-6.7,A,7,-9.4,A,7,81,A,7,991,A,7,230,A,7,5.2,A,7,4000,B,7,850,A,7,0.4,E,8,0,F,8,0,?,0,0,1,D,9,71,C,8,263.4521652
1/1/1986,13:00,574,1415,194,1,9,6,1,9,192,1,13,216,1,9,5,1,9,214,1,13,675,1,18,10,A,7,10,A,7,-6.7,A,7,-9.4,A,7,81,A,7,990,A,7,230,A,7,6.2,A,7,2000,B,7,310,A,7,0.4,E,8,0,F,8,0,?,0,0,1,D,9,71,C,8,263.4223922
1/1/1986,14:00,551,1415,222,1,9,0,1,9,222,1,13,243,1,9,0,1,9,243,1,13,701,1,18,10,A,7,10,A,7,-6.1,A,7,-9.4,A,7,78,A,7,989,A,7,220,A,7,4.1,A,7,11300,B,7,850,A,7,0.4,E,8,0,F,8,0,?,0,0,1,D,9,71,C,8,263.4135656
