726404,MINOCQUA/WOODRUFF,WI,-6,45.933,-89.733,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2005,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-11,A,7,-12,A,7,91,A,7,955,E,9,340,A,7,2.1,A,7,16100,B,7,77777,A,7,0.5,E,8,0.058,F,8,0.16,F,8,0,1,D,9,0,C,8,262
1/1/2005,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,-11,A,7,-13,A,7,84,A,7,955,E,9,190,A,7,2.1,A,7,11300,B,7,77777,A,7,0.5,E,8,0.058,F,8,0.16,F,8,0,1,D,9,0,C,8,261.459392
1/1/2005,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-11,A,7,-12,A,7,91,A,7,955,E,9,0,A,7,0,A,7,2000,B,7,300,A,7,0.5,E,8,0.058,F,8,0.16,F,8,0,1,D,9,71,C,8,261.1672345
1/1/2005,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,-12,A,7,-13,A,7,91,A,7,955,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,0.6,E,8,0.058,F,8,0.16,F,8,0,1,D,9,71,C,8,260.7203655
1/1/2005,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,8,E,9,-12,A,7,-13,A,7,91,A,7,955,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,0.7,E,8,0.058,F,8,0.16,F,8,0,1,D,9,0,C,8,260.3150023
1/1/2005,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,6,E,9,-11,A,7,-12,A,7,91,A,7,955,E,9,10,A,7,2.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.058,F,8,0.16,F,8,0,1,D,9,0,C,8,260.409733
1/1/2005,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,-11,A,7,-12,A,7,91,A,7,955,E,9,40,A,7,2.1,A,7,16100,B,7,390,A,7,0.8,E,8,0.058,F,8,0.16,F,8,0,1,D,9,0,C,8,260.6423027
1/1/2005,8:00,8,413,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-9,A,7,-11,A,7,84,A,7,955,E,9,40,A,7,1.5,A,7,11300,B,7,330,A,7,0.8,E,8,0.058,F,8,0.16,F,8,0,1,D,9,0,C,8,261.4248695
1/1/2005,9:00,149,1415,68,2,9,108,2,21,56,2,9,72,2,9,61,2,21,65,2,9,117,2,25,5,E,9,5,A,7,-9,A,7,-11,A,7,84,A,7,955,E,9,80,A,7,1.5,A,7,16100,B,7,77777,A,7,0.8,E,8,0.058,F,8,0.16,F,8,0,1,D,9,71,C,8,262.2822158
1/1/2005,10:00,316,1415,87,2,9,0,2,21,87,2,9,97,2,9,0,2,21,97,2,9,293,2,25,10,E,9,9,E,9,-8,A,7,-11,A,7,77,A,7,955,E,9,70,A,7,2.6,A,7,16100,B,7,3300,A,7,0.9,E,8,0.058,F,8,0.16,F,8,0,1,D,9,0,C,8,262.6142177
