726458,STURGEON BAY,WI,-5,44.85,-87.417,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2000,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,1,A,7,-6,A,7,56,A,7,987,E,9,200,A,7,7.7,A,7,16100,B,7,77777,A,7,1.1,E,8,0.064,F,8,0.15,F,8,0,1,D,9,0,C,8,274
1/1/2000,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,6,E,9,2,A,7,-4,A,7,62,A,7,987,E,9,220,A,7,9.3,A,7,16100,B,7,77777,A,7,1,E,8,0.064,F,8,0.15,F,8,0,1,D,9,0,C,8,273.1485349
1/1/2000,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,8,E,9,3,A,7,-3,A,7,63,A,7,987,E,9,230,A,7,8.2,A,7,16100,B,7,77777,A,7,1,E,8,0.064,F,8,0.15,F,8,0,1,D,9,0,C,8,273.7682141
1/1/2000,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,3,E,9,3,A,7,-3,A,7,63,A,7,987,E,9,240,A,7,6.7,A,7,16100,B,7,77777,A,7,1,E,8,0.064,F,8,0.15,F,8,0,1,D,9,0,C,8,274.2446177
1/1/2000,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2,A,7,-3,A,7,67,A,7,987,E,9,240,A,7,6.7,A,7,16100,B,7,77777,A,7,1,E,8,0.064,F,8,0.15,F,8,0,1,D,9,0,C,8,274.1417395
1/1/2000,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2,A,7,-3,A,7,67,A,7,987,E,9,240,A,7,6.2,A,7,16100,B,7,77777,A,7,1,E,8,0.064,F,8,0.15,F,8,0,1,D,9,0,C,8,273.9018273
1/1/2000,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,1,A,7,-3,A,7,72,A,7,987,E,9,250,A,7,5.1,A,7,16100,B,7,77777,A,7,1,E,8,0.064,F,8,0.15,F,8,0,1,D,9,0,C,8,273.8513528
1/1/2000,8:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,1,A,7,-3,A,7,72,A,7,987,E,9,250,A,7,4.1,A,7,16100,B,7,77777,A,7,0.9,E,8,0.064,F,8,0.15,F,8,0,1,D,9,0,C,8,273.5148664
1/1/2000,9:00,25,719,0,2,9,40,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,1,E,9,1,E,9,0,A,7,-4,A,7,72,A,7,987,E,9,280,A,7,3.6,A,7,16100,B,7,77777,A,7,0.9,E,8,0.064,F,8,0.15,F,8,0,1,D,9,0,C,8,272.8574049
1/1/2000,10:00,195,1415,94,2,9,215,2,21,64,2,9,97,2,9,129,2,21,79,2,9,127,2,25,2,E,9,2,E,9,-1,A,7,-4,A,7,78,A,7,987,E,9,310,A,7,3.1,A,7,16100,B,7,77777,A,7,0.9,E,8,0.064,F,8,0.15,F,8,0,1,D,9,0,C,8,272.0992825
