726468,PHILLIPS/PRICE CO.,WI,-6,45.7,-90.4,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2005,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,8,E,9,-11,A,7,-12,A,7,91,A,7,961,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,0.5,E,8,0.06,F,8,0.39,F,8,0,1,D,9,0,C,8,262
1/1/2005,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,6,E,9,-11,A,7,-12,A,7,91,A,7,961,E,9,240,A,7,1.5,A,7,16100,B,7,77777,A,7,0.5,E,8,0.06,F,8,0.39,F,8,0,1,D,9,0,C,8,261.459392
1/1/2005,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,8,E,9,-12,A,7,-12,A,7,100,A,7,961,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,0.6,E,8,0.06,F,8,0.39,F,8,0,1,D,9,0,C,8,260.907052
1/1/2005,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,5,E,9,-12,A,7,-12,A,7,100,A,7,961,E,9,10,A,7,1.5,A,7,16100,B,7,77777,A,7,0.6,E,8,0.06,F,8,0.39,F,8,0,1,D,9,0,C,8,260.4195106
1/1/2005,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,4,E,9,-11,A,7,-12,A,7,91,A,7,961,E,9,10,A,7,2.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.06,F,8,0.39,F,8,0,1,D,9,0,C,8,260.4610812
1/1/2005,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,4,E,9,-11,A,7,-11,A,7,100,A,7,961,E,9,20,A,7,2.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.06,F,8,0.39,F,8,0,1,D,9,0,C,8,260.6669766
1/1/2005,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,4,E,9,-11,A,7,-11,A,7,100,A,7,961,E,9,50,A,7,1.5,A,7,16100,B,7,77777,A,7,0.8,E,8,0.06,F,8,0.39,F,8,0,1,D,9,0,C,8,260.7668346
1/1/2005,8:00,6,366,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,4,E,9,-11,A,7,-11,A,7,100,A,7,961,E,9,60,A,7,1.5,A,7,16100,B,7,77777,A,7,0.8,E,8,0.06,F,8,0.39,F,8,0,1,D,9,0,C,8,260.8157712
1/1/2005,9:00,144,1415,12,2,9,0,2,21,12,2,9,15,2,9,0,2,21,15,2,9,48,2,25,0,E,9,0,A,7,-9,A,7,-10,A,7,92,A,7,961,E,9,90,A,7,3.1,A,7,16100,B,7,77777,A,7,0.9,E,8,0.06,F,8,0.39,F,8,0,1,D,9,0,C,8,261.4618719
1/1/2005,10:00,314,1415,37,2,9,0,2,21,37,2,9,44,2,9,0,2,21,44,2,9,151,2,25,10,E,9,4,E,9,-8,A,7,-9,A,7,92,A,7,961,E,9,70,A,7,4.6,A,7,16100,B,7,77777,A,7,0.9,E,8,0.06,F,8,0.39,F,8,0,1,D,9,0,C,8,262.3821914
