726498,FAIR FIELD,IA,-6,41.05,-91.983,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2004,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,7,E,9,-1,A,7,-3,A,7,85,A,7,984,E,9,90,A,7,3.6,A,7,16100,B,7,77777,A,7,0.9,E,8,0.07,F,8,0.19,F,8,0,1,D,9,0,C,8,272
1/1/2004,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,7,E,9,-1,A,7,-3,A,7,85,A,7,984,E,9,90,A,7,3.6,A,7,16100,B,7,77777,A,7,0.9,E,8,0.07,F,8,0.19,F,8,0,1,D,9,0,C,8,271.3602441
1/1/2004,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,8,E,9,-1,A,7,-2,A,7,92,A,7,984,E,9,90,A,7,3.6,A,7,16100,B,7,77777,A,7,1,E,8,0.07,F,8,0.19,F,8,0,1,D,9,0,C,8,271.0367647
1/1/2004,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,4,E,9,-1,A,7,-2,A,7,92,A,7,984,E,9,110,A,7,3.6,A,7,16100,B,7,77777,A,7,1.1,E,8,0.07,F,8,0.19,F,8,0,1,D,9,0,C,8,270.8740683
1/1/2004,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,6,E,9,0,A,7,-2,A,7,85,A,7,984,E,9,110,A,7,4.1,A,7,16100,B,7,77777,A,7,1.2,E,8,0.07,F,8,0.19,F,8,0,1,D,9,0,C,8,271.1210487
1/1/2004,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,8,E,9,0,A,7,-1,A,7,92,A,7,984,E,9,130,A,7,4.1,A,7,16100,B,7,77777,A,7,1.2,E,8,0.07,F,8,0.19,F,8,0,1,D,9,0,C,8,271.4285322
1/1/2004,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,6,E,9,1,A,7,0,A,7,93,A,7,984,E,9,140,A,7,5.1,A,7,16100,B,7,77777,A,7,1.4,E,8,0.07,F,8,0.19,F,8,0,1,D,9,0,C,8,271.9086879
1/1/2004,8:00,19,601,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,9,E,9,1,A,7,0,A,7,93,A,7,984,E,9,150,A,7,3.6,A,7,16100,B,7,840,A,7,1.6,E,8,0.07,F,8,0.19,F,8,0,1,D,9,0,C,8,272.3233447
1/1/2004,9:00,197,1415,70,2,9,73,2,21,60,2,9,76,2,9,48,2,21,69,2,9,127,2,25,10,E,9,7,E,9,2,A,7,1,A,7,93,A,7,984,E,9,140,A,7,5.1,A,7,16100,B,7,77777,A,7,1.8,E,8,0.07,F,8,0.19,F,8,0,1,D,9,0,C,8,272.8342363
1/1/2004,10:00,385,1415,257,2,9,488,2,21,123,2,9,259,2,9,414,2,21,146,2,9,238,2,25,6,E,9,6,E,9,6,A,7,3,A,7,81,A,7,984,E,9,150,A,7,5.7,A,7,16100,B,7,77777,A,7,1.8,E,8,0.07,F,8,0.19,F,8,0,1,D,9,0,C,8,275.2899459
