726500,SPENCER,IA,-6,43.167,-95.15,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1999,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-19,A,7,-23,A,7,68,A,7,973,A,7,0,A,7,0,A,7,14500,B,7,60,A,7,0.8,E,8,0.061,F,8,0.21,F,8,0,1,D,9,0,C,8,254
1/1/1999,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,6,E,9,-17,A,7,-19,A,7,83,A,7,973,A,7,50,A,7,2.6,A,7,12900,B,7,77777,A,7,0.9,E,8,0.061,F,8,0.21,F,8,0,1,D,9,0,C,8,254.1070658
1/1/1999,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-14,A,7,-17,A,7,76,A,7,973,A,7,70,A,7,4.6,A,7,16100,B,7,3600,A,7,0.9,E,8,0.061,F,8,0.21,F,8,0,1,D,9,0,C,8,255.5768118
1/1/1999,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-13,A,7,-16,A,7,76,A,7,974,A,7,80,A,7,4.6,A,7,16100,B,7,3300,A,7,0.9,E,8,0.061,F,8,0.21,F,8,0,1,D,9,0,C,8,257.1767274
1/1/1999,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-13,A,7,-16,A,7,76,A,7,974,A,7,90,A,7,4.6,A,7,16100,B,7,3300,A,7,0.9,E,8,0.061,F,8,0.21,F,8,0,1,D,9,0,C,8,258.0821796
1/1/1999,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-13,A,7,-16,A,7,76,A,7,974,A,7,100,A,7,6.7,A,7,16100,B,7,1800,A,7,0.9,E,8,0.061,F,8,0.21,F,8,0,1,D,9,0,C,8,258.4995885
1/1/1999,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-14,A,7,-16,A,7,83,A,7,974,A,7,100,A,7,7.2,A,7,12900,B,7,1500,A,7,0.9,E,8,0.061,F,8,0.21,F,8,0,1,D,9,0,C,8,259.3664705
1/1/1999,8:00,1,130,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-14,A,7,-16,A,7,83,A,7,974,A,7,100,A,7,6.2,A,7,4800,B,7,780,A,7,0.9,E,8,0.061,F,8,0.21,F,8,0,1,D,9,10,C,8,257.9683035
1/1/1999,9:00,121,1415,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-13,A,7,-16,A,7,76,A,7,973,A,7,110,A,7,8.7,A,7,4800,B,7,2100,A,7,0.9,E,8,0.061,F,8,0.21,F,8,0,1,D,9,10,C,8,258.2551987
1/1/1999,10:00,310,1415,144,2,9,202,2,21,99,2,9,149,2,9,159,2,21,114,2,9,200,2,25,10,E,9,10,A,7,-13,A,7,-16,A,7,76,A,7,973,A,7,120,A,7,8.2,A,7,1600,B,7,15,A,7,0.9,E,8,0.061,F,8,0.21,F,8,0,1,D,9,10,C,8,258.7026748
1/1/1999,11:00,455,1415,106,2,9,0,2,21,106,2,9,120,2,9,0,2,21,120,2,9,402,2,25,10,E,9,10,A,7,-13,A,7,-16,A,7,76,A,7,973,A,7,110,A,7,8.7,A,7,1600,B,7,15,A,7,0.9,E,8,0.061,F,8,0.21,F,8,0,1,D,9,10,C,8,258.4192019
1/1/1999,12:00,544,1415,113,2,9,0,2,21,113,2,9,130,2,9,0,2,21,130,2,9,459,2,25,10,E,9,10,A,7,-13,A,7,-16,A,7,76,A,7,972,A,7,110,A,7,7.7,A,7,1600,B,7,15,A,7,0.9,E,8,0.061,F,8,0.21,F,8,0,1,D,9,10,C,8,258.0518744
1/1/1999,13:00,570,1415,102,2,9,0,2,21,102,2,9,119,2,9,0,2,21,119,2,9,432,2,25,10,E,9,10,A,7,-13,A,7,-16,A,7,76,A,7,972,A,7,110,A,7,8.7,A,7,1200,B,7,15,A,7,0.9,E,8,0.061,F,8,0.21,F,8,0,1,D,9,10,C,8,257.9039158
1/1/1999,14:00,531,1415,63,2,9,0,2,21,63,2,9,76,2,9,0,2,21,76,2,9,281,2,25,10,E,9,10,A,7,-13,A,7,-15,A,7,83,A,7,971,A,7,110,A,7,6.2,A,7,800,B,7,15,A,7,0.9,E,8,0.061,F,8,0.21,F,8,0,1,D,9,49,C,8,257.9919403
1/1/1999,15:00,431,1415,60,2,9,0,2,21,60,2,9,71,2,9,0,2,21,71,2,9,251,2,25,10,E,9,10,A,7,-13,A,7,-16,A,7,76,A,7,971,A,7,100,A,7,7.7,A,7,800,B,7,15,A,7,0.9,E,8,0.061,F,8,0.21,F,8,0,1,D,9,49,C,8,258.1206071
1/1/1999,16:00,277,1415,29,2,9,0,2,21,29,2,9,35,2,9,0,2,21,35,2,9,118,2,25,10,E,9,10,A,7,-13,A,7,-15,A,7,83,A,7,971,A,7,100,A,7,7.7,A,7,800,B,7,15,A,7,0.9,E,8,0.061,F,8,0.21,F,8,0,1,D,9,49,C,8,258.294108
1/1/1999,17:00,83,1285,8,2,9,0,2,21,8,2,9,10,2,9,0,2,21,10,2,9,31,2,25,10,E,9,10,A,7,-13,A,7,-16,A,7,76,A,7,971,A,7,90,A,7,8.2,A,7,800,B,7,15,A,7,0.9,E,8,0.061,F,8,0.21,F,8,0,1,D,9,49,C,8,258.5121848
1/1/1999,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-14,A,7,-16,A,7,83,A,7,971,A,7,80,A,7,7.7,A,7,1200,B,7,15,A,7,0.9,E,8,0.061,F,8,0.21,F,8,0,1,D,9,10,C,8,259.8507331
1/1/1999,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-14,A,7,-16,A,7,83,A,7,971,A,7,90,A,7,7.7,A,7,1600,B,7,15,A,7,0.9,E,8,0.061,F,8,0.21,F,8,0,1,D,9,10,C,8,257.877332
1/1/1999,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-14,A,7,-16,A,7,83,A,7,971,A,7,90,A,7,7.2,A,7,2800,B,7,360,A,7,0.9,E,8,0.061,F,8,0.21,F,8,0,1,D,9,10,C,8,257.8911174
1/1/1999,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-13,A,7,-16,A,7,76,A,7,971,A,7,90,A,7,7.2,A,7,1600,B,7,15,A,7,0.9,E,8,0.061,F,8,0.21,F,8,0,1,D,9,10,C,8,258.2183409
