726510,SIOUX FALLS FOSS FIELD,SD,-6,43.583,-96.75,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1985,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-15,A,7,-21.1,A,7,60,A,7,975,A,7,360,A,7,5.2,A,7,16100,B,7,940,A,7,0.4,E,8,0,?,0,0,?,0,0,1,D,9,71,C,8,258
1/1/1985,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-14.4,A,7,-20.6,A,7,60,A,7,975,A,7,350,A,7,7.7,A,7,16100,B,7,910,A,7,0.4,E,8,0,?,0,0,?,0,0,1,D,9,71,C,8,257.4963776
1/1/1985,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-14.4,A,7,-20,A,7,63,A,7,975,A,7,340,A,7,6.2,A,7,16100,B,7,730,A,7,0.4,E,8,0,?,0,0,?,0,0,1,D,9,71,C,8,257.5032717
1/1/1985,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-15,A,7,-20.6,A,7,63,A,7,976,A,7,330,A,7,7.2,A,7,16100,B,7,640,A,7,0.4,E,8,0,?,0,0,?,0,0,1,D,9,71,C,8,258.3764675
1/1/1985,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-15.6,A,7,-21.7,A,7,60,A,7,976,A,7,330,A,7,6.7,A,7,16100,B,7,640,A,7,0.3,E,8,0,?,0,0,?,0,0,1,D,9,71,C,8,256.4029615
1/1/1985,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-16.7,A,7,-22.2,A,7,62,A,7,976,A,7,340,A,7,6.7,A,7,16100,B,7,640,A,7,0.3,E,8,0,?,0,0,?,0,0,1,D,9,71,C,8,257.410037
1/1/1985,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,4,A,7,4,A,7,-18.3,A,7,-23.3,A,7,65,A,7,977,A,7,300,A,7,5.2,A,7,19300,B,7,77777,A,7,0.3,E,8,0,?,0,0,?,0,0,1,D,9,71,C,8,255.798678
1/1/1985,8:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,A,7,-19.4,A,7,-24.4,A,7,65,A,7,978,A,7,310,A,7,3.6,A,7,19300,B,7,77777,A,7,0.3,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,254.3884432
1/1/1985,9:00,94,1356,37,1,13,173,1,9,24,1,13,38,1,13,74,1,9,33,1,13,43,1,21,4,A,7,0,A,7,-20,A,7,-25.6,A,7,62,A,7,978,A,7,330,A,7,4.6,A,7,19300,B,7,77777,A,7,0.3,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,253.760834
1/1/1985,10:00,285,1415,157,1,13,560,1,9,43,1,13,158,1,13,443,1,9,68,1,13,79,1,21,0,A,7,0,A,7,-18.9,A,7,-25.6,A,7,56,A,7,979,A,7,310,A,7,6.7,A,7,19300,B,7,77777,A,7,0.3,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,253.9603693
1/1/1985,11:00,434,1415,276,1,9,714,1,9,56,1,13,285,1,9,641,1,9,87,1,13,111,1,18,0,A,7,0,A,7,-17.2,A,7,-25,A,7,51,A,7,979,A,7,310,A,7,6.2,A,7,16100,B,7,77777,A,7,0.3,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,255.8190497
1/1/1985,12:00,528,1415,357,1,9,782,1,9,64,1,13,373,1,9,734,1,9,97,1,13,131,1,18,0,A,7,0,A,7,-16.7,A,7,-24.4,A,7,51,A,7,978,A,7,300,A,7,6.2,A,7,16100,B,7,77777,A,7,0.3,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,258.4109835
1/1/1985,13:00,561,1415,387,1,9,806,1,9,67,1,13,406,1,9,765,1,9,101,1,13,139,1,18,0,A,7,0,A,7,-15.6,A,7,-24.4,A,7,47,A,7,978,A,7,320,A,7,6.7,A,7,19300,B,7,77777,A,7,0.3,E,8,0,F,8,0,?,0,0,1,D,9,2,C,8,262.0365459
1/1/1985,14:00,530,1415,359,1,9,788,1,9,64,1,13,376,1,9,740,1,9,97,1,13,131,1,18,0,A,7,0,A,7,-14.4,A,7,-23.9,A,7,45,A,7,978,A,7,310,A,7,6.2,A,7,19300,B,7,77777,A,7,0.3,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,265.2466646
1/1/1985,15:00,437,1415,277,1,9,716,1,9,56,1,13,288,1,9,644,1,9,87,1,13,111,1,18,0,A,7,0,A,7,-13.9,A,7,-23.9,A,7,43,A,7,978,A,7,330,A,7,5.2,A,7,19300,B,7,77777,A,7,0.3,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,267.186396
1/1/1985,16:00,289,1415,157,1,13,564,1,9,43,1,13,161,1,13,449,1,9,69,1,13,80,1,21,0,A,7,0,A,7,-13.9,A,7,-23.3,A,7,45,A,7,978,A,7,300,A,7,5.2,A,7,16100,B,7,77777,A,7,0.3,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,267.2814752
1/1/1985,17:00,99,1403,38,1,13,209,1,9,21,1,13,38,1,13,103,1,9,30,1,13,37,1,21,0,A,7,0,A,7,-15,A,7,-23.3,A,7,49,A,7,978,A,7,290,A,7,4.1,A,7,24100,B,7,77777,A,7,0.3,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,264.4809615
1/1/1985,18:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-16.7,A,7,-23.3,A,7,57,A,7,978,A,7,0,A,7,0,A,7,24100,B,7,77777,A,7,0.3,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,260.2826145
1/1/1985,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-17.2,A,7,-23.3,A,7,59,A,7,978,A,7,0,A,7,0,A,7,24100,B,7,77777,A,7,0.3,E,8,0,?,0,0,?,0,0,1,D,9,2,C,8,257.4232013
1/1/1985,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-17.8,A,7,-23.3,A,7,62,A,7,978,A,7,0,A,7,0,A,7,24100,B,7,77777,A,7,0.3,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,255.8610683
1/1/1985,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-18.3,A,7,-23.9,A,7,62,A,7,978,A,7,260,A,7,1.5,A,7,24100,B,7,77777,A,7,0.3,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,254.8287162
