726556,REDWOOD FALLS MUNI,MN,-6,44.55,-95.083,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,A,7,10,E,9,-2,A,7,-4,A,7,85,A,7,970,A,7,180,A,7,5.1,A,7,19300,B,7,7500,A,7,0.8,E,8,0.06,F,8,0.21,F,8,0,1,D,9,0,C,8,271
1/1/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,A,7,10,E,9,-2,A,7,-3,A,7,92,A,7,969,A,7,180,A,7,5.1,A,7,19300,B,7,7500,A,7,0.8,E,8,0.06,F,8,0.21,F,8,0,1,D,9,0,C,8,270.2443377
1/1/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,B,8,6,B,8,-2.5,B,8,-3.5,B,8,92,A,7,968,B,8,190,B,8,5.1,B,8,19300,C,8,14750,B,8,0.8,E,8,0.06,F,8,0.21,F,8,0,1,D,9,0,C,8,269.8386492
1/1/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,A,7,2,E,9,-3,A,7,-4,A,7,92,A,7,967,A,7,190,A,7,5.1,A,7,19300,B,7,77777,A,7,0.8,E,8,0.06,F,8,0.21,F,8,0,1,D,9,0,C,8,269.8972806
1/1/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,A,7,3,E,9,-2,A,7,-3,A,7,92,A,7,967,A,7,210,A,7,5.1,A,7,19300,B,7,77777,A,7,0.8,E,8,0.06,F,8,0.21,F,8,0,1,D,9,0,C,8,269.6792859
1/1/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,A,7,2,E,9,-1,A,7,-3,A,7,85,A,7,966,A,7,200,A,7,5.1,A,7,19300,B,7,77777,A,7,0.8,E,8,0.06,F,8,0.21,F,8,0,1,D,9,0,C,8,270.037885
1/1/1998,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,A,7,3,E,9,-2,A,7,-3,A,7,92,A,7,966,A,7,210,A,7,6.2,A,7,19300,B,7,77777,A,7,0.8,E,8,0.06,F,8,0.21,F,8,0,1,D,9,0,C,8,270.0731738
1/1/1998,8:00,0,35,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,2,A,7,2,E,9,-1,A,7,-3,A,7,85,A,7,966,A,7,210,A,7,7.7,A,7,19300,B,7,77777,A,7,0.8,E,8,0.06,F,8,0.21,F,8,0,1,D,9,0,C,8,270.2222531
1/1/1998,9:00,102,1415,18,2,9,0,2,21,18,2,9,21,2,9,0,2,21,21,2,9,63,2,25,5,A,7,4,E,9,0,A,7,-3,A,7,78,A,7,967,A,7,230,A,7,5.1,A,7,19300,B,7,77777,A,7,0.9,E,8,0.06,F,8,0.21,F,8,0,1,D,9,0,C,8,270.7592043
1/1/1998,10:00,286,1415,31,2,9,0,2,21,31,2,9,37,2,9,0,2,21,37,2,9,127,2,25,9,A,7,7,E,9,2,A,7,-2,A,7,73,A,7,968,A,7,220,A,7,4.6,A,7,24100,B,7,7500,A,7,0.9,E,8,0.06,F,8,0.21,F,8,0,1,D,9,0,C,8,271.8253805
