726558,CLOQUET (AWOS),MN,-6,46.7,-92.5,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,4,E,9,-6.1,E,9,-9.4,E,9,75,A,7,967,E,9,100,E,9,4.5,E,9,16100,C,8,17100,E,9,0.9,E,8,0.054,F,8,0.59,F,8,0,1,D,9,0,C,8,266.9
1/1/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,2,E,9,-5.9,E,9,-9.6,E,9,72,A,7,967,E,9,90,E,9,3.5,E,9,16100,C,8,18733,E,9,0.9,E,8,0.054,F,8,0.59,F,8,0,1,D,9,0,C,8,266.3544191
1/1/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,-7.4,E,9,-9.3,E,9,85,A,7,967,E,9,90,E,9,4.6,E,9,16100,C,8,20367,E,9,0.9,E,8,0.054,F,8,0.59,F,8,0,1,D,9,44,C,8,265.8320828
1/1/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-8.4,E,9,-10.6,E,9,82,A,7,967,E,9,80,E,9,5.1,E,9,16100,C,8,750,E,9,0.9,E,8,0.054,F,8,0.59,F,8,0,1,D,9,44,C,8,264.8971172
1/1/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,5,E,9,-9.5,E,9,-11.2,E,9,86,A,7,967,E,9,80,E,9,4.1,E,9,16100,C,8,77777,E,9,0.9,E,8,0.054,F,8,0.59,F,8,0,1,D,9,44,C,8,263.9750539
1/1/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,5,E,9,-13.4,E,9,-15,E,9,86,A,7,967,E,9,80,E,9,3.6,E,9,16100,C,8,77777,E,9,1,E,8,0.054,F,8,0.59,F,8,0,1,D,9,44,C,8,261.9142689
1/1/1998,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,5,E,9,-15.6,E,9,-17.8,E,9,81,A,7,967,E,9,90,E,9,4.6,E,9,16100,C,8,77777,E,9,1,E,8,0.054,F,8,0.59,F,8,0,1,D,9,44,C,8,259.4711593
1/1/1998,8:00,0,83,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,5,E,9,5,E,9,-17.3,E,9,-19.5,E,9,81,A,7,967,E,9,70,E,9,3.6,E,9,16100,C,8,77777,E,9,1,E,8,0.054,F,8,0.59,F,8,0,1,D,9,44,C,8,257.3654647
1/1/1998,9:00,103,1415,16,2,9,0,2,21,16,2,9,18,2,9,0,2,21,18,2,9,58,2,25,3,E,9,3,E,9,-17.3,E,9,-20,E,9,77,A,7,967,E,9,70,E,9,5.6,E,9,16100,C,8,77777,E,9,1,E,8,0.054,F,8,0.59,F,8,0,1,D,9,44,C,8,255.9908606
1/1/1998,10:00,273,1415,31,2,9,0,2,21,31,2,9,37,2,9,0,2,21,37,2,9,125,2,25,8,E,9,7,E,9,-16.7,E,9,-20.6,E,9,69,A,7,967,E,9,70,E,9,5.6,E,9,16100,C,8,77777,E,9,1,E,8,0.054,F,8,0.59,F,8,0,1,D,9,44,C,8,255.3265521
