726569,HUTCHINSON (AWOS),MN,-6,44.867,-94.383,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2001,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-17.4,E,9,-20,E,9,78,A,7,975,E,9,60,E,9,0.8,E,9,16100,C,8,10865,E,9,0.4,E,8,0.059,F,8,0.42,F,8,0,1,D,9,0,C,8,255.6
1/1/2001,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-18,E,9,-20.6,E,9,78,A,7,975,E,9,90,E,9,2,E,9,16100,C,8,13356,E,9,0.4,E,8,0.059,F,8,0.42,F,8,0,1,D,9,0,C,8,254.8814809
1/1/2001,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-18.8,E,9,-21.3,E,9,79,A,7,975,E,9,0,E,9,0,E,9,16100,C,8,15847,E,9,0.4,E,8,0.059,F,8,0.42,F,8,0,1,D,9,0,C,8,254.215182
1/1/2001,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-19.8,E,9,-22.3,E,9,79,A,7,975,E,9,120,E,9,2.3,E,9,16100,C,8,18338,E,9,0.4,E,8,0.059,F,8,0.42,F,8,0,1,D,9,0,C,8,253.419606
1/1/2001,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,8,E,9,-19.3,E,9,-21.9,E,9,78,A,7,975,E,9,140,E,9,2,E,9,16100,C,8,20829,E,9,0.4,E,8,0.059,F,8,0.42,F,8,0,1,D,9,0,C,8,252.981951
1/1/2001,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,6,E,9,-19.8,E,9,-22.4,E,9,78,A,7,975,E,9,180,E,9,1.6,E,9,16100,C,8,77777,E,9,0.4,E,8,0.059,F,8,0.42,F,8,0,1,D,9,0,C,8,252.6915471
1/1/2001,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,E,9,-19.3,E,9,-23,E,9,70,A,7,975,E,9,190,E,9,1.9,E,9,16100,C,8,7112,E,9,0.4,E,8,0.059,F,8,0.42,F,8,0,1,D,9,0,C,8,252.5942139
1/1/2001,8:00,0,59,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,6,E,9,4,E,9,-18.8,E,9,-22.6,E,9,69,A,7,975,E,9,190,E,9,2.6,E,9,16100,C,8,77777,E,9,0.4,E,8,0.059,F,8,0.42,F,8,0,1,D,9,0,C,8,252.7907012
1/1/2001,9:00,106,1415,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,6,E,9,6,E,9,-19.3,E,9,-23.1,E,9,69,A,7,975,E,9,240,E,9,0.6,E,9,16100,C,8,12094,E,9,0.4,E,8,0.059,F,8,0.42,F,8,0,1,D,9,0,C,8,252.8263485
1/1/2001,10:00,288,1415,191,2,9,464,2,21,96,2,9,191,2,9,349,2,21,120,2,9,184,2,25,5,E,9,5,E,9,-17.9,E,9,-22.7,E,9,63,A,7,975,E,9,250,E,9,2.4,E,9,16100,C,8,14285,E,9,0.4,E,8,0.059,F,8,0.42,F,8,0,1,D,9,71,C,8,253.9397122
