726578,LITTLE FALLS (AWOS),MN,-6,45.95,-94.35,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1999,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,E,9,-22.1,E,9,-25.5,E,9,71,A,7,973,E,9,80,E,9,1.4,E,9,16100,C,8,8653,E,9,0.6,E,8,0.059,F,8,0.55,F,8,0,1,D,9,0,C,8,250.9
1/1/1999,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,8,E,9,-22.1,E,9,-25.6,E,9,71,A,7,973,E,9,80,E,9,1.3,E,9,16100,C,8,10303,E,9,0.6,E,8,0.059,F,8,0.55,F,8,0,1,D,9,0,C,8,250.4404693
1/1/1999,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,7,E,9,-22,E,9,-25.3,E,9,72,A,7,973,E,9,110,E,9,0.7,E,9,16100,C,8,11652,E,9,0.6,E,8,0.059,F,8,0.55,F,8,0,1,D,9,0,C,8,250.2173619
1/1/1999,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,6,E,9,-21.4,E,9,-25.4,E,9,67,A,7,973,E,9,90,E,9,1.1,E,9,16100,C,8,13602,E,9,0.6,E,8,0.059,F,8,0.55,F,8,0,1,D,9,0,C,8,250.2990997
1/1/1999,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,5,E,9,-21.4,E,9,-26,E,9,63,A,7,973,E,9,100,E,9,1.5,E,9,16100,C,8,77777,E,9,0.6,E,8,0.059,F,8,0.55,F,8,0,1,D,9,0,C,8,250.4499618
1/1/1999,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,4,E,9,-21.4,E,9,-25.6,E,9,66,A,7,973,E,9,100,E,9,1.8,E,9,16100,C,8,18401,E,9,0.6,E,8,0.059,F,8,0.55,F,8,0,1,D,9,0,C,8,250.5254415
1/1/1999,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,3,E,9,-22,E,9,-26.3,E,9,65,A,7,973,E,9,120,E,9,2.2,E,9,16100,C,8,20050,E,9,0.6,E,8,0.059,F,8,0.55,F,8,0,1,D,9,0,C,8,250.3867646
1/1/1999,8:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,3,E,9,-22,A,7,-27,A,7,61,A,7,973,E,9,120,A,7,2.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.059,F,8,0.55,F,8,0,1,D,9,0,C,8,250.2061448
1/1/1999,9:00,91,1380,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,6,B,8,5,B,8,-21,B,8,-26.2,B,8,60,A,7,973,E,9,120,B,8,2.8,B,8,16100,C,8,15367,B,8,0.7,E,8,0.059,F,8,0.55,F,8,0,1,D,9,0,C,8,250.4199224
1/1/1999,10:00,268,1415,171,2,9,620,2,21,53,2,9,174,2,9,462,2,21,86,2,9,94,2,25,8,B,8,8,B,8,-19.9,B,8,-25.9,B,8,55,A,7,973,E,9,120,B,8,3.4,B,8,16100,C,8,8733,B,8,0.7,E,8,0.059,F,8,0.55,F,8,0,1,D,9,0,C,8,252.3273528
1/1/1999,11:00,403,1415,288,2,9,769,2,21,67,2,9,288,2,9,668,2,21,97,2,9,115,2,25,10,E,9,10,E,9,-19,A,7,-26,A,7,50,A,7,973,E,9,120,A,7,4.1,A,7,16100,B,7,2100,A,7,0.7,E,8,0.059,F,8,0.55,F,8,0,1,D,9,0,C,8,254.2990246
1/1/1999,12:00,485,1415,338,2,9,808,2,21,60,2,9,351,2,9,745,2,21,95,2,9,121,2,25,10,E,9,10,E,9,-16.7,E,9,-25.1,E,9,44,A,7,973,E,9,130,E,9,5.7,E,9,15291,C,8,1900,E,9,0.7,E,8,0.059,F,8,0.55,F,8,0,1,D,9,0,C,8,257.8576021
1/1/1999,13:00,506,1415,354,2,9,816,2,21,60,2,9,369,2,9,761,2,21,95,2,9,124,2,25,10,E,9,10,E,9,-15.4,E,9,-24.6,E,9,41,A,7,973,E,9,140,E,9,5.9,E,9,14483,C,8,1700,E,9,0.7,E,8,0.059,F,8,0.55,F,8,0,1,D,9,0,C,8,261.8366948
1/1/1999,14:00,466,1415,315,2,9,651,2,21,99,2,9,321,2,9,583,2,21,128,2,9,180,2,25,10,E,9,10,E,9,-15.3,E,9,-23.6,E,9,45,A,7,973,E,9,150,E,9,7.1,E,9,13675,C,8,1200,E,9,0.7,E,8,0.059,F,8,0.55,F,8,0,1,D,9,0,C,8,263.9749714
1/1/1999,15:00,368,1415,172,2,9,266,2,21,102,2,9,181,2,9,227,2,21,122,2,9,202,2,25,10,E,9,10,E,9,-15.1,E,9,-22.6,E,9,49,A,7,973,E,9,150,E,9,5.6,E,9,12866,C,8,490,E,9,0.7,E,8,0.059,F,8,0.55,F,8,0,1,D,9,0,C,8,262.8701056
1/1/1999,16:00,218,1415,87,2,9,244,2,21,49,2,9,91,2,9,161,2,21,66,2,9,88,2,25,10,E,9,10,E,9,-15,E,9,-21.1,E,9,56,A,7,973,E,9,130,E,9,3.2,E,9,12058,C,8,230,E,9,0.7,E,8,0.059,F,8,0.55,F,8,0,1,D,9,0,C,8,261.5500296
1/1/1999,17:00,44,955,9,2,9,100,2,21,6,2,9,12,2,9,52,2,21,9,2,9,15,2,25,10,E,9,10,E,9,-14.8,E,9,-20.7,E,9,57,A,7,973,E,9,40,E,9,1.8,E,9,11250,C,8,150,E,9,0.7,E,8,0.059,F,8,0.55,F,8,0,1,D,9,0,C,8,260.467204
