726580,MINNEAPOLIS-ST PAUL INT'L ARP,MN,-6,44.883,-93.233,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2004,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,5,E,9,-8.3,A,7,-12.2,A,7,71,A,7,991,A,7,100,A,7,4.1,A,7,16000,B,7,7620,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,264.7
1/1/2004,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,5,E,9,-7.8,A,7,-11.7,A,7,71,A,7,991,A,7,80,A,7,3.6,A,7,16000,B,7,3962,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,264.2570875
1/1/2004,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,-7.2,A,7,-11.1,A,7,71,A,7,990,A,7,120,A,7,5.2,A,7,16000,B,7,3353,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,264.3258132
1/1/2004,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-6.7,A,7,-10.6,A,7,71,A,7,989,A,7,120,A,7,4.6,A,7,16000,B,7,3353,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,264.635145
1/1/2004,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-6.1,A,7,-10,A,7,71,A,7,988,A,7,120,A,7,6.2,A,7,16000,B,7,3353,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,265.0761617
1/1/2004,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,4,E,9,-6.1,A,7,-10,A,7,71,A,7,988,A,7,120,A,7,7.2,A,7,16000,B,7,3962,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,265.3980496
1/1/2004,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,5,E,9,-5.6,A,7,-10,A,7,68,A,7,986,A,7,120,A,7,7.2,A,7,16000,B,7,3962,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,265.7145559
1/1/2004,8:00,1,177,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,9,E,9,8,E,9,-5,A,7,-10,A,7,65,A,7,985,A,7,110,A,7,7.7,A,7,16000,B,7,4572,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,266.1591968
1/1/2004,9:00,121,1415,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,8,E,9,-4.4,A,7,-9.4,A,7,65,A,7,984,A,7,120,A,7,7.2,A,7,16000,B,7,4572,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,266.6836897
1/1/2004,10:00,300,1415,68,2,9,0,2,21,68,2,9,77,2,9,0,2,21,77,2,9,242,2,25,9,E,9,8,E,9,-3.3,A,7,-8.9,A,7,62,A,7,984,A,7,120,A,7,5.7,A,7,16000,B,7,4572,A,7,1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,267.1805828
