726586,FAIRMONT MUNI(AWOS),MN,-6,43.65,-94.417,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2000,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,1,A,7,-5,A,7,61,A,7,971,E,9,330,A,7,5.7,A,7,16100,B,7,77777,A,7,1.3,E,8,0.063,F,8,0.42,F,8,0,1,D,9,0,C,8,274
1/1/2000,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,0,A,7,-5,A,7,66,A,7,971,E,9,330,A,7,4.6,A,7,16100,B,7,77777,A,7,1.3,E,8,0.063,F,8,0.42,F,8,0,1,D,9,0,C,8,272.4723564
1/1/2000,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-1,A,7,-6,A,7,66,A,7,971,E,9,330,A,7,3.6,A,7,16100,B,7,77777,A,7,1.2,E,8,0.063,F,8,0.42,F,8,0,1,D,9,0,C,8,271.7871755
1/1/2000,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-2,A,7,-6,A,7,71,A,7,971,E,9,330,A,7,3.1,A,7,16100,B,7,77777,A,7,1.2,E,8,0.063,F,8,0.42,F,8,0,1,D,9,0,C,8,270.7534196
1/1/2000,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,-3,A,7,-6,A,7,77,A,7,971,E,9,350,A,7,4.1,A,7,16100,B,7,77777,A,7,1.2,E,8,0.063,F,8,0.42,F,8,0,1,D,9,0,C,8,269.9507557
1/1/2000,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,2,E,9,-4,A,7,-7,A,7,77,A,7,971,E,9,350,A,7,5.7,A,7,16100,B,7,77777,A,7,1.2,E,8,0.063,F,8,0.42,F,8,0,1,D,9,0,C,8,268.6700764
1/1/2000,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,4,E,9,-4,A,7,-7,A,7,77,A,7,971,E,9,360,A,7,2.6,A,7,16100,B,7,77777,A,7,1.1,E,8,0.063,F,8,0.42,F,8,0,1,D,9,0,C,8,268.0804729
1/1/2000,8:00,1,153,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,8,E,9,3,E,9,-4,A,7,-7,A,7,77,A,7,971,E,9,10,A,7,5.7,A,7,16100,B,7,77777,A,7,1.1,E,8,0.063,F,8,0.42,F,8,0,1,D,9,0,C,8,267.9195646
1/1/2000,9:00,124,1415,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,7,E,9,3,E,9,-4,A,7,-7,A,7,77,A,7,971,E,9,30,A,7,4.6,A,7,16100,B,7,77777,A,7,1.1,E,8,0.063,F,8,0.42,F,8,0,1,D,9,0,C,8,267.8397518
1/1/2000,10:00,310,1415,203,2,9,649,2,21,60,2,9,207,2,9,512,2,21,94,2,9,107,2,25,8,E,9,3,E,9,-4,A,7,-6,A,7,84,A,7,971,E,9,40,A,7,5.7,A,7,16100,B,7,77777,A,7,1,E,8,0.063,F,8,0.42,F,8,0,1,D,9,0,C,8,269.0761637
1/1/2000,11:00,451,1415,318,2,9,772,2,21,71,2,9,321,2,9,692,2,21,100,2,9,126,2,25,7,E,9,3,E,9,-3,A,7,-6,A,7,77,A,7,971,E,9,60,A,7,6.2,A,7,16100,B,7,77777,A,7,1,E,8,0.063,F,8,0.42,F,8,0,1,D,9,0,C,8,270.2524737
