726588,WINONA MUNI (AWOS),MN,-6,44.083,-91.7,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2000,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4,A,7,-1,A,7,69,A,7,989,E,9,260,A,7,3.1,A,7,16100,B,7,77777,A,7,1.3,E,8,0.067,F,8,0.67,F,8,0,1,D,9,0,C,8,277
1/1/2000,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3,A,7,-2,A,7,68,A,7,989,E,9,260,A,7,3.1,A,7,16100,B,7,77777,A,7,1.2,E,8,0.067,F,8,0.67,F,8,0,1,D,9,0,C,8,275.7997345
1/1/2000,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3,A,7,-3,A,7,63,A,7,989,E,9,270,A,7,3.6,A,7,16100,B,7,77777,A,7,1.2,E,8,0.067,F,8,0.67,F,8,0,1,D,9,0,C,8,275.2330139
1/1/2000,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2,A,7,-3,A,7,67,A,7,989,E,9,300,A,7,2.1,A,7,16100,B,7,77777,A,7,1.2,E,8,0.067,F,8,0.67,F,8,0,1,D,9,0,C,8,274.4648379
1/1/2000,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,0,A,7,-4,A,7,72,A,7,989,E,9,290,A,7,2.1,A,7,16100,B,7,77777,A,7,1.2,E,8,0.067,F,8,0.67,F,8,0,1,D,9,0,C,8,273.2490622
1/1/2000,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-1,A,7,-4,A,7,78,A,7,989,E,9,310,A,7,2.6,A,7,16100,B,7,77777,A,7,1.1,E,8,0.067,F,8,0.67,F,8,0,1,D,9,0,C,8,271.9345331
1/1/2000,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,-2,A,7,-4,A,7,85,A,7,989,E,9,320,A,7,1.5,A,7,16100,B,7,77777,A,7,1.1,E,8,0.067,F,8,0.67,F,8,0,1,D,9,0,C,8,271.0106873
1/1/2000,8:00,7,389,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,2,E,9,2,E,9,-2,A,7,-4,A,7,85,A,7,989,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,1.1,E,8,0.067,F,8,0.67,F,8,0,1,D,9,0,C,8,270.3742501
1/1/2000,9:00,153,1415,81,2,9,234,2,21,55,2,9,80,2,9,125,2,21,66,2,9,105,2,25,2,E,9,1,E,9,-2,A,7,-4,A,7,85,A,7,989,E,9,330,A,7,2.1,A,7,16100,B,7,77777,A,7,1.1,E,8,0.067,F,8,0.67,F,8,0,1,D,9,0,C,8,270.5286082
1/1/2000,10:00,331,1415,190,2,9,500,2,21,72,2,9,192,2,9,401,2,21,98,2,9,126,2,25,5,E,9,3,E,9,-1,A,7,-4,A,7,78,A,7,989,E,9,310,A,7,1.5,A,7,16100,B,7,77777,A,7,1,E,8,0.067,F,8,0.67,F,8,0,1,D,9,0,C,8,271.4460318
