726665,WORLAND MUNICIPAL,WY,-7,43.967,-107.95,1294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1995,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-17.7,B,8,-20.9,B,8,74,A,7,874,B,8,0,B,8,0,B,8,24100,C,8,77777,B,8,0.2,E,8,0.041,F,8,0.52,F,8,0,1,D,9,0,C,8,255.3
1/1/1995,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-18.5,B,8,-22.2,B,8,70,A,7,874,B,8,0,B,8,0,B,8,24100,C,8,77777,B,8,0.3,E,8,0.041,F,8,0.52,F,8,0,1,D,9,0,C,8,254.51839
1/1/1995,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-19.2,B,8,-23.6,B,8,65,A,7,874,B,8,0,B,8,0,B,8,24100,C,8,77777,B,8,0.3,E,8,0.041,F,8,0.52,F,8,0,1,D,9,0,C,8,253.749537
1/1/1995,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-19.9,B,8,-24.7,B,8,63,A,7,874,B,8,0,B,8,0,B,8,24100,C,8,77777,B,8,0.3,E,8,0.041,F,8,0.52,F,8,0,1,D,9,0,C,8,253.0555489
1/1/1995,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-20.5,B,8,-25.9,B,8,59,A,7,873,B,8,0,B,8,0,B,8,24100,C,8,77777,B,8,0.3,E,8,0.041,F,8,0.52,F,8,0,1,D,9,0,C,8,252.3848627
1/1/1995,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,-21.2,A,7,-27.3,A,7,55,A,7,873,A,7,0,A,7,0,A,7,24100,B,7,77777,A,7,0.3,E,8,0.041,F,8,0.52,F,8,0,1,D,9,0,C,8,251.717642
1/1/1995,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-20.8,B,8,-25.8,B,8,61,A,7,874,B,8,0,B,8,0,B,8,48266,C,8,77777,B,8,0.3,E,8,0.041,F,8,0.52,F,8,0,1,D,9,0,C,8,251.4016859
1/1/1995,8:00,4,271,0,1,11,36,1,17,0,1,11,0,1,11,0,1,17,0,1,11,0,1,23,0,B,8,0,B,8,-20.2,B,8,-24.2,B,8,68,A,7,875,B,8,0,B,8,0,B,8,72433,C,8,77777,B,8,0.3,E,8,0.041,F,8,0.52,F,8,0,1,D,9,0,C,8,251.6926257
1/1/1995,9:00,139,1415,68,1,11,455,1,16,24,1,11,69,1,11,278,1,16,41,1,11,43,1,22,0,A,7,0,E,9,-18.4,A,7,-21.7,A,7,73,A,7,876,A,7,0,A,7,0,A,7,96600,B,7,77777,A,7,0.3,E,8,0.041,F,8,0.52,F,8,0,1,D,9,0,C,8,254.4551797
1/1/1995,10:00,320,1415,205,1,11,729,1,16,40,1,11,213,1,11,604,1,16,75,1,11,81,1,22,0,A,7,0,E,9,-16.2,A,7,-19.5,A,7,73,A,7,877,A,7,250,A,7,2.5,A,7,96600,B,7,77777,A,7,0.3,E,8,0.041,F,8,0.52,F,8,0,1,D,9,0,C,8,258.1578915
1/1/1995,11:00,455,1415,270,1,11,564,1,17,89,1,11,278,1,11,504,1,17,115,1,11,164,1,23,2,B,8,1,B,8,-12.4,B,8,-20.4,B,8,47,A,7,877,B,8,230,B,8,2.2,B,8,96600,C,8,17094,B,8,0.3,E,8,0.041,F,8,0.52,F,8,0,1,D,9,0,C,8,260.4926744
1/1/1995,12:00,534,1415,386,1,11,702,1,17,121,1,11,394,1,11,647,1,17,149,1,11,221,1,23,4,B,8,2,B,8,-9.6,B,8,-17.1,B,8,50,A,7,876,B,8,250,B,8,2.1,B,8,96600,C,8,12207,B,8,0.3,E,8,0.041,F,8,0.52,F,8,0,1,D,9,0,C,8,262.7822342
1/1/1995,13:00,550,1415,387,1,11,789,1,17,80,1,11,397,1,11,739,1,17,108,1,11,151,1,23,3,B,8,1,B,8,-7.5,B,8,-16.5,B,8,44,A,7,876,B,8,200,B,8,1.9,B,8,96600,C,8,14528,B,8,0.3,E,8,0.041,F,8,0.52,F,8,0,1,D,9,0,C,8,266.8913485
1/1/1995,14:00,503,1415,345,1,11,791,1,17,64,1,11,359,1,11,734,1,17,97,1,11,128,1,23,2,B,8,1,B,8,-5.8,B,8,-16,B,8,40,A,7,876,B,8,150,B,8,1.6,B,8,96600,C,8,16849,B,8,0.3,E,8,0.041,F,8,0.52,F,8,0,1,D,9,0,C,8,270.7960241
1/1/1995,15:00,396,1415,247,1,11,690,1,17,54,1,11,254,1,11,604,1,17,84,1,11,104,1,23,1,B,8,1,B,8,-4.8,B,8,-15.7,B,8,38,A,7,875,B,8,90,B,8,1.4,B,8,96600,C,8,19170,B,8,0.3,E,8,0.041,F,8,0.52,F,8,0,1,D,9,0,C,8,273.333522
1/1/1995,16:00,236,1415,137,1,11,564,1,17,42,1,11,140,1,11,402,1,17,73,1,11,76,1,23,1,B,8,1,B,8,-4.9,B,8,-15.6,B,8,39,A,7,875,B,8,40,B,8,1.2,B,8,96600,C,8,21492,B,8,0.3,E,8,0.041,F,8,0.52,F,8,0,1,D,9,0,C,8,273.9316929
1/1/1995,17:00,50,1002,19,1,11,207,1,16,9,1,11,21,1,11,108,1,16,16,1,11,20,1,22,0,A,7,0,E,9,-7.8,A,7,-17.3,A,7,42,A,7,875,B,8,0,A,7,0,A,7,96600,B,7,77777,A,7,0.3,E,8,0.041,F,8,0.52,F,8,0,1,D,9,0,C,8,271.0932433
1/1/1995,18:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,-11.2,A,7,-17.3,A,7,57,A,7,875,A,7,0,A,7,0,A,7,24100,B,7,77777,A,7,0.3,E,8,0.041,F,8,0.52,F,8,0,1,D,9,0,C,8,266.2618694
1/1/1995,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-11.8,B,8,-17,B,8,62,A,7,875,B,8,0,B,8,0,B,8,24100,C,8,77777,B,8,0.3,E,8,0.041,F,8,0.52,F,8,0,1,D,9,0,C,8,262.945613
1/1/1995,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-12.3,B,8,-16.9,B,8,65,A,7,874,B,8,0,B,8,0,B,8,24100,C,8,77777,B,8,0.3,E,8,0.041,F,8,0.52,F,8,0,1,D,9,0,C,8,261.2429922
1/1/1995,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,-12.8,A,7,-16.7,A,7,70,A,7,874,A,7,0,A,7,0,A,7,24100,B,7,77777,A,7,0.3,E,8,0.041,F,8,0.52,F,8,0,1,D,9,0,C,8,260.1830697
1/1/1995,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,-15.6,A,7,-17.8,A,7,81,A,7,873,A,7,0,A,7,0,A,7,24100,B,7,77777,A,7,0.3,E,8,0.041,F,8,0.52,F,8,0,1,D,9,0,C,8,258.7706709
1/1/1995,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-15.9,B,8,-18.5,B,8,78,A,7,873,B,8,20,B,8,0.3,B,8,24100,C,8,77777,B,8,0.3,E,8,0.041,F,8,0.52,F,8,0,1,D,9,0,C,8,257.4854837
1/1/1995,24:00:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-16.6,B,8,-19.2,B,8,78,A,7,873,B,8,30,B,8,0.6,B,8,24100,C,8,77777,B,8,0.3,E,8,0.041,F,8,0.52,F,8,0,1,D,9,0,C,8,256.5619743
1/2/1995,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-17,B,8,-20.1,B,8,75,A,7,873,B,8,50,B,8,0.9,B,8,24100,C,8,77777,B,8,0.3,E,8,0.041,F,8,0.52,F,8,0,1,D,9,0,C,8,255.8156471
1/2/1995,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-17.4,B,8,-21,B,8,71,A,7,873,B,8,60,B,8,1.3,B,8,24100,C,8,77777,B,8,0.3,E,8,0.041,F,8,0.52,F,8,0,1,D,9,0,C,8,255.2607189
1/2/1995,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-17.7,B,8,-21.9,B,8,67,A,7,873,B,8,80,B,8,1.6,B,8,24100,C,8,77777,B,8,0.3,E,8,0.041,F,8,0.52,F,8,0,1,D,9,0,C,8,254.8422187
