726830,BURNS MUNICIPAL ARPT [UO],OR,-8,43.52,-119.02,1271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1991,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,4,E,9,1,E,9,-7.8,E,9,-12.2,E,9,68,A,7,880,E,9,150,E,9,1,E,9,60000,C,8,77777,E,9,0.8,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,265.2
1/1/1991,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,E,9,0,E,9,-6.9,E,9,-11.3,E,9,68,A,7,880,B,8,150,E,9,1,E,9,60000,C,8,77777,E,9,0.8,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,264.8686883
1/1/1991,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,3,E,9,-6.3,E,9,-10.5,E,9,69,A,7,880,B,8,180,E,9,2.5,E,9,60000,C,8,77777,E,9,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,265.0808995
1/1/1991,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,2,E,9,-6.7,E,9,-10,E,9,75,A,7,880,B,8,220,E,9,3.1,E,9,60000,C,8,77777,E,9,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,265.1678265
1/1/1991,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,1,E,9,-6.7,E,9,-9.9,E,9,76,A,7,880,B,8,150,E,9,1,E,9,60000,C,8,77777,E,9,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,265.1347098
1/1/1991,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,E,9,0,E,9,-6.8,E,9,-10,E,9,76,A,7,880,B,8,150,E,9,1,E,9,60000,C,8,77777,E,9,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,265.0870314
1/1/1991,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,E,9,3,E,9,-7.2,E,9,-10.5,E,9,75,A,7,880,B,8,150,E,9,1,E,9,60000,C,8,16597,E,9,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,264.9220216
1/1/1991,8:00,23,672,6,1,17,25,1,21,5,1,17,0,1,17,0,1,21,0,1,17,0,1,32,6,E,9,2,E,9,-8,E,9,-11.8,E,9,71,A,7,880,B,8,20,E,9,2.5,E,9,60000,C,8,18499,E,9,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,264.6759565
1/1/1991,9:00,197,1415,75,1,17,176,1,21,50,1,17,79,1,17,107,1,21,64,1,17,93,1,32,5,E,9,1,E,9,-8.2,E,9,-12,E,9,71,A,7,880,B,8,150,E,9,1,E,9,60000,C,8,21012,E,9,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,265.1779873
1/1/1991,10:00,369,1415,210,1,11,533,1,16,71,1,11,216,1,11,448,1,16,98,1,11,128,1,22,4,A,7,1,E,9,-7.8,A,7,-12.2,A,7,68,A,7,880,A,7,150,A,7,1,A,7,60000,B,7,77777,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,267.2950591
1/1/1991,11:00,491,1415,315,1,11,592,1,17,110,1,11,322,1,11,535,1,17,135,1,11,199,1,23,4,B,8,1,B,8,-5.4,B,8,-11.3,B,8,60,A,7,880,B,8,130,B,8,0.8,B,8,60000,C,8,77777,B,8,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.235863
1/1/1991,12:00,554,1415,354,1,11,649,1,17,100,1,11,368,1,11,611,1,17,128,1,11,194,1,23,4,B,8,1,B,8,-3.3,B,8,-10.7,B,8,53,A,7,880,B,8,100,B,8,0.7,B,8,60000,C,8,77777,B,8,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,270.4554358
1/1/1991,13:00,554,1415,356,1,11,642,1,17,105,1,11,369,1,11,603,1,17,132,1,11,201,1,23,4,B,8,1,B,8,-1.4,B,8,-10.4,B,8,46,A,7,880,B,8,80,B,8,0.5,B,8,60000,C,8,77777,B,8,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,272.0442084
