726917,NORTH BEND MUNI AIRPORT,OR,-8,43.417,-124.25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1976,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,1.1,A,7,-1.7,A,7,82,A,7,1027,A,7,10,A,7,3.1,A,7,22500,B,7,77777,A,7,0.9,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,274.1
1/1/1976,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,0.5,B,8,-1.9,B,8,82,B,8,1026,B,8,10,B,8,2.1,B,8,22500,C,8,77777,B,8,0.8,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,273.1202445
1/1/1976,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,0,B,8,-2.4,B,8,82,B,8,1026,B,8,360,B,8,1,B,8,22500,C,8,77777,B,8,0.8,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,272.5216363
1/1/1976,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-0.6,A,7,-3.3,A,7,82,A,7,1026,A,7,0,A,7,0,A,7,22500,B,7,77777,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,271.9450755
1/1/1976,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-1.1,B,8,-3.3,B,8,83,B,8,1026,B,8,0,B,8,0,B,8,23033,C,8,77777,B,8,0.8,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,271.3893434
1/1/1976,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-1.7,B,8,-3.7,B,8,84,B,8,1026,B,8,0,B,8,0,B,8,23566,C,8,77777,B,8,0.8,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,270.8367319
1/1/1976,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-2.2,A,7,-4.4,A,7,85,A,7,1026,A,7,0,A,7,0,A,7,24100,B,7,77777,A,7,0.7,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,270.2944049
1/1/1976,8:00,2,200,5,1,13,23,1,9,2,1,13,0,1,13,0,1,9,0,1,13,0,1,21,0,B,8,0,B,8,-0.5,B,8,-4.7,B,8,76,B,8,1027,B,8,20,B,8,1.4,B,8,29466,C,8,77777,B,8,0.7,E,8,0,F,8,0,?,0,0,1,D,9,45,C,8,270.5995277
1/1/1976,9:00,129,1415,60,1,13,429,1,9,20,1,13,60,1,13,258,1,9,36,1,13,39,1,21,0,B,8,0,B,8,1.1,B,8,-4.7,B,8,66,B,8,1027,B,8,50,B,8,2.7,B,8,34833,C,8,77777,B,8,0.7,E,8,0,F,8,0,?,0,0,1,D,9,5,C,8,274.2100929
1/1/1976,10:00,315,1415,190,1,13,693,1,9,34,1,13,200,1,13,582,1,9,70,1,13,78,1,21,0,A,7,0,A,7,2.8,A,7,-5,A,7,57,A,7,1028,A,7,70,A,7,4.1,A,7,40200,B,7,77777,A,7,0.7,E,8,0,F,8,0,?,0,0,1,D,9,5,C,8,278.3164097
1/1/1976,11:00,456,1415,301,1,9,781,1,9,48,1,13,317,1,9,713,1,9,86,1,13,106,1,18,2,B,8,0,B,8,4.1,B,8,-4.2,B,8,54,B,8,1027,B,8,50,B,8,4.1,B,8,40200,C,8,77777,B,8,0.7,E,8,0,F,8,0,?,0,0,1,D,9,5,C,8,280.8473874
1/1/1976,12:00,541,1415,374,1,13,821,1,13,59,1,13,395,1,13,778,1,13,96,1,13,126,1,23,3,B,8,0,B,8,5.4,B,8,-3.8,B,8,50,B,8,1026,B,8,40,B,8,4.1,B,8,40200,C,8,77777,B,8,0.7,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,281.4876823
1/1/1976,13:00,563,1415,390,1,9,799,1,9,71,1,13,405,1,9,757,1,9,103,1,13,144,1,18,5,A,7,0,A,7,6.7,A,7,-3.9,A,7,47,A,7,1026,A,7,20,A,7,4.1,A,7,40200,B,7,77777,A,7,0.8,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,281.5028678
1/1/1976,14:00,521,1415,354,1,13,769,1,13,71,1,13,366,1,13,716,1,13,101,1,13,138,1,23,6,B,8,0,B,8,6.7,B,8,-3.4,B,8,48,B,8,1026,B,8,40,B,8,4.1,B,8,40200,C,8,77777,B,8,0.8,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,282.5227716
