726945,CORVALLIS MUNI,OR,-8,44.483,-123.283,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2001,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,6,E,9,4,E,9,87,A,7,1004,E,9,0,E,9,0,E,9,16100,C,8,77777,E,9,1,E,8,0.065,F,8,0.18,F,8,0,1,D,9,0,C,8,279
1/1/2001,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,6,E,9,4,E,9,87,A,7,1004,E,9,150,E,9,2.1,E,9,16100,C,8,77777,E,9,0.9,E,8,0.065,F,8,0.18,F,8,0,1,D,9,0,C,8,278.2883421
1/1/2001,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,5,E,9,4,E,9,93,A,7,1004,E,9,0,E,9,0,E,9,16100,C,8,77777,E,9,0.9,E,8,0.065,F,8,0.18,F,8,0,1,D,9,0,C,8,277.6134621
1/1/2001,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,5,E,9,4,E,9,93,A,7,1004,E,9,170,E,9,3.1,E,9,16100,C,8,77777,E,9,0.9,E,8,0.065,F,8,0.18,F,8,0,1,D,9,0,C,8,277.1157492
1/1/2001,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,6,E,9,4,E,9,87,A,7,1004,E,9,240,E,9,2.1,E,9,16100,C,8,77777,E,9,0.8,E,8,0.065,F,8,0.18,F,8,0,1,D,9,0,C,8,277.1875548
1/1/2001,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,E,9,7,E,9,4,E,9,81,A,7,1004,E,9,140,E,9,3.1,E,9,16100,C,8,77777,E,9,0.8,E,8,0.065,F,8,0.18,F,8,0,1,D,9,0,C,8,277.75626
1/1/2001,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,7,E,9,6,E,9,4,E,9,87,A,7,1004,E,9,130,E,9,2.1,E,9,16100,C,8,11720,E,9,0.8,E,8,0.065,F,8,0.18,F,8,0,1,D,9,0,C,8,277.8746998
1/1/2001,8:00,2,200,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,10,E,9,9,E,9,6,E,9,3,E,9,81,A,7,1004,E,9,190,E,9,2.1,E,9,16100,C,8,1440,E,9,0.8,E,8,0.065,F,8,0.18,F,8,0,1,D,9,0,C,8,277.7371168
1/1/2001,9:00,126,1415,19,2,8,0,2,15,19,2,8,22,2,8,0,2,15,22,2,8,69,2,19,10,E,9,9,E,9,5,E,9,3,E,9,87,A,7,1004,E,9,200,E,9,1.5,E,9,16100,C,8,1290,E,9,0.7,E,8,0.065,F,8,0.18,F,8,0,1,D,9,0,C,8,277.2933694
1/1/2001,10:00,307,1415,52,2,8,0,2,15,52,2,8,60,2,8,0,2,15,60,2,8,200,2,19,10,E,9,9,E,9,4,E,9,3,E,9,93,A,7,1004,E,9,170,E,9,2.1,E,9,16100,C,8,1120,E,9,0.7,E,8,0.065,F,8,0.18,F,8,0,1,D,9,0,C,8,276.4643855
1/1/2001,11:00,442,1415,83,2,8,0,2,15,83,2,8,96,2,8,0,2,15,96,2,8,331,2,19,10,E,9,10,E,9,7,E,9,3,E,9,76,A,7,1004,E,9,160,E,9,3.1,E,9,16100,C,8,950,E,9,0.7,E,8,0.065,F,8,0.18,F,8,0,1,D,9,0,C,8,276.6563636
1/1/2001,12:00,522,1415,80,2,8,0,2,15,80,2,8,94,2,8,0,2,15,94,2,8,342,2,19,10,E,9,10,E,9,6,E,9,3,E,9,81,A,7,1004,E,9,180,E,9,3.1,E,9,16100,C,8,780,E,9,0.7,E,8,0.065,F,8,0.18,F,8,0,1,D,9,0,C,8,276.927208
1/1/2001,13:00,540,1415,106,2,8,0,2,15,106,2,8,123,2,8,0,2,15,123,2,8,435,2,19,10,E,9,10,E,9,6,E,9,2,E,9,75,A,7,1004,E,9,150,E,9,2.1,E,9,16100,C,8,456,E,9,0.8,E,8,0.065,F,8,0.18,F,8,0,1,D,9,0,C,8,276.7602577
1/1/2001,14:00,495,1415,103,2,8,0,2,15,103,2,8,118,2,8,0,2,15,118,2,8,410,2,19,10,E,9,10,E,9,7,E,9,3,E,9,76,A,7,1004,E,9,170,E,9,1.5,E,9,16100,C,8,282,E,9,0.8,E,8,0.065,F,8,0.18,F,8,0,1,D,9,0,C,8,277.0002313
1/1/2001,15:00,390,1415,106,2,8,0,2,15,106,2,8,118,2,8,0,2,15,118,2,8,371,2,19,10,E,9,10,E,9,8,E,9,3,E,9,71,A,7,1004,E,9,150,E,9,2.1,E,9,16100,C,8,378,E,9,0.8,E,8,0.065,F,8,0.18,F,8,0,1,D,9,0,C,8,277.6656408
1/1/2001,16:00,233,1415,138,2,8,207,2,15,104,2,8,140,2,8,138,2,15,117,2,8,227,2,19,10,E,9,10,E,9,7,E,9,3,E,9,76,A,7,1004,E,9,130,E,9,3.1,E,9,16100,C,8,354,E,9,0.8,E,8,0.065,F,8,0.18,F,8,0,1,D,9,0,C,8,278.659857
1/1/2001,17:00,50,1002,8,2,8,68,2,15,6,2,8,11,2,8,31,2,15,9,2,8,12,2,19,10,E,9,10,E,9,5,E,9,2,E,9,81,A,7,1004,E,9,130,E,9,2.1,E,9,16100,C,8,390,E,9,0.8,E,8,0.065,F,8,0.18,F,8,0,1,D,9,0,C,8,278.4566481
1/1/2001,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,5,E,9,2,E,9,81,A,7,1004,E,9,210,E,9,2.1,E,9,16100,C,8,486,E,9,0.8,E,8,0.065,F,8,0.18,F,8,0,1,D,9,0,C,8,277.529085
1/1/2001,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,5,E,9,3,E,9,87,A,7,1004,E,9,220,E,9,2.6,E,9,16100,C,8,342,E,9,0.8,E,8,0.065,F,8,0.18,F,8,0,1,D,9,0,C,8,277.0715361
1/1/2001,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,5,E,9,3,E,9,87,A,7,1004,E,9,180,E,9,4.6,E,9,16100,C,8,498,E,9,0.9,E,8,0.065,F,8,0.18,F,8,0,1,D,9,0,C,8,276.8412736
1/1/2001,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,4,E,9,2,E,9,87,A,7,1004,E,9,160,E,9,2.6,E,9,16100,C,8,654,E,9,0.9,E,8,0.065,F,8,0.18,F,8,0,1,D,9,0,C,8,276.424826
