726986,PORTLAND/HILLSBORO,OR,-8,45.533,-122.95,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2002,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,4,E,9,6,A,7,1,A,7,70,A,7,1008,A,7,100,A,7,4.1,A,7,16100,B,7,77777,A,7,1.7,E,8,0.073,F,8,0.3,F,8,1,1,D,9,0,C,8,279
1/1/2002,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,5,E,9,7,A,7,1,A,7,66,A,7,1007,A,7,110,B,8,3.1,A,7,16100,B,7,77777,A,7,1.8,E,8,0.073,F,8,0.3,F,8,1,1,D,9,0,C,8,278.5521813
1/1/2002,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,7,A,7,1,A,7,66,A,7,1006,A,7,110,A,7,5.7,A,7,16100,B,7,2700,A,7,1.9,E,8,0.073,F,8,0.3,F,8,1,1,D,9,0,C,8,278.574589
1/1/2002,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,7,A,7,1,A,7,66,A,7,1006,A,7,120,A,7,4.6,A,7,16100,B,7,3000,A,7,2,E,8,0.073,F,8,0.3,F,8,0,1,D,9,0,C,8,278.5851696
1/1/2002,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,7,A,7,2,A,7,70,A,7,1005,A,7,100,A,7,4.6,A,7,16100,B,7,2400,A,7,2.2,E,8,0.073,F,8,0.3,F,8,0,1,D,9,61,C,8,278.59016
1/1/2002,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,7,A,7,1,A,7,66,A,7,1004,A,7,100,A,7,8.7,A,7,16100,B,7,2100,A,7,2.3,E,8,0.073,F,8,0.3,F,8,3,1,D,9,0,C,8,278.592515
1/1/2002,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,7,A,7,1,A,7,66,A,7,1004,A,7,100,A,7,7.2,A,7,16100,B,7,1800,A,7,2.4,E,8,0.073,F,8,0.3,F,8,0,1,D,9,0,C,8,278.5936266
1/1/2002,8:00,1,153,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,10,E,9,10,E,9,7,A,7,2,A,7,70,A,7,1003,A,7,80,A,7,5.1,A,7,16100,B,7,1800,A,7,2.5,E,8,0.073,F,8,0.3,F,8,8,1,D,9,0,C,8,278.5941513
1/1/2002,9:00,115,1415,9,2,8,0,2,15,9,2,8,11,2,8,0,2,15,11,2,8,36,2,19,10,E,9,10,E,9,7,A,7,3,A,7,76,A,7,1004,A,7,110,A,7,5.7,A,7,14500,B,7,1500,A,7,2.6,E,8,0.073,F,8,0.3,F,8,38,1,D,9,63,C,8,278.5623088
1/1/2002,10:00,291,1415,26,2,8,0,2,15,26,2,8,31,2,8,0,2,15,31,2,8,109,2,19,10,E,9,10,E,9,6,A,7,4,A,7,87,A,7,1004,A,7,100,A,7,5.1,A,7,3200,B,7,1380,A,7,2.6,E,8,0.073,F,8,0.3,F,8,23,1,D,9,10,C,8,278.151379
1/1/2002,11:00,422,1415,42,2,8,0,2,15,42,2,8,51,2,8,0,2,15,51,2,8,183,2,19,10,E,9,10,E,9,6,A,7,4,A,7,87,A,7,1004,A,7,110,A,7,6.2,A,7,8000,B,7,930,A,7,2.7,E,8,0.073,F,8,0.3,F,8,0,1,D,9,10,C,8,277.6671253
1/1/2002,12:00,499,1415,52,2,8,0,2,15,52,2,8,63,2,8,0,2,15,63,2,8,232,2,19,10,E,9,10,E,9,6,A,7,4,A,7,87,A,7,1004,A,7,120,A,7,4.1,A,7,8000,B,7,870,A,7,2.8,E,8,0.073,F,8,0.3,F,8,23,1,D,9,10,C,8,277.3658603
1/1/2002,13:00,515,1415,69,2,8,0,2,15,69,2,8,82,2,8,0,2,15,82,2,8,301,2,19,10,E,9,10,E,9,6,A,7,4,A,7,87,A,7,1002,A,7,110,A,7,5.1,A,7,8000,B,7,810,A,7,2.8,E,8,0.073,F,8,0.3,F,8,18,1,D,9,10,C,8,277.1452697
1/1/2002,14:00,470,1415,48,2,8,0,2,15,48,2,8,58,2,8,0,2,15,58,2,8,213,2,19,10,E,9,10,E,9,7,A,7,4,A,7,81,A,7,1002,A,7,110,A,7,4.6,A,7,9700,B,7,810,A,7,2.7,E,8,0.073,F,8,0.3,F,8,8,1,D,9,10,C,8,277.4315239
1/1/2002,15:00,365,1415,42,2,8,0,2,15,42,2,8,50,2,8,0,2,15,50,2,8,176,2,19,10,E,9,10,E,9,7,A,7,4,A,7,81,A,7,1001,A,7,120,A,7,5.7,A,7,16100,B,7,2700,A,7,2.6,E,8,0.073,F,8,0.3,F,8,14,1,D,9,0,C,8,277.8196975
1/1/2002,16:00,211,1415,93,2,8,113,2,15,76,2,8,99,2,8,76,2,15,88,2,8,161,2,19,10,E,9,10,E,9,7,A,7,4,A,7,81,A,7,1001,A,7,130,A,7,4.6,A,7,16100,B,7,2100,A,7,2.5,E,8,0.073,F,8,0.3,F,8,0,1,D,9,0,C,8,278.3511494
1/1/2002,17:00,37,884,3,2,8,30,2,15,2,2,8,4,2,8,13,2,15,3,2,8,4,2,19,10,E,9,10,E,9,7,A,7,4,A,7,81,A,7,1000,A,7,120,A,7,3.6,A,7,16100,B,7,1800,A,7,2.4,E,8,0.073,F,8,0.3,F,8,0,1,D,9,0,C,8,278.7606505
1/1/2002,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,7,A,7,4,A,7,81,A,7,999,A,7,110,A,7,3.6,A,7,16100,B,7,2700,A,7,2.4,E,8,0.073,F,8,0.3,F,8,3,1,D,9,0,C,8,278.7571171
1/1/2002,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,4,E,9,7,A,7,3,A,7,76,A,7,999,A,7,130,A,7,4.6,A,7,16100,B,7,77777,A,7,2.3,E,8,0.073,F,8,0.3,F,8,0,1,D,9,61,C,8,278.6717694
1/1/2002,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,8,A,7,3,A,7,71,A,7,1000,A,7,130,A,7,3.1,A,7,16100,B,7,1800,A,7,2.3,E,8,0.073,F,8,0.3,F,8,3,1,D,9,0,C,8,278.9663057
1/1/2002,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,7,A,7,4,A,7,81,A,7,1000,A,7,110,A,7,5.1,A,7,16100,B,7,2100,A,7,2.3,E,8,0.073,F,8,0.3,F,8,3,1,D,9,61,C,8,278.9654149
1/1/2002,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,7,A,7,4,A,7,81,A,7,999,A,7,100,A,7,3.1,A,7,16100,B,7,2100,A,7,2.3,E,8,0.073,F,8,0.3,F,8,5,1,D,9,61,C,8,278.7724037
1/1/2002,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,7,A,7,4,A,7,81,A,7,999,A,7,70,A,7,2.6,A,7,16100,B,7,2100,A,7,2.3,E,8,0.073,F,8,0.3,F,8,0,1,D,9,0,C,8,278.6790872
1/1/2002,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,7,A,7,5,A,7,87,A,7,999,A,7,130,A,7,2.1,A,7,16100,B,7,2100,A,7,2.3,E,8,0.073,F,8,0.3,F,8,0,1,D,9,0,C,8,278.6346172
1/2/2002,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,6,A,7,5,A,7,93,A,7,999,A,7,180,B,8,1.5,A,7,16100,B,7,2100,A,7,2.3,E,8,0.073,F,8,0.3,F,8,0,1,D,9,0,C,8,278.300862
1/2/2002,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,6,A,7,5,A,7,93,A,7,999,A,7,220,B,8,1.8,B,8,16100,B,7,2100,A,7,2.2,E,8,0.073,F,8,0.3,F,8,0,1,D,9,0,C,8,277.9467465
1/2/2002,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,6,A,7,5,A,7,93,A,7,999,A,7,270,A,7,2.1,A,7,14500,B,7,1800,A,7,2.2,E,8,0.073,F,8,0.3,F,8,0,1,D,9,0,C,8,277.7716805
