727033,HOULTON INTL ARPT,ME,-5,46.117,-67.8,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2003,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,1.7,A,7,1.7,A,7,100,A,7,988,A,7,220,A,7,1.5,A,7,11200,B,7,152,A,7,1.8,E,8,0.042,F,8,0.19,F,8,0,1,D,9,61,C,8,274.7
1/1/2003,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,1.1,A,7,1.1,A,7,100,A,7,988,A,7,210,A,7,2.1,A,7,11200,B,7,335,A,7,1.7,E,8,0.042,F,8,0.19,F,8,0,1,D,9,0,C,8,273.9247573
1/1/2003,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,1.1,A,7,0.6,A,7,96,A,7,988,A,7,220,A,7,3.6,A,7,16000,B,7,152,A,7,1.5,E,8,0.042,F,8,0.19,F,8,0,1,D,9,0,C,8,273.3636052
1/1/2003,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1.1,A,7,0.6,A,7,96,A,7,989,A,7,260,A,7,2.6,A,7,16000,B,7,671,A,7,1.4,E,8,0.042,F,8,0.19,F,8,0,1,D,9,0,C,8,273.0701232
1/1/2003,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,2.2,A,7,0.6,A,7,89,A,7,990,A,7,300,A,7,3.6,A,7,16000,B,7,1250,A,7,1.2,E,8,0.042,F,8,0.19,F,8,0,1,D,9,0,C,8,273.2837569
1/1/2003,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,2.2,A,7,-1.1,A,7,78,A,7,991,A,7,260,A,7,5.2,A,7,16000,B,7,1433,A,7,1,E,8,0.042,F,8,0.19,F,8,0,1,D,9,0,C,8,273.5947796
1/1/2003,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1.7,A,7,-1.1,A,7,81,A,7,992,A,7,260,A,7,3.1,A,7,16000,B,7,1494,A,7,0.8,E,8,0.042,F,8,0.19,F,8,0,1,D,9,0,C,8,273.5776932
1/1/2003,8:00,52,1049,10,2,9,115,2,21,6,2,9,13,2,9,61,2,21,10,2,9,15,2,25,10,E,9,10,E,9,1.1,A,7,-1.7,A,7,80,A,7,993,A,7,280,A,7,4.6,A,7,16000,B,7,1676,A,7,0.7,E,8,0.042,F,8,0.19,F,8,0,1,D,9,0,C,8,273.469549
1/1/2003,9:00,227,1415,143,2,9,327,2,21,90,2,9,146,2,9,215,2,21,111,2,9,189,2,25,10,E,9,10,E,9,1.1,A,7,-1.1,A,7,84,A,7,994,A,7,270,A,7,2.6,A,7,16000,B,7,1524,A,7,0.6,E,8,0.042,F,8,0.19,F,8,0,1,D,9,0,C,8,273.2627454
1/1/2003,10:00,373,1415,48,2,9,0,2,21,48,2,9,57,2,9,0,2,21,57,2,9,199,2,25,10,E,9,10,E,9,1.1,A,7,-1.7,A,7,80,A,7,995,A,7,290,A,7,3.1,A,7,16000,B,7,701,A,7,0.5,E,8,0.042,F,8,0.19,F,8,0,1,D,9,0,C,8,272.935787
