727135,WISCASSET,ME,-5,43.967,-69.717,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2002,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-6,A,7,-9,A,7,77,A,7,1010,A,7,250,B,8,1.5,B,8,16100,B,7,990,A,7,0.4,E,8,0.072,F,8,0.15,F,8,0,1,D,9,0,C,8,267
1/1/2002,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,-7,A,7,-9,A,7,84,A,7,1010,A,7,250,B,8,0.8,B,8,16100,B,7,77777,A,7,0.4,E,8,0.072,F,8,0.15,F,8,0,1,D,9,0,C,8,266.0119158
1/1/2002,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-9,A,7,-10,A,7,92,A,7,1010,A,7,250,B,8,0.6,B,8,16100,B,7,77777,A,7,0.4,E,8,0.072,F,8,0.15,F,8,0,1,D,9,0,C,8,264.810997
1/1/2002,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-10,A,7,-11,A,7,91,A,7,1010,A,7,250,B,8,0.9,B,8,16100,B,7,77777,A,7,0.4,E,8,0.072,F,8,0.15,F,8,0,1,D,9,0,C,8,263.5716323
1/1/2002,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-11,A,7,-12,A,7,91,A,7,1010,A,7,250,B,8,1.3,B,8,16100,B,7,77777,A,7,0.4,E,8,0.072,F,8,0.15,F,8,0,1,D,9,0,C,8,262.4624108
1/1/2002,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-11,A,7,-12,A,7,91,A,7,1010,A,7,250,B,8,1.3,B,8,16100,B,7,77777,A,7,0.4,E,8,0.072,F,8,0.15,F,8,0,1,D,9,0,C,8,261.6916877
1/1/2002,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-11,A,7,-13,A,7,84,A,7,1010,A,7,250,B,8,1.9,B,8,16100,B,7,77777,A,7,0.4,E,8,0.072,F,8,0.15,F,8,0,1,D,9,0,C,8,261.2915577
1/1/2002,8:00,55,1049,10,2,9,180,2,21,4,2,9,16,2,9,104,2,21,10,2,9,15,2,25,0,E,9,0,E,9,-11,A,7,-12,A,7,91,A,7,1010,A,7,250,B,8,1.8,B,8,16100,B,7,77777,A,7,0.4,E,8,0.072,F,8,0.15,F,8,0,1,D,9,0,C,8,261.3740796
1/1/2002,9:00,243,1415,151,2,9,510,2,21,63,2,9,151,2,9,356,2,21,89,2,9,104,2,25,0,E,9,0,E,9,-6,A,7,-9,A,7,77,A,7,1011,A,7,250,B,8,2.6,A,7,16100,B,7,77777,A,7,0.4,E,8,0.072,F,8,0.15,F,8,0,1,D,9,0,C,8,263.343273
1/1/2002,10:00,401,1415,260,2,9,682,2,21,66,2,9,270,2,9,593,2,21,101,2,9,124,2,25,0,E,9,0,E,9,-3,A,7,-9,A,7,60,A,7,1010,A,7,250,A,7,4.1,A,7,16100,B,7,77777,A,7,0.4,E,8,0.072,F,8,0.15,F,8,0,1,D,9,0,C,8,267.5614528
