727347,PELLSTON EMMET COUNTY AP,MI,-5,45.567,-84.783,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1995,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-2.5,B,8,-7,B,8,68,A,7,991,B,8,350,B,8,4.1,B,8,19300,C,8,810,B,8,0.9,E,8,0.054,F,8,0.19,F,8,0,1,D,9,0,C,8,270.5
1/1/1995,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-2.6,B,8,-6.8,B,8,70,A,7,990,B,8,340,B,8,3.6,B,8,19300,C,8,810,B,8,0.8,E,8,0.054,F,8,0.19,F,8,0,1,D,9,0,C,8,269.7167707
1/1/1995,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-2.7,B,8,-6.5,B,8,72,A,7,990,B,8,330,B,8,3,B,8,19300,C,8,810,B,8,0.8,E,8,0.054,F,8,0.19,F,8,0,1,D,9,0,C,8,269.3977646
1/1/1995,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-2.8,A,7,-6.2,A,7,75,A,7,990,A,7,320,A,7,2.5,A,7,19300,B,7,810,A,7,0.8,E,8,0.054,F,8,0.19,F,8,0,1,D,9,0,C,8,269.1872698
1/1/1995,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-2.8,A,7,-6.2,A,7,75,A,7,990,A,7,310,A,7,2.5,A,7,19300,B,7,810,A,7,0.8,E,8,0.054,F,8,0.19,F,8,0,1,D,9,0,C,8,269.0638755
1/1/1995,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-3.1,E,9,-5.8,E,9,79,A,7,989,B,8,330,E,9,1.6,E,9,18300,C,8,0,E,9,0.8,E,8,0.054,F,8,0.19,F,8,0,1,D,9,0,C,8,268.9097507
1/1/1995,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-2.8,E,9,-5.5,E,9,80,A,7,988,B,8,310,E,9,2.1,E,9,17300,C,8,0,E,9,0.8,E,8,0.054,F,8,0.19,F,8,0,1,D,9,0,C,8,268.8719162
1/1/1995,8:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-3.1,E,9,-5.1,E,9,84,A,7,988,B,8,300,E,9,1.2,E,9,16300,C,8,0,E,9,0.8,E,8,0.054,F,8,0.19,F,8,0,1,D,9,0,C,8,268.8148706
1/1/1995,9:00,39,908,3,1,18,0,1,22,3,1,18,4,1,18,0,1,22,4,1,18,12,1,34,10,E,9,10,E,9,-4,E,9,-5.9,E,9,85,A,7,987,B,8,310,E,9,4.4,E,9,15300,C,8,0,E,9,0.8,E,8,0.054,F,8,0.19,F,8,0,1,D,9,85,C,8,268.4507505
1/1/1995,10:00,214,1415,24,1,18,0,1,22,24,1,18,28,1,18,0,1,22,28,1,18,95,1,34,10,E,9,10,E,9,-3.6,E,9,-5.5,E,9,85,A,7,987,B,8,290,E,9,0.8,E,9,14300,C,8,0,E,9,0.8,E,8,0.054,F,8,0.19,F,8,0,1,D,9,85,C,8,268.1374087
1/1/1995,11:00,368,1415,48,1,18,0,1,22,48,1,18,57,1,18,0,1,22,57,1,18,198,1,34,10,E,9,10,E,9,-3.4,E,9,-5.7,E,9,82,A,7,986,B,8,290,E,9,2.4,E,9,13300,C,8,90,E,9,0.7,E,8,0.054,F,8,0.19,F,8,0,1,D,9,85,C,8,267.9926993
1/1/1995,12:00,470,1415,93,1,18,0,1,22,93,1,18,107,1,18,0,1,22,107,1,18,370,1,34,10,E,9,10,E,9,-2.6,E,9,-5.9,E,9,76,A,7,986,B,8,0,E,9,0,E,9,12300,C,8,525,E,9,0.7,E,8,0.054,F,8,0.19,F,8,0,1,D,9,85,C,8,268.0264846
1/1/1995,13:00,514,1415,104,1,11,0,1,16,104,1,11,120,1,11,0,1,16,120,1,11,420,1,22,10,A,7,10,E,9,-2.3,A,7,-5,A,7,80,A,7,985,A,7,260,A,7,3,A,7,11300,B,7,750,A,7,0.7,E,8,0.054,F,8,0.19,F,8,0,1,D,9,0,C,8,268.1763896
1/1/1995,14:00,496,1415,100,1,11,0,1,17,100,1,11,115,1,11,0,1,17,115,1,11,401,1,23,10,B,8,10,B,8,-2.1,B,8,-4.9,B,8,79,A,7,985,B,8,260,B,8,3.2,B,8,9616,C,8,650,B,8,0.7,E,8,0.054,F,8,0.19,F,8,0,1,D,9,0,C,8,268.3652283
1/1/1995,15:00,418,1415,81,1,11,0,1,17,81,1,11,93,1,11,0,1,17,93,1,11,317,1,23,10,B,8,10,B,8,-2.1,B,8,-4.5,B,8,82,A,7,984,B,8,260,B,8,3.4,B,8,7933,C,8,550,B,8,0.7,E,8,0.054,F,8,0.19,F,8,0,1,D,9,85,C,8,268.5625335
1/1/1995,16:00,285,1415,50,1,11,0,1,17,50,1,11,57,1,11,0,1,17,57,1,11,189,1,23,10,B,8,10,B,8,-2.2,B,8,-4.2,B,8,84,A,7,984,B,8,260,B,8,3.6,B,8,6250,C,8,450,B,8,0.7,E,8,0.054,F,8,0.19,F,8,0,1,D,9,85,C,8,268.761414
1/1/1995,17:00,108,1415,12,1,11,0,1,17,12,1,11,14,1,11,0,1,17,14,1,11,46,1,23,10,B,8,10,B,8,-2.6,B,8,-4.2,B,8,87,A,7,983,B,8,260,B,8,3.7,B,8,4566,C,8,350,B,8,0.7,E,8,0.054,F,8,0.19,F,8,0,1,D,9,85,C,8,268.8928992
1/1/1995,18:00,0,106,0,1,11,0,1,17,0,1,11,0,1,11,0,1,17,0,1,11,0,1,23,10,B,8,10,B,8,-3.3,B,8,-4.3,B,8,92,A,7,983,B,8,260,B,8,3.9,B,8,2883,C,8,250,B,8,0.7,E,8,0.054,F,8,0.19,F,8,0,1,D,9,45,C,8,268.7755176
1/1/1995,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-3.9,A,7,-4.5,A,7,95,A,7,983,A,7,260,A,7,4.1,A,7,1200,B,7,150,A,7,0.7,E,8,0.054,F,8,0.19,F,8,0,1,D,9,45,C,8,268.4323488
1/1/1995,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-4.4,B,8,-5.5,B,8,91,A,7,982,B,8,240,A,7,5.1,A,7,1600,B,7,150,A,7,0.7,E,8,0.054,F,8,0.19,F,8,0,1,D,9,45,C,8,268.5065656
1/1/1995,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-5,A,7,-6.7,A,7,86,A,7,982,A,7,240,A,7,5.1,A,7,1200,B,7,240,A,7,0.7,E,8,0.054,F,8,0.19,F,8,0,1,D,9,45,C,8,267.1285235
1/1/1995,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-5,A,7,-7.3,A,7,82,A,7,982,B,8,320,A,7,2.5,A,7,1600,B,7,210,A,7,0.7,E,8,0.054,F,8,0.19,F,8,0,1,D,9,45,C,8,266.9515943
1/1/1995,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-5.4,B,8,-7.7,B,8,82,A,7,982,B,8,320,B,8,3.2,B,8,4833,C,8,7473,B,8,0.6,E,8,0.054,F,8,0.19,F,8,0,1,D,9,71,C,8,266.7408263
1/1/1995,24:00:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-5.7,B,8,-8,B,8,82,A,7,982,B,8,330,B,8,3.9,B,8,8066,C,8,14737,B,8,0.6,E,8,0.054,F,8,0.19,F,8,0,1,D,9,71,C,8,266.4705344
1/2/1995,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-6.2,A,7,-8.4,A,7,83,A,7,982,A,7,330,A,7,4.6,A,7,11300,B,7,77777,A,7,0.6,E,8,0.054,F,8,0.19,F,8,0,1,D,9,71,C,8,266.1302337
1/2/1995,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-6.5,B,8,-8.9,B,8,81,A,7,982,B,8,330,B,8,4.6,B,8,12100,C,8,11570,B,8,0.6,E,8,0.054,F,8,0.19,F,8,0,1,D,9,0,C,8,265.7755665
1/2/1995,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-6.7,A,7,-9.5,A,7,78,A,7,982,A,7,320,A,7,4.6,A,7,12900,B,7,1140,A,7,0.6,E,8,0.054,F,8,0.19,F,8,0,1,D,9,71,C,8,265.4782477
1/2/1995,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-6.2,A,7,-9.5,A,7,75,A,7,983,A,7,310,A,7,7.7,A,7,6400,B,7,1500,A,7,0.6,E,8,0.054,F,8,0.19,F,8,0,1,D,9,71,C,8,265.4451226
1/2/1995,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-6.2,B,8,-9.3,B,8,76,A,7,984,B,8,300,B,8,7.3,B,8,6400,C,8,1360,B,8,0.6,E,8,0.054,F,8,0.19,F,8,0,1,D,9,71,C,8,265.5221852
1/2/1995,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-6.1,B,8,-8.9,B,8,78,A,7,984,B,8,300,B,8,7,B,8,6400,C,8,1220,B,8,0.6,E,8,0.054,F,8,0.19,F,8,0,1,D,9,71,C,8,265.5914825
1/2/1995,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-6.2,A,7,-8.9,A,7,79,A,7,985,A,7,290,A,7,6.6,A,7,6400,B,7,1080,A,7,0.6,E,8,0.054,F,8,0.19,F,8,0,1,D,9,71,C,8,265.6122562
1/2/1995,8:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-6.2,B,8,-9.2,B,8,77,A,7,985,B,8,280,B,8,5.6,B,8,7200,C,8,1020,B,8,0.6,E,8,0.054,F,8,0.19,F,8,0,1,D,9,71,C,8,265.6036297
1/2/1995,9:00,39,908,5,1,11,0,1,16,5,1,11,6,1,11,0,1,16,6,1,11,20,1,22,10,A,7,10,E,9,-6.2,A,7,-9.5,A,7,75,A,7,985,A,7,270,A,7,4.6,A,7,8000,B,7,960,A,7,0.6,E,8,0.054,F,8,0.19,F,8,0,1,D,9,85,C,8,265.581647
