727415,RHINELANDER ONEIDA,WI,-6,45.633,-89.467,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1995,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,B,8,2,B,8,-11.6,B,8,-20.4,E,9,44,A,7,954,E,9,30,B,8,2.2,B,8,11300,C,8,16125,B,8,0.5,E,8,0.06,F,8,0.16,F,8,0,1,D,9,0,C,8,261.4
1/1/1995,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,B,8,2,B,8,-11.5,B,8,-21.5,E,9,39,A,7,954,E,9,360,B,8,2.2,B,8,11300,C,8,16444,B,8,0.5,E,8,0.06,F,8,0.16,F,8,0,1,D,9,0,C,8,260.8589801
1/1/1995,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,B,8,2,B,8,-11.4,B,8,-16.6,E,9,62,A,7,954,E,9,350,B,8,2.4,B,8,11300,C,8,16764,B,8,0.5,E,8,0.06,F,8,0.16,F,8,0,1,D,9,0,C,8,260.6480352
1/1/1995,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,B,8,1,B,8,-11.1,B,8,-16.7,E,9,60,A,7,954,E,9,330,B,8,2.5,B,8,11300,C,8,17083,B,8,0.5,E,8,0.06,F,8,0.16,F,8,0,1,D,9,71,C,8,260.6514726
1/1/1995,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,B,8,1,B,8,-10.8,B,8,-17.8,E,9,53,A,7,954,E,9,310,B,8,2.6,B,8,11300,C,8,17402,B,8,0.4,E,8,0.06,F,8,0.16,F,8,0,1,D,9,71,C,8,260.8041924
1/1/1995,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,B,8,2,B,8,-9.7,B,8,-17.9,E,9,47,A,7,954,E,9,300,B,8,1.7,B,8,11300,C,8,16182,B,8,0.4,E,8,0.06,F,8,0.16,F,8,0,1,D,9,71,C,8,261.2964816
1/1/1995,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6,B,8,6,B,8,-9.9,B,8,-17,E,9,52,A,7,954,E,9,280,B,8,2,B,8,11300,C,8,8541,B,8,0.4,E,8,0.06,F,8,0.16,F,8,0,1,D,9,71,C,8,261.672273
1/1/1995,8:00,10,460,0,1,24,0,1,27,0,1,24,0,1,24,0,1,27,0,1,24,0,1,43,10,A,7,10,E,9,-9.5,A,7,-16.8,E,9,51,A,7,954,E,9,270,A,7,2,A,7,11300,B,7,900,A,7,0.4,E,8,0.06,F,8,0.16,F,8,0,1,D,9,71,C,8,261.9425992
1/1/1995,9:00,157,1415,24,1,25,0,1,28,24,1,25,28,1,25,0,1,28,28,1,25,88,1,45,10,B,8,10,B,8,-9.7,B,8,-16.2,E,9,55,A,7,954,E,9,270,B,8,3.7,B,8,10200,C,8,850,B,8,0.4,E,8,0.06,F,8,0.16,F,8,0,1,D,9,0,C,8,261.9991855
1/1/1995,10:00,323,1415,60,1,25,0,1,28,60,1,25,69,1,25,0,1,28,69,1,25,228,1,45,10,B,8,10,B,8,-9.5,B,8,-15.3,E,9,59,A,7,954,E,9,270,B,8,5.5,B,8,9100,C,8,800,B,8,0.4,E,8,0.06,F,8,0.16,F,8,0,1,D,9,45,C,8,261.8769698
