727437,IRON MOUNTAIN/FORD,MI,-6,45.817,-88.117,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1991,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,E,9,-13.6,E,9,-16,E,9,80,A,7,967,E,9,0,E,9,0,E,9,24000,C,8,2400,E,9,0.4,E,8,0.059,F,8,0.16,F,8,0,1,D,9,0,C,8,259.4
1/1/1991,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,9,B,8,-13.6,B,8,-16,B,8,80,A,7,966,E,9,0,B,8,0,B,8,24000,C,8,2400,B,8,0.4,E,8,0.059,F,8,0.16,F,8,0,1,D,9,0,C,8,258.8745052
1/1/1991,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,9,B,8,-13.5,B,8,-16,B,8,79,A,7,965,E,9,0,B,8,0,B,8,24000,C,8,2400,B,8,0.4,E,8,0.059,F,8,0.16,F,8,0,1,D,9,0,C,8,258.6235137
1/1/1991,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,9,B,8,-13.3,B,8,-15.9,B,8,79,A,7,964,E,9,0,B,8,0,B,8,24000,C,8,2400,B,8,0.4,E,8,0.059,F,8,0.16,F,8,0,1,D,9,0,C,8,258.5726573
1/1/1991,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,E,9,-13.8,A,7,-16,A,7,82,A,7,963,E,9,0,A,7,0,A,7,24000,B,7,2400,A,7,0.5,E,8,0.059,F,8,0.16,F,8,0,1,D,9,0,C,8,258.4327246
1/1/1991,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-12.7,A,7,-14.3,A,7,86,A,7,963,E,9,160,A,7,2.1,A,7,24000,B,7,2400,A,7,0.5,E,8,0.059,F,8,0.16,F,8,0,1,D,9,0,C,8,258.6141695
1/1/1991,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-11.6,A,7,-13.2,A,7,87,A,7,962,E,9,180,A,7,4.1,A,7,24000,B,7,2400,A,7,0.5,E,8,0.059,F,8,0.16,F,8,0,1,D,9,0,C,8,259.2743199
1/1/1991,8:00,15,578,2,1,24,0,1,27,2,1,24,0,1,24,0,1,27,0,1,24,0,1,43,9,A,7,9,E,9,-11,A,7,-13.2,A,7,82,A,7,961,E,9,180,A,7,4.1,A,7,24000,B,7,2400,A,7,0.5,E,8,0.059,F,8,0.16,F,8,0,1,D,9,0,C,8,259.9886682
1/1/1991,9:00,170,1415,55,1,24,130,1,27,39,1,24,58,1,24,72,1,27,49,1,24,71,1,43,9,A,7,9,E,9,-9.9,A,7,-12.1,A,7,82,A,7,961,E,9,180,A,7,5.1,A,7,24000,B,7,2400,A,7,0.5,E,8,0.059,F,8,0.16,F,8,0,1,D,9,0,C,8,261.0298292
1/1/1991,10:00,333,1415,76,1,25,45,1,28,65,1,25,83,1,25,38,1,28,74,1,25,175,1,45,9,B,8,9,B,8,-9,B,8,-13.3,B,8,68,A,7,960,E,9,210,B,8,5.6,B,8,24000,C,8,12200,B,8,0.5,E,8,0.059,F,8,0.16,F,8,0,1,D,9,0,C,8,261.7463962
1/1/1991,11:00,447,1415,96,1,24,35,1,27,85,1,24,106,1,24,32,1,27,96,1,24,242,1,43,9,A,7,9,E,9,-8.2,A,7,-14.3,A,7,58,A,7,960,E,9,230,A,7,6.2,A,7,24000,B,7,77777,A,7,0.5,E,8,0.059,F,8,0.16,F,8,0,1,D,9,0,C,8,262.2941903
1/1/1991,12:00,504,1415,195,1,24,183,1,27,130,1,24,214,1,24,176,1,27,151,1,24,298,1,43,9,A,7,9,E,9,-7.1,A,7,-10.5,A,7,74,A,7,959,E,9,230,A,7,2.1,A,7,24000,B,7,2400,A,7,0.5,E,8,0.059,F,8,0.16,F,8,0,1,D,9,0,C,8,263.4949164
1/1/1991,13:00,500,1415,160,1,25,50,1,28,142,1,25,175,1,25,47,1,28,158,1,25,386,1,45,9,B,8,9,B,8,-5.2,B,8,-9.7,B,8,68,A,7,960,E,9,270,B,8,2.9,B,8,24000,C,8,12200,B,8,0.5,E,8,0.059,F,8,0.16,F,8,0,1,D,9,0,C,8,264.7446685
1/1/1991,14:00,435,1415,188,1,24,33,1,27,178,1,24,204,1,24,26,1,27,196,1,24,523,1,43,9,A,7,9,E,9,-3.8,A,7,-9.3,A,7,62,A,7,959,E,9,300,A,7,3.6,A,7,24000,B,7,77777,A,7,0.5,E,8,0.059,F,8,0.16,F,8,0,1,D,9,0,C,8,265.6722152
1/1/1991,15:00,314,1415,115,1,24,72,1,27,99,1,24,126,1,24,61,1,27,112,1,24,239,1,43,9,A,7,9,E,9,-3.8,A,7,-7.1,A,7,75,A,7,959,E,9,300,A,7,2.6,A,7,24000,B,7,77777,A,7,0.5,E,8,0.059,F,8,0.16,F,8,0,1,D,9,0,C,8,266.75378
1/1/1991,16:00,146,1415,70,1,24,389,1,27,30,1,24,72,1,24,221,1,27,49,1,24,53,1,43,2,A,7,2,E,9,-4.3,A,7,-7.7,A,7,75,A,7,960,E,9,290,A,7,3.1,A,7,24000,B,7,77777,A,7,0.5,E,8,0.059,F,8,0.16,F,8,0,1,D,9,0,C,8,269.493769
1/1/1991,17:00,7,389,1,1,24,21,1,27,0,1,24,0,1,24,0,1,27,0,1,24,0,1,43,3,A,7,3,E,9,-4.5,B,8,-8,B,8,74,A,7,961,E,9,310,A,7,3.6,A,7,24000,B,7,77777,A,7,0.5,E,8,0.059,F,8,0.16,F,8,0,1,D,9,0,C,8,269.7754961
1/1/1991,18:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,E,9,-4.9,A,7,-8.2,A,7,75,A,7,962,E,9,320,A,7,5.1,A,7,24000,B,7,77777,A,7,0.5,E,8,0.059,F,8,0.16,F,8,0,1,D,9,0,C,8,268.3276972
1/1/1991,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6,B,8,6,B,8,-6.3,B,8,-9.1,B,8,78,A,7,962,E,9,330,B,8,5.1,B,8,20000,C,8,11525,B,8,0.5,E,8,0.059,F,8,0.16,F,8,0,1,D,9,0,C,8,267.0783769
1/1/1991,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,E,9,-7.7,A,7,-9.9,A,7,82,A,7,963,E,9,340,A,7,5.1,A,7,16000,B,7,1050,A,7,0.5,E,8,0.059,F,8,0.16,F,8,0,1,D,9,0,C,8,265.9601626
1/1/1991,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,E,9,-8.2,A,7,-10.5,A,7,82,A,7,964,E,9,310,A,7,5.1,A,7,11200,B,7,750,A,7,0.5,E,8,0.059,F,8,0.16,F,8,0,1,D,9,0,C,8,264.8488688
1/1/1991,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,E,9,-9.3,A,7,-11.6,A,7,81,A,7,965,E,9,310,A,7,6.2,A,7,11200,B,7,750,A,7,0.5,E,8,0.059,F,8,0.16,F,8,0,1,D,9,71,C,8,263.7873468
1/1/1991,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,B,8,8,B,8,-10.2,B,8,-13.2,B,8,76,A,7,965,E,9,310,B,8,5.7,B,8,14171,C,8,3786,B,8,0.5,E,8,0.059,F,8,0.16,F,8,0,1,D,9,0,C,8,263.1845614
1/1/1991,24:00:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6,B,8,6,B,8,-10.8,B,8,-14.4,B,8,72,A,7,965,E,9,310,B,8,5.2,B,8,17142,C,8,6821,B,8,0.5,E,8,0.059,F,8,0.16,F,8,0,1,D,9,0,C,8,262.0078519
1/2/1991,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,B,8,5,B,8,-12.1,B,8,-16,B,8,70,A,7,965,E,9,310,B,8,4.7,B,8,20114,C,8,9857,B,8,0.5,E,8,0.058,F,8,0.16,F,8,0,1,D,9,0,C,8,261.2556285
1/2/1991,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,4,B,8,4,B,8,-13.2,B,8,-17.4,B,8,68,A,7,965,E,9,310,B,8,4.1,B,8,23085,C,8,12893,B,8,0.5,E,8,0.058,F,8,0.16,F,8,0,1,D,9,0,C,8,260.1127865
1/2/1991,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,B,8,3,B,8,-14.4,B,8,-18.8,B,8,66,A,7,965,E,9,310,B,8,3.6,B,8,26057,C,8,15929,B,8,0.5,E,8,0.058,F,8,0.16,F,8,0,1,D,9,0,C,8,258.9733831
1/2/1991,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,B,8,1,B,8,-15.4,B,8,-20.1,B,8,64,A,7,965,E,9,310,B,8,3.1,B,8,29028,C,8,18964,B,8,0.5,E,8,0.058,F,8,0.16,F,8,0,1,D,9,0,C,8,257.8780326
1/2/1991,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,-17.1,A,7,-21.6,A,7,65,A,7,965,E,9,310,A,7,2.6,A,7,32000,B,7,77777,A,7,0.5,E,8,0.058,F,8,0.16,F,8,0,1,D,9,0,C,8,256.6389146
1/2/1991,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,B,8,1,B,8,-18.1,B,8,-22.4,B,8,66,A,7,965,E,9,310,B,8,2.9,B,8,32000,C,8,77777,B,8,0.5,E,8,0.058,F,8,0.16,F,8,0,1,D,9,0,C,8,255.4222639
1/2/1991,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,E,9,-19.3,B,8,-23.2,B,8,69,A,7,965,E,9,300,A,7,3.1,A,7,32000,C,8,77777,A,7,0.5,E,8,0.058,F,8,0.16,F,8,0,1,D,9,0,C,8,254.2798189
1/2/1991,8:00,15,578,5,1,24,47,1,27,3,1,24,0,1,24,0,1,27,0,1,24,0,1,43,3,A,7,3,E,9,-19.9,A,7,-23.6,B,8,70,A,7,965,E,9,320,B,8,2.9,B,8,32000,B,7,77777,A,7,0.5,E,8,0.058,F,8,0.16,F,8,0,1,D,9,0,C,8,253.4900742
1/2/1991,9:00,171,1415,84,1,24,463,1,27,28,1,24,84,1,24,306,1,27,47,1,24,51,1,43,2,A,7,2,E,9,-19.9,A,7,-23.8,A,7,68,A,7,965,E,9,330,A,7,2.6,A,7,32000,B,7,77777,A,7,0.5,E,8,0.058,F,8,0.16,F,8,0,1,D,9,0,C,8,254.0621333
1/2/1991,10:00,333,1415,203,1,24,650,1,27,50,1,24,207,1,24,540,1,27,79,1,24,92,1,43,3,A,7,3,E,9,-18.2,A,7,-24.9,A,7,52,A,7,965,E,9,270,A,7,2.1,A,7,32000,B,7,77777,A,7,0.5,E,8,0.058,F,8,0.16,F,8,0,1,D,9,0,C,8,255.2525476
1/2/1991,11:00,448,1415,280,1,24,709,1,27,56,1,24,292,1,24,642,1,27,87,1,24,112,1,43,2,A,7,2,E,9,-17.1,A,7,-23.2,A,7,56,A,7,964,E,9,280,A,7,2.6,A,7,32000,B,7,77777,A,7,0.5,E,8,0.058,F,8,0.16,F,8,0,1,D,9,0,C,8,256.8654433
