727445,IRONWOOD (AWOS),MI,-6,46.533,-90.133,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2004,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-15,A,7,-16,A,7,91,A,7,969,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,0.6,E,8,0.056,F,8,0.39,F,8,0,1,D,9,0,C,8,258
1/1/2004,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,E,9,-15,A,7,-18,A,7,76,A,7,969,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,0.7,E,8,0.056,F,8,0.39,F,8,0,1,D,9,0,C,8,257.4924403
1/1/2004,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-13,A,7,-15,A,7,83,A,7,969,E,9,0,A,7,0,A,7,16100,B,7,3300,A,7,0.8,E,8,0.056,F,8,0.39,F,8,0,1,D,9,0,C,8,257.8440721
1/1/2004,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-13,A,7,-14,A,7,91,A,7,969,E,9,0,A,7,0,A,7,16100,B,7,2400,A,7,0.8,E,8,0.056,F,8,0.39,F,8,0,1,D,9,0,C,8,258.3882894
1/1/2004,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,8,E,9,-11,A,7,-15,A,7,70,A,7,969,E,9,110,A,7,3.6,A,7,16100,B,7,77777,A,7,0.9,E,8,0.056,F,8,0.39,F,8,0,1,D,9,0,C,8,259.3220486
1/1/2004,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-10,A,7,-14,A,7,70,A,7,969,E,9,100,A,7,3.1,A,7,16100,B,7,3600,A,7,0.9,E,8,0.056,F,8,0.39,F,8,0,1,D,9,0,C,8,260.4844827
1/1/2004,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,7,E,9,-9,A,7,-14,A,7,64,A,7,969,E,9,110,A,7,3.6,A,7,16100,B,7,77777,A,7,0.9,E,8,0.056,F,8,0.39,F,8,0,1,D,9,0,C,8,261.5502603
1/1/2004,8:00,5,318,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,9,E,9,6,E,9,-9,A,7,-14,A,7,64,A,7,969,E,9,100,A,7,1.5,A,7,16100,B,7,77777,A,7,0.9,E,8,0.056,F,8,0.39,F,8,0,1,D,9,0,C,8,262.2276792
1/1/2004,9:00,134,1415,12,2,9,0,2,21,12,2,9,14,2,9,0,2,21,14,2,9,47,2,25,10,E,9,10,E,9,-8,A,7,-13,A,7,64,A,7,969,E,9,100,A,7,5.1,A,7,14500,B,7,1050,A,7,0.9,E,8,0.056,F,8,0.39,F,8,0,1,D,9,0,C,8,262.8358349
1/1/2004,10:00,300,1415,44,2,9,0,2,21,44,2,9,51,2,9,0,2,21,51,2,9,173,2,25,10,E,9,5,E,9,-7,A,7,-13,A,7,59,A,7,969,E,9,110,A,7,3.6,A,7,16100,B,7,77777,A,7,0.9,E,8,0.056,F,8,0.39,F,8,0,1,D,9,0,C,8,263.5174424
