727453,PARK RAPIDS MUNICIPAL AP,MN,-6,46.9,-95.067,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1995,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-16.5,B,8,-19.2,B,8,78,A,7,962,E,9,300,B,8,3.1,B,8,16100,C,8,495,B,8,0.3,E,8,0.053,F,8,0.41,F,8,0,1,D,9,0,C,8,256.5
1/1/1995,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-16.9,B,8,-19.6,B,8,77,A,7,962,E,9,300,B,8,2.9,B,8,16100,C,8,480,B,8,0.3,E,8,0.053,F,8,0.41,F,8,0,1,D,9,0,C,8,255.8482377
1/1/1995,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-17.1,B,8,-19.8,B,8,77,A,7,962,E,9,300,B,8,2.8,B,8,16100,C,8,465,B,8,0.3,E,8,0.053,F,8,0.41,F,8,0,1,D,9,0,C,8,255.4141551
1/1/1995,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-17.5,B,8,-20.1,B,8,78,A,7,962,E,9,300,B,8,2.6,B,8,16100,C,8,450,B,8,0.3,E,8,0.053,F,8,0.41,F,8,0,1,D,9,0,C,8,255.0311578
1/1/1995,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-18,B,8,-20.5,B,8,79,A,7,962,E,9,310,B,8,2.5,B,8,16100,C,8,435,B,8,0.3,E,8,0.053,F,8,0.41,F,8,0,1,D,9,0,C,8,254.6184369
1/1/1995,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-18.2,B,8,-20.6,B,8,80,A,7,962,E,9,310,B,8,2.3,B,8,16100,C,8,420,B,8,0.3,E,8,0.053,F,8,0.41,F,8,0,1,D,9,0,C,8,254.2489314
1/1/1995,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-18.5,B,8,-20.9,B,8,79,A,7,962,E,9,310,B,8,2.2,B,8,16100,C,8,405,B,8,0.3,E,8,0.053,F,8,0.41,F,8,0,1,D,9,0,C,8,253.9295794
1/1/1995,8:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-18.9,A,7,-21.2,A,7,80,A,7,962,E,9,310,A,7,2,A,7,16100,B,7,390,A,7,0.3,E,8,0.053,F,8,0.41,F,8,0,1,D,9,0,C,8,253.5941841
1/1/1995,9:00,70,1238,28,1,11,31,1,17,26,1,11,30,1,11,13,1,17,29,1,11,54,1,23,8,B,8,8,B,8,-18.2,B,8,-20.3,B,8,82,A,7,962,E,9,280,B,8,2.3,B,8,17700,C,8,5793,B,8,0.3,E,8,0.053,F,8,0.41,F,8,0,1,D,9,0,C,8,253.5608899
1/1/1995,10:00,243,1415,138,1,11,315,1,17,84,1,11,138,1,11,218,1,17,100,1,11,161,1,23,6,B,8,6,B,8,-16.7,A,7,-18.9,A,7,81,A,7,962,E,9,250,A,7,2.5,A,7,19300,B,7,11195,B,8,0.3,E,8,0.053,F,8,0.41,F,8,0,1,D,9,0,C,8,254.5922801
