727457,DETROIT LAKES(AWOS),MN,-6,46.833,-95.883,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1995,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,5,E,9,-17.8,A,7,-19.5,A,7,85,A,7,963,E,9,330,A,7,3,A,7,16100,B,7,240,A,7,0.3,E,8,0.051,F,8,0.41,F,8,0,1,D,9,0,C,8,255.2
1/1/1995,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,5,E,9,-16.7,A,7,-18.9,A,7,81,A,7,963,E,9,310,A,7,5.6,A,7,11300,B,7,300,A,7,0.3,E,8,0.051,F,8,0.41,F,8,0,1,D,9,0,C,8,255.022055
1/1/1995,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,5,E,9,-17.3,A,7,-19.5,A,7,81,A,7,963,E,9,320,A,7,4.6,A,7,8000,B,7,360,A,7,0.3,E,8,0.051,F,8,0.41,F,8,0,1,D,9,0,C,8,254.9495215
1/1/1995,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,5,E,9,-17.3,A,7,-18.9,A,7,86,A,7,963,E,9,320,A,7,3.6,A,7,16100,B,7,300,A,7,0.3,E,8,0.051,F,8,0.41,F,8,0,1,D,9,0,C,8,254.8028611
1/1/1995,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,5,E,9,-16.7,A,7,-18.4,A,7,85,A,7,963,E,9,310,A,7,3,A,7,16100,B,7,360,A,7,0.3,E,8,0.051,F,8,0.41,F,8,0,1,D,9,0,C,8,254.9126402
1/1/1995,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,B,8,4,B,8,-17.3,B,8,-19.2,B,8,84,A,7,963,E,9,290,B,8,2.8,B,8,16100,C,8,5770,B,8,0.3,E,8,0.051,F,8,0.41,F,8,0,1,D,9,0,C,8,254.8936778
1/1/1995,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,B,8,3,B,8,-17.9,B,8,-19.8,B,8,83,A,7,963,E,9,270,B,8,2.5,B,8,16100,C,8,11180,B,8,0.3,E,8,0.051,F,8,0.41,F,8,0,1,D,9,0,C,8,254.6026896
1/1/1995,8:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,B,8,2,B,8,-18.4,B,8,-20.4,B,8,83,A,7,963,E,9,250,B,8,2.3,B,8,16100,C,8,16590,B,8,0.3,E,8,0.051,F,8,0.41,F,8,0,1,D,9,0,C,8,254.2051132
1/1/1995,9:00,62,1167,20,1,24,206,1,27,9,1,24,22,1,24,110,1,27,16,1,24,21,1,43,3,A,7,1,E,9,-18.4,A,7,-20.6,A,7,81,A,7,963,E,9,230,A,7,2,A,7,16100,B,7,77777,A,7,0.3,E,8,0.051,F,8,0.41,F,8,0,1,D,9,0,C,8,254.5583426
1/1/1995,10:00,235,1415,65,1,24,160,1,27,38,1,24,70,1,24,111,1,27,51,1,24,66,1,43,10,A,7,5,E,9,-16.7,A,7,-19.5,A,7,77,A,7,963,E,9,230,A,7,3.6,A,7,16100,B,7,570,A,7,0.3,E,8,0.051,F,8,0.41,F,8,0,1,D,9,0,C,8,255.1388725
