727458,GRAND RAPIDS(AWOS),MN,-6,47.217,-93.517,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,6,E,9,-9.9,E,9,-16.7,E,9,54,A,7,965,E,9,20,E,9,9.2,E,9,16100,C,8,77777,E,9,0.6,E,8,0.053,F,8,0.54,F,8,0,1,D,9,0,C,8,263.1
1/1/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,7,E,9,-9.3,E,9,-15.9,E,9,55,A,7,965,E,9,350,E,9,8.9,E,9,16100,C,8,8783,E,9,0.6,E,8,0.053,F,8,0.54,F,8,0,1,D,9,0,C,8,263.9250181
1/1/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,7,E,9,-8.6,E,9,-15,E,9,56,A,7,965,E,9,360,E,9,8.6,E,9,16100,C,8,11062,E,9,0.7,E,8,0.053,F,8,0.54,F,8,0,1,D,9,0,C,8,264.4830595
1/1/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,5,E,9,-8.5,E,9,-14.2,E,9,60,A,7,965,E,9,350,E,9,9.3,E,9,16100,C,8,77777,E,9,0.7,E,8,0.053,F,8,0.54,F,8,0,1,D,9,0,C,8,267.3543294
1/1/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,2,E,9,-7.9,E,9,-13.9,E,9,58,A,7,965,E,9,350,E,9,8.5,E,9,16100,C,8,77777,E,9,0.7,E,8,0.053,F,8,0.54,F,8,0,1,D,9,0,C,8,265.270818
1/1/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,6,E,9,-7.2,E,9,-13.1,E,9,59,A,7,965,E,9,360,E,9,7.6,E,9,16100,C,8,14450,E,9,0.7,E,8,0.053,F,8,0.54,F,8,0,1,D,9,0,C,8,265.4577332
1/1/1998,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,5,E,9,-7.2,E,9,-12.7,E,9,61,A,7,965,E,9,350,E,9,6.3,E,9,16100,C,8,15679,E,9,0.7,E,8,0.053,F,8,0.54,F,8,0,1,D,9,0,C,8,264.6468708
1/1/1998,8:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,5,E,9,-6.5,E,9,-11.9,E,9,62,A,7,965,E,9,350,E,9,6.5,E,9,16100,C,8,16008,E,9,0.7,E,8,0.053,F,8,0.54,F,8,0,1,D,9,0,C,8,264.8531019
1/1/1998,9:00,83,1356,22,2,9,0,2,21,22,2,9,25,2,9,0,2,21,25,2,9,72,2,25,4,E,9,4,E,9,-5.8,E,9,-11,E,9,63,A,7,965,E,9,320,E,9,6.7,E,9,16100,C,8,77777,E,9,0.8,E,8,0.053,F,8,0.54,F,8,0,1,D,9,0,C,8,265.2396793
1/1/1998,10:00,253,1415,94,2,9,126,2,21,71,2,9,102,2,9,94,2,21,85,2,9,152,2,25,5,E,9,4,E,9,-4.6,E,9,-9.7,E,9,64,A,7,965,E,9,320,E,9,5.4,E,9,16100,C,8,18166,E,9,0.8,E,8,0.053,F,8,0.54,F,8,0,1,D,9,0,C,8,266.0403921
