727645,DICKINSON MUNICIPAL AP,ND,-7,46.8,-102.8,788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2004,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-16.1,A,7,-17.8,A,7,85,A,7,910,A,7,160,A,7,1.5,A,7,16000,B,7,77777,A,7,0.7,E,8,0.045,F,8,0.39,F,8,0,1,D,9,0,C,8,256.9
1/1/2004,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,6,E,9,-15,A,7,-17.2,A,7,81,A,7,911,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,0.7,E,8,0.045,F,8,0.39,F,8,0,1,D,9,0,C,8,256.7095961
1/1/2004,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,-12.2,A,7,-14.4,A,7,82,A,7,912,A,7,150,A,7,2.6,A,7,16000,B,7,77777,A,7,0.8,E,8,0.045,F,8,0.39,F,8,0,1,D,9,0,C,8,257.7601225
1/1/2004,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,8,E,9,-13.3,A,7,-15,A,7,86,A,7,911,A,7,260,A,7,2.6,A,7,16000,B,7,77777,A,7,0.8,E,8,0.045,F,8,0.39,F,8,0,1,D,9,0,C,8,258.4087294
1/1/2004,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-10.6,A,7,-13.3,A,7,78,A,7,911,A,7,0,A,7,0,A,7,16000,B,7,2591,A,7,0.8,E,8,0.045,F,8,0.39,F,8,0,1,D,9,0,C,8,259.4148784
1/1/2004,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-12.8,A,7,-14.4,A,7,86,A,7,911,A,7,280,A,7,2.1,A,7,16000,B,7,2896,A,7,0.8,E,8,0.045,F,8,0.39,F,8,0,1,D,9,0,C,8,259.6734647
1/1/2004,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,7,E,9,-12.8,A,7,-15,A,7,82,A,7,912,A,7,280,A,7,5.2,A,7,16000,B,7,77777,A,7,0.8,E,8,0.045,F,8,0.39,F,8,0,1,D,9,0,C,8,259.3868819
1/1/2004,8:00,12,507,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-12.8,A,7,-14.4,A,7,86,A,7,912,A,7,230,A,7,2.6,A,7,16000,B,7,2438,A,7,0.8,E,8,0.045,F,8,0.39,F,8,0,1,D,9,0,C,8,259.2390405
1/1/2004,9:00,158,1415,21,2,9,0,2,21,21,2,9,25,2,9,0,2,21,25,2,9,79,2,25,10,E,9,10,E,9,-8.3,A,7,-11.7,A,7,74,A,7,913,A,7,0,A,7,0,A,7,16000,B,7,2743,A,7,0.7,E,8,0.045,F,8,0.39,F,8,0,1,D,9,0,C,8,260.6385348
1/1/2004,10:00,316,1415,36,2,9,0,2,21,36,2,9,43,2,9,0,2,21,43,2,9,148,2,25,3,E,9,3,E,9,-7.2,A,7,-10.6,A,7,74,A,7,914,A,7,270,A,7,5.7,A,7,16000,B,7,77777,A,7,0.6,E,8,0.045,F,8,0.39,F,8,0,1,D,9,0,C,8,262.4504671
