727686,WOLF POINT INTL [FORT PECK - SURFRAD],MT,-7,48.31,-105.1,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2001,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-21,A,7,-22,A,7,91,A,7,946,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.081,F,8,0.37,F,8,0,1,D,9,0,C,8,252
1/1/2001,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-21,A,7,-23,A,7,82,A,7,945,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.081,F,8,0.37,F,8,0,1,D,9,0,C,8,251.5388371
1/1/2001,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-21,A,7,-23,A,7,82,A,7,945,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.081,F,8,0.37,F,8,0,1,D,9,0,C,8,251.28083
1/1/2001,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-21,A,7,-22,A,7,91,A,7,945,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.081,F,8,0.37,F,8,0,1,D,9,0,C,8,251.1436751
1/1/2001,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-21,A,7,-23,A,7,82,A,7,945,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.081,F,8,0.37,F,8,0,1,D,9,0,C,8,251.0724223
1/1/2001,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-21,A,7,-23,A,7,82,A,7,945,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.081,F,8,0.37,F,8,0,1,D,9,0,C,8,251.0357948
1/1/2001,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-21,A,7,-23,A,7,82,A,7,945,A,7,70,A,7,1.5,A,7,16100,B,7,77777,A,7,1,E,8,0.081,F,8,0.37,F,8,0,1,D,9,0,C,8,251.0170628
1/1/2001,8:00,1,153,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,E,9,-19,A,7,-22,A,7,75,A,7,946,A,7,50,A,7,1.5,A,7,16100,B,7,77777,A,7,1,E,8,0.081,F,8,0.37,F,8,0,1,D,9,0,C,8,251.6543848
1/1/2001,9:00,107,1415,15,2,9,0,2,21,15,2,9,17,2,9,0,2,21,17,2,9,55,2,25,0,E,9,0,E,9,-19,A,7,-22,A,7,75,A,7,947,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,1,E,8,0.081,F,8,0.37,F,8,0,1,D,9,0,C,8,252.2829152
1/1/2001,10:00,266,1415,30,2,9,0,2,21,30,2,9,36,2,9,0,2,21,36,2,9,121,2,25,0,E,9,0,E,9,-18,A,7,-20,A,7,83,A,7,947,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,1,E,8,0.081,F,8,0.37,F,8,0,1,D,9,0,C,8,252.8279157
1/1/2001,11:00,381,1415,73,2,9,0,2,21,73,2,9,84,2,9,0,2,21,84,2,9,282,2,25,0,E,9,0,E,9,-15,A,7,-17,A,7,83,A,7,948,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,1,E,8,0.081,F,8,0.37,F,8,0,1,D,9,0,C,8,254.1522915
1/1/2001,12:00,444,1415,143,2,9,36,2,21,131,2,9,156,2,9,33,2,21,145,2,9,343,2,25,0,E,9,0,E,9,-13,A,7,-16,A,7,76,A,7,948,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,1,E,8,0.081,F,8,0.37,F,8,0,1,D,9,0,C,8,255.8632704
1/1/2001,13:00,448,1415,142,2,9,24,2,21,134,2,9,157,2,9,16,2,21,152,2,9,465,2,25,0,E,9,0,E,9,-12,A,7,-15,A,7,76,A,7,947,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,1,E,8,0.081,F,8,0.37,F,8,0,1,D,9,0,C,8,257.2964938
1/1/2001,14:00,394,1415,135,2,9,59,2,21,118,2,9,147,2,9,53,2,21,132,2,9,301,2,25,0,E,9,0,E,9,-11,A,7,-14,A,7,76,A,7,948,A,7,270,A,7,2.1,A,7,16100,B,7,77777,A,7,0.9,E,8,0.081,F,8,0.37,F,8,0,1,D,9,0,C,8,258.6790979
