727730,MISSOULA INTERNATIONAL AP,MT,-7,46.917,-114.1,973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1986,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-6.1,A,7,-6.7,A,7,96,A,7,901,A,7,320,A,7,1.5,A,7,11300,B,7,1040,A,7,0.7,E,8,0,?,0,0,?,0,0,1,D,9,71,C,8,266.9
1/1/1986,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-6.1,A,7,-6.7,A,7,96,A,7,901,A,7,0,A,7,0,A,7,8000,B,7,1040,A,7,0.7,E,8,0,?,0,0,?,0,0,1,D,9,71,C,8,266.3213772
1/1/1986,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-5.6,A,7,-6.7,A,7,92,A,7,901,A,7,0,A,7,0,A,7,8000,B,7,1130,A,7,0.7,E,8,0,?,0,0,?,0,0,1,D,9,71,C,8,266.1613896
1/1/1986,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-5.6,A,7,-6.7,A,7,92,A,7,901,A,7,0,A,7,0,A,7,8000,B,7,1130,A,7,0.7,E,8,0,?,0,0,?,0,0,1,D,9,71,C,8,266.1742603
1/1/1986,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-5.6,A,7,-6.7,A,7,92,A,7,900,A,7,0,A,7,0,A,7,8000,B,7,1130,A,7,0.7,E,8,0,?,0,0,?,0,0,1,D,9,71,C,8,266.1805825
1/1/1986,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-5.6,A,7,-6.1,A,7,96,A,7,900,A,7,200,A,7,1.5,A,7,11300,B,7,1130,A,7,0.7,E,8,0,?,0,0,?,0,0,1,D,9,71,C,8,266.1836694
1/1/1986,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-5,A,7,-6.1,A,7,92,A,7,899,A,7,0,A,7,0,A,7,16100,B,7,1130,A,7,0.7,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,266.3788594
1/1/1986,8:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-5,A,7,-6.1,A,7,92,A,7,898,A,7,110,A,7,1.5,A,7,16100,B,7,1130,A,7,0.7,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,266.5859414
1/1/1986,9:00,33,861,10,1,13,0,1,9,10,1,13,0,1,13,0,1,9,0,1,13,0,1,21,10,A,7,10,A,7,-5,A,7,-5.6,A,7,96,A,7,897,A,7,330,A,7,1.5,A,7,11300,B,7,1130,A,7,0.8,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,266.649503
1/1/1986,10:00,199,1415,55,1,13,1,1,9,55,1,13,61,1,13,0,1,9,61,1,13,175,1,21,10,A,7,10,A,7,-3.9,A,7,-5,A,7,92,A,7,897,A,7,0,A,7,0,A,7,1600,B,7,240,A,7,0.8,E,8,0,F,8,0,?,0,0,1,D,9,71,C,8,266.8696912
1/1/1986,11:00,346,1415,140,1,13,0,1,9,140,1,13,151,1,13,0,1,9,151,1,13,394,1,21,10,A,7,10,A,7,-3.3,A,7,-4.4,A,7,92,A,7,896,A,7,0,A,7,0,A,7,1600,B,7,240,A,7,0.8,E,8,0,F,8,0,?,0,0,1,D,9,71,C,8,267.0053201
1/1/1986,12:00,444,1415,163,1,9,1,1,9,163,1,13,178,1,9,1,1,9,178,1,13,513,1,18,10,A,7,10,A,7,-2.8,A,7,-3.9,A,7,92,A,7,894,A,7,290,A,7,1.5,A,7,1600,B,7,240,A,7,0.8,E,8,0,F,8,0,?,0,0,1,D,9,71,C,8,267.1172729
