727826,EPHRATA AP FCWOS,WA,-8,47.3,-119.517,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2004,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-6.1,A,7,-9.4,A,7,75,A,7,964,A,7,0,A,7,0,A,7,16000,B,7,579,A,7,0.8,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,266.9
1/1/2004,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-6.1,A,7,-8.9,A,7,78,A,7,964,A,7,10,A,7,1.5,A,7,16000,B,7,579,A,7,0.8,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,266.3006762
1/1/2004,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-5.6,A,7,-8.3,A,7,79,A,7,963,A,7,330,A,7,3.6,A,7,16000,B,7,518,A,7,0.8,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,266.1510034
1/1/2004,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-5,A,7,-7.2,A,7,83,A,7,962,A,7,10,A,7,3.1,A,7,16000,B,7,518,A,7,0.7,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,266.3633278
1/1/2004,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-4.4,A,7,-7.2,A,7,79,A,7,962,A,7,340,A,7,4.1,A,7,16000,B,7,457,A,7,0.8,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,266.7776364
1/1/2004,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-4.4,A,7,-6.1,A,7,86,A,7,960,A,7,350,A,7,5.2,A,7,16000,B,7,396,A,7,0.8,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,267.0868176
1/1/2004,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-4,A,7,-5,A,7,92,A,7,958,A,7,350,A,7,6.7,A,7,4000,B,7,330,A,7,0.8,E,8,0.049,F,8,0.49,F,8,0,1,D,9,71,C,8,267.3641403
1/1/2004,8:00,4,295,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-3.3,A,7,-4.4,A,7,91,A,7,957,A,7,360,A,7,7.2,A,7,2800,B,7,274,A,7,0.8,E,8,0.049,F,8,0.49,F,8,0,1,D,9,10,C,8,267.8049082
1/1/2004,9:00,129,1415,10,2,9,0,2,21,10,2,9,12,2,9,0,2,21,12,2,9,40,2,25,10,B,8,10,B,8,-3.3,A,7,-4.4,A,7,91,A,7,956,A,7,360,A,7,7.2,A,7,800,B,7,183,A,7,0.8,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,268.1097419
1/1/2004,10:00,291,1415,27,2,9,0,2,21,27,2,9,33,2,9,0,2,21,33,2,9,112,2,25,10,E,9,10,E,9,-3.3,A,7,-4.4,A,7,91,A,7,953,A,7,360,A,7,8.8,A,7,2000,B,7,305,A,7,0.9,E,8,0.049,F,8,0.49,F,8,0,1,D,9,45,C,8,268.1721346
1/1/2004,11:00,406,1415,264,2,9,503,2,21,119,2,9,270,2,9,436,2,21,144,2,9,228,2,25,10,E,9,10,E,9,-1.7,A,7,-4.4,A,7,80,A,7,951,A,7,360,A,7,9.3,A,7,9600,B,7,671,A,7,0.9,E,8,0.049,F,8,0.49,F,8,0,1,D,9,10,C,8,270.3969992
1/1/2004,12:00,467,1415,53,2,9,0,2,21,53,2,9,64,2,9,0,2,21,64,2,9,232,2,25,10,B,8,10,B,8,-2.8,A,7,-3.9,A,7,91,A,7,949,A,7,360,A,7,9.8,A,7,800,B,7,183,A,7,0.9,E,8,0.049,F,8,0.49,F,8,0,1,D,9,71,C,8,269.4463318
1/1/2004,13:00,469,1415,269,2,9,349,2,21,153,2,9,282,2,9,326,2,21,173,2,9,323,2,25,10,B,8,10,B,8,-2.8,A,7,-3.9,A,7,91,A,7,947,A,7,350,A,7,11.3,A,7,400,B,7,61,A,7,1,E,8,0.049,F,8,0.49,F,8,0,1,D,9,45,C,8,264.1247179
1/1/2004,14:00,411,1415,72,2,9,0,2,21,72,2,9,83,2,9,0,2,21,83,2,9,287,2,25,10,B,8,10,B,8,-2.2,A,7,-3.3,A,7,91,A,7,946,A,7,350,A,7,11.8,A,7,400,B,7,30,A,7,1,E,8,0.049,F,8,0.49,F,8,0,1,D,9,45,C,8,267.1185747
1/1/2004,15:00,298,1415,206,2,9,394,2,21,123,2,9,210,2,9,302,2,21,146,2,9,265,2,25,10,E,9,10,A,7,-2.2,A,7,-4.4,A,7,83,A,7,947,A,7,340,A,7,12.4,A,7,1200,B,7,213,A,7,0.9,E,8,0.049,F,8,0.49,F,8,0,1,D,9,45,C,8,269.3345622
1/1/2004,16:00,139,1415,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,B,8,10,B,8,-2.2,A,7,-3.9,A,7,87,A,7,948,A,7,340,A,7,11.8,A,7,800,B,7,122,A,7,0.9,E,8,0.049,F,8,0.49,F,8,0,1,D,9,10,C,8,272.2470415
1/1/2004,17:00,6,389,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-2,A,7,-4,A,7,85,A,7,950,A,7,330,A,7,11.8,A,7,2000,B,7,300,A,7,0.9,E,8,0.049,F,8,0.49,F,8,0,1,D,9,45,C,8,269.4619665
1/1/2004,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.2,A,7,-4.4,A,7,83,A,7,951,A,7,330,A,7,9.3,A,7,4000,B,7,427,A,7,0.9,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,272.2494821
1/1/2004,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1.1,A,7,-6.1,A,7,66,A,7,953,A,7,340,A,7,4.6,A,7,16000,B,7,1036,A,7,0.8,E,8,0.049,F,8,0.49,F,8,0,1,D,9,10,C,8,270.8122426
1/1/2004,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1.7,A,7,-5,A,7,76,A,7,955,A,7,10,A,7,2.1,A,7,16000,B,7,1036,A,7,0.8,E,8,0.049,F,8,0.49,F,8,0,1,D,9,71,C,8,270.5298816
1/1/2004,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.8,A,7,-3.9,A,7,91,A,7,956,A,7,120,A,7,2.1,A,7,16000,B,7,1463,A,7,0.8,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,269.9371365
1/1/2004,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.8,A,7,-3.9,A,7,91,A,7,957,A,7,210,A,7,1.5,A,7,14400,B,7,1463,A,7,0.8,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,269.4500255
1/1/2004,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.8,A,7,-3.3,A,7,96,A,7,958,A,7,180,A,7,2.6,A,7,6400,B,7,1341,A,7,0.8,E,8,0.049,F,8,0.49,F,8,0,1,D,9,71,C,8,269.1953656
1/1/2004,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.8,A,7,-3.3,A,7,96,A,7,959,A,7,20,A,7,1.5,A,7,16000,B,7,183,A,7,0.8,E,8,0.049,F,8,0.49,F,8,0,1,D,9,10,C,8,269.067865
1/2/2004,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.8,A,7,-3.9,A,7,91,A,7,960,A,7,10,A,7,2.6,A,7,16000,B,7,183,A,7,0.8,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,269.0051138
1/2/2004,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3,A,7,-3,A,7,100,A,7,961,A,7,10,A,7,2.6,A,7,3200,B,7,450,A,7,0.8,E,8,0.049,F,8,0.49,F,8,0,1,D,9,10,C,8,268.9115842
1/2/2004,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.2,A,7,-3.3,A,7,91,A,7,962,A,7,0,A,7,0,A,7,8000,B,7,518,A,7,0.8,E,8,0.049,F,8,0.49,F,8,0,1,D,9,10,C,8,269.0866848
1/2/2004,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,8,E,9,-3.9,A,7,-5.6,A,7,86,A,7,962,A,7,340,A,7,2.6,A,7,16000,B,7,3658,A,7,0.8,E,8,0.049,F,8,0.49,F,8,0,1,D,9,10,C,8,268.884607
1/2/2004,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-4.4,A,7,-6.1,A,7,86,A,7,962,A,7,330,A,7,2.1,A,7,16000,B,7,2134,A,7,0.8,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,268.181874
1/2/2004,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.8,A,7,-6.1,A,7,76,A,7,963,A,7,310,A,7,2.6,A,7,16000,B,7,945,A,7,0.8,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,268.281799
1/2/2004,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.8,A,7,-5.6,A,7,79,A,7,963,A,7,290,A,7,2.1,A,7,16000,B,7,1006,A,7,0.8,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,268.6308178
1/2/2004,8:00,4,295,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-2.8,A,7,-6.7,A,7,72,A,7,964,A,7,330,A,7,3.6,A,7,16000,B,7,1128,A,7,0.8,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,268.7945886
1/2/2004,9:00,130,1415,55,2,9,425,2,21,16,2,9,59,2,9,276,2,21,33,2,9,38,2,25,8,E,9,8,E,9,-3.9,A,7,-8.3,A,7,68,A,7,965,A,7,310,A,7,3.1,A,7,16000,B,7,1158,A,7,0.7,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,270.9522965
1/2/2004,10:00,291,1415,169,2,9,478,2,21,70,2,9,170,2,9,363,2,21,95,2,9,118,2,25,10,E,9,10,E,9,-3.3,A,7,-6.7,A,7,75,A,7,965,A,7,20,A,7,2.1,A,7,16000,B,7,1097,A,7,0.7,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,272.8986214
1/2/2004,11:00,407,1415,159,2,9,139,2,21,118,2,9,172,2,9,125,2,21,135,2,9,263,2,25,8,E,9,8,E,9,-2.2,A,7,-7.8,A,7,62,A,7,965,A,7,330,A,7,3.1,A,7,16000,B,7,1097,A,7,0.7,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,271.8531936
1/2/2004,12:00,469,1415,316,2,9,536,2,21,137,2,9,323,2,9,487,2,21,161,2,9,267,2,25,10,E,9,10,E,9,-1.7,A,7,-7.8,A,7,59,A,7,965,A,7,320,A,7,3.1,A,7,16000,B,7,2134,A,7,0.7,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,271.4703816
1/2/2004,13:00,471,1415,51,2,9,0,2,21,51,2,9,62,2,9,0,2,21,62,2,9,225,2,25,0,E,9,0,E,9,-2.2,A,7,-7.2,A,7,65,A,7,965,A,7,340,A,7,2.1,A,7,16000,B,7,77777,A,7,0.7,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,270.6337469
1/2/2004,14:00,414,1415,289,2,9,502,2,21,141,2,9,290,2,9,437,2,21,161,2,9,277,2,25,3,E,9,3,E,9,-1.7,A,7,-7.8,A,7,59,A,7,965,A,7,320,A,7,3.6,A,7,16000,B,7,77777,A,7,0.7,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,271.2514616
1/2/2004,15:00,301,1415,205,2,9,681,2,21,59,2,9,209,2,9,531,2,21,95,2,9,105,2,25,0,E,9,0,E,9,-2.8,A,7,-7.8,A,7,65,A,7,966,A,7,340,A,7,2.6,A,7,16000,B,7,77777,A,7,0.7,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,273.2147655
1/2/2004,16:00,142,1415,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,3,E,9,3,E,9,-3.9,A,7,-8.9,A,7,65,A,7,966,A,7,310,A,7,2.6,A,7,16000,B,7,77777,A,7,0.7,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,271.8454339
1/2/2004,17:00,7,413,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-4.4,A,7,-8.3,A,7,71,A,7,966,A,7,310,A,7,2.6,A,7,16000,B,7,1981,A,7,0.7,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,269.4070859
1/2/2004,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-5.6,A,7,-9.4,A,7,72,A,7,966,A,7,290,A,7,2.6,A,7,16000,B,7,2134,A,7,0.7,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,267.8407896
1/2/2004,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-5.6,A,7,-9.4,A,7,72,A,7,966,A,7,320,A,7,2.1,A,7,16000,B,7,2134,A,7,0.7,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,266.9997104
1/2/2004,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-7.8,A,7,-10,A,7,82,A,7,966,A,7,350,A,7,2.6,A,7,16000,B,7,2134,A,7,0.7,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,265.8440744
1/2/2004,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,-10.6,A,7,-11.7,A,7,91,A,7,966,A,7,340,A,7,2.6,A,7,16000,B,7,77777,A,7,0.7,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,264.0583778
1/2/2004,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-6.7,A,7,-11.1,A,7,68,A,7,967,A,7,300,A,7,4.1,A,7,16000,B,7,2896,A,7,0.7,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,263.8909121
1/2/2004,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-9.4,A,7,-11.7,A,7,81,A,7,966,A,7,10,A,7,2.1,A,7,16000,B,7,2743,A,7,0.7,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,263.65269
1/2/2004,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-9.4,A,7,-12.8,A,7,74,A,7,966,A,7,0,A,7,0,A,7,16000,B,7,2591,A,7,0.7,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,263.052532
1/3/2004,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-6.1,A,7,-11.1,A,7,64,A,7,966,A,7,330,A,7,4.1,A,7,16000,B,7,2591,A,7,0.7,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,263.8402384
1/3/2004,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-6.7,A,7,-11.7,A,7,64,A,7,967,A,7,320,A,7,4.6,A,7,16000,B,7,884,A,7,0.7,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,264.6297647
1/3/2004,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-6.7,A,7,-11.1,A,7,68,A,7,967,A,7,310,A,7,5.2,A,7,16000,B,7,884,A,7,0.7,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,264.8749332
1/3/2004,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-6.7,A,7,-11.1,A,7,68,A,7,967,A,7,330,A,7,6.2,A,7,16000,B,7,884,A,7,0.7,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,264.9919452
1/3/2004,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-7.2,A,7,-11.1,A,7,71,A,7,967,A,7,330,A,7,7.2,A,7,16000,B,7,884,A,7,0.7,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,264.8928595
1/3/2004,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-7.8,A,7,-11.1,A,7,75,A,7,967,A,7,330,A,7,7.2,A,7,16000,B,7,945,A,7,0.7,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,265.5671227
1/3/2004,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-7.8,A,7,-12.2,A,7,68,A,7,968,A,7,340,A,7,4.6,A,7,16000,B,7,1006,A,7,0.7,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,264.1166757
1/3/2004,8:00,4,318,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-8.3,A,7,-13.3,A,7,64,A,7,969,A,7,340,A,7,6.7,A,7,16000,B,7,1128,A,7,0.7,E,8,0.049,F,8,0.49,F,8,0,1,D,9,0,C,8,265.0846805
