727830,LEWISTON NEZ PERCE CNTY AP,ID,-8,46.367,-117.017,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1995,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-5,A,7,-9.5,A,7,68,A,7,973,E,9,120,A,7,3.6,A,7,24100,C,8,77777,B,8,0.3,E,8,0.045,F,8,0.48,F,8,0,1,D,9,0,C,8,268
1/1/1995,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-5,A,7,-10.6,A,7,61,A,7,973,E,9,120,A,7,4.1,A,7,24100,C,8,77777,B,8,0.3,E,8,0.045,F,8,0.48,F,8,0,1,D,9,0,C,8,267.2946332
1/1/1995,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-5.6,A,7,-10.6,A,7,65,A,7,972,E,9,110,A,7,4.1,A,7,24100,C,8,77777,B,8,0.3,E,8,0.045,F,8,0.48,F,8,0,1,D,9,0,C,8,266.862779
1/1/1995,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,-5.6,A,7,-11.2,A,7,61,A,7,972,E,9,110,A,7,4.6,A,7,24100,B,7,77777,A,7,0.3,E,8,0.045,F,8,0.48,F,8,0,1,D,9,0,C,8,266.5273833
1/1/1995,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,-6.1,A,7,-11.7,A,7,61,A,7,972,E,9,120,A,7,4.1,A,7,24100,B,7,77777,A,7,0.4,E,8,0.045,F,8,0.48,F,8,0,1,D,9,0,C,8,266.2067305
1/1/1995,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,-6.1,A,7,-10,A,7,71,A,7,972,E,9,70,A,7,5.6,A,7,24100,B,7,77777,A,7,0.4,E,8,0.045,F,8,0.48,F,8,0,1,D,9,0,C,8,265.9505659
1/1/1995,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,-7.2,A,7,-12.3,A,7,64,A,7,972,E,9,70,A,7,2.5,A,7,40200,B,7,77777,A,7,0.4,E,8,0.045,F,8,0.48,F,8,0,1,D,9,0,C,8,265.5171183
1/1/1995,8:00,18,625,6,1,11,137,1,16,2,1,11,0,1,11,0,1,16,0,1,11,0,1,22,0,A,7,0,E,9,-6.7,A,7,-11.2,A,7,67,A,7,972,E,9,70,A,7,2.5,A,7,48300,B,7,77777,A,7,0.4,E,8,0.045,F,8,0.48,F,8,0,1,D,9,0,C,8,266.0878711
1/1/1995,9:00,174,1415,93,1,11,563,1,16,24,1,11,99,1,11,399,1,16,50,1,11,49,1,22,0,A,7,0,E,9,-6.1,A,7,-10.6,A,7,67,A,7,972,E,9,50,A,7,5.6,A,7,48300,B,7,77777,A,7,0.4,E,8,0.045,F,8,0.48,F,8,0,1,D,9,0,C,8,268.9957899
1/1/1995,10:00,332,1415,215,1,11,761,1,16,36,1,11,228,1,11,647,1,16,75,1,11,82,1,22,0,A,7,0,E,9,-4.4,A,7,-11.7,A,7,53,A,7,972,E,9,50,A,7,5.1,A,7,48300,B,7,77777,A,7,0.4,E,8,0.045,F,8,0.48,F,8,0,1,D,9,0,C,8,272.81893
1/1/1995,11:00,441,1415,307,1,11,844,1,17,44,1,11,325,1,11,766,1,17,85,1,11,102,1,23,0,B,8,0,B,8,-2.8,A,7,-10,A,7,54,A,7,972,E,9,110,A,7,4.1,A,7,48300,C,8,77777,B,8,0.4,E,8,0.045,F,8,0.48,F,8,0,1,D,9,0,C,8,274.6879471
