727845,PASCO,WA,-8,46.267,-119.117,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2000,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,3,E,9,-2,A,7,-2,A,7,100,A,7,997,A,7,0,A,7,0,A,7,8000,B,7,77777,A,7,1,E,8,0.051,F,8,0.4,F,8,0,1,D,9,10,C,8,271
1/1/2000,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,2,E,9,-3,A,7,-3,A,7,100,A,7,997,A,7,20,A,7,3.1,A,7,9700,B,7,77777,A,7,0.9,E,8,0.051,F,8,0.4,F,8,0,1,D,9,10,C,8,270.1476766
1/1/2000,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,4,E,9,-3,A,7,-3,A,7,100,A,7,997,A,7,80,A,7,1.5,A,7,9700,B,7,77777,A,7,0.9,E,8,0.051,F,8,0.4,F,8,0,1,D,9,10,C,8,269.4853931
1/1/2000,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,5,E,9,-3,A,7,-4,A,7,92,A,7,996,A,7,40,A,7,1.5,A,7,9700,B,7,77777,A,7,0.8,E,8,0.051,F,8,0.4,F,8,0,1,D,9,10,C,8,269.1179127
1/1/2000,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,4,E,9,-3,A,7,-3,A,7,100,A,7,995,A,7,0,A,7,0,A,7,9700,B,7,77777,A,7,0.8,E,8,0.051,F,8,0.4,F,8,0,1,D,9,0,C,8,268.9304232
1/1/2000,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,4,E,9,2,A,7,1,A,7,93,A,7,994,A,7,220,A,7,3.6,A,7,16100,B,7,77777,A,7,0.7,E,8,0.051,F,8,0.4,F,8,0,1,D,9,0,C,8,270.6002036
1/1/2000,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,4,E,9,4,A,7,2,A,7,87,A,7,994,A,7,220,A,7,8.2,A,7,16100,B,7,77777,A,7,0.7,E,8,0.051,F,8,0.4,F,8,0,1,D,9,0,C,8,273.0671685
1/1/2000,8:00,9,436,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,9,E,9,5,E,9,4,A,7,2,A,7,87,A,7,993,A,7,210,A,7,4.6,A,7,16100,B,7,77777,A,7,0.6,E,8,0.051,F,8,0.4,F,8,0,1,D,9,0,C,8,274.4959608
1/1/2000,9:00,151,1415,29,2,9,5,2,21,28,2,9,32,2,9,0,2,21,32,2,9,99,2,25,9,E,9,8,E,9,4,A,7,2,A,7,87,A,7,993,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.6,E,8,0.051,F,8,0.4,F,8,0,1,D,9,0,C,8,275.0493065
1/1/2000,10:00,314,1415,59,2,9,0,2,21,59,2,9,68,2,9,0,2,21,68,2,9,222,2,25,8,E,9,6,E,9,4,A,7,2,A,7,87,A,7,993,A,7,150,A,7,3.6,A,7,16100,B,7,77777,A,7,0.5,E,8,0.051,F,8,0.4,F,8,0,1,D,9,0,C,8,275.1165593
1/1/2000,11:00,431,1415,256,2,9,435,2,21,123,2,9,262,2,9,385,2,21,144,2,9,237,2,25,10,E,9,10,E,9,6,A,7,2,A,7,75,A,7,993,A,7,200,A,7,4.6,A,7,16100,B,7,2100,A,7,0.5,E,8,0.051,F,8,0.4,F,8,0,1,D,9,0,C,8,277.2522169
1/1/2000,12:00,491,1415,141,2,9,54,2,21,122,2,9,155,2,9,51,2,21,137,2,9,340,2,25,7,E,9,7,E,9,6,A,7,3,A,7,81,A,7,992,A,7,230,A,7,9.3,A,7,16100,B,7,77777,A,7,0.5,E,8,0.051,F,8,0.4,F,8,0,1,D,9,0,C,8,278.4058747
1/1/2000,13:00,491,1415,269,2,9,361,2,21,143,2,9,284,2,9,343,2,21,165,2,9,296,2,25,7,E,9,6,E,9,7,A,7,3,A,7,76,A,7,991,A,7,230,A,7,10.3,A,7,16100,B,7,77777,A,7,0.6,E,8,0.051,F,8,0.4,F,8,0,1,D,9,0,C,8,280.5445545
