727850,SPOKANE INTERNATIONAL AP [CHENEY - UO],WA,-8,47.49,-117.589,777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1987,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-1.1,A,7,-3.9,A,7,82,A,7,930,A,7,60,A,7,3.1,A,7,19300,B,7,910,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,271.9
1/1/1987,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-1.1,A,7,-3.9,A,7,82,A,7,929,A,7,70,A,7,4.1,A,7,32200,B,7,910,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,271.2572234
1/1/1987,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-1.1,A,7,-3.3,A,7,85,A,7,928,A,7,50,A,7,4.1,A,7,48300,B,7,760,A,7,0.9,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,270.93605
1/1/1987,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-1.1,A,7,-3.9,A,7,82,A,7,926,A,7,60,A,7,5.2,A,7,48300,B,7,760,A,7,0.9,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,270.7745175
1/1/1987,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-1.1,A,7,-3.3,A,7,85,A,7,925,A,7,80,A,7,3.6,A,7,24100,B,7,760,A,7,0.9,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,270.6950752
1/1/1987,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-1.1,A,7,-2.8,A,7,89,A,7,925,A,7,70,A,7,3.1,A,7,12900,B,7,490,A,7,0.9,E,8,0,?,0,0,?,0,0,1,D,9,71,C,8,270.6563891
1/1/1987,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-1.1,A,7,-2.2,A,7,92,A,7,924,A,7,80,A,7,2.6,A,7,9700,B,7,610,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,71,C,8,270.6376361
1/1/1987,8:00,10,460,7,1,13,1,1,9,7,1,13,0,1,13,0,1,9,0,1,13,0,1,21,10,A,7,10,A,7,-0.6,A,7,-0.6,A,7,100,A,7,924,A,7,120,A,7,4.1,A,7,1200,B,7,30,A,7,0.8,E,8,0,F,8,0,?,0,0,1,D,9,71,C,8,270.7724244
1/1/1987,9:00,149,1415,43,1,13,18,1,9,42,1,13,48,1,13,12,1,9,47,1,13,97,1,21,10,A,7,10,A,7,0,A,7,0,A,7,100,A,7,923,A,7,140,A,7,5.7,A,7,1200,B,7,30,A,7,0.8,E,8,0,F,8,0,?,0,0,1,D,9,45,C,8,271.0951899
1/1/1987,10:00,304,1415,88,1,13,9,1,9,86,1,13,97,1,13,4,1,9,96,1,13,285,1,21,10,A,7,10,A,7,0.6,A,7,0,A,7,96,A,7,923,A,7,140,A,7,5.7,A,7,1200,B,7,90,A,7,0.8,E,8,0,F,8,0,?,0,13,1,D,9,45,C,8,271.3301356
