727855,FAIRCHILD AFB,WA,-8,47.633,-117.65,743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2005,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,A,7,10,E,9,-1,A,7,-1,A,7,100,A,7,916,A,7,70,A,7,3.1,A,7,11300,B,7,750,A,7,0.7,E,8,0.039,F,8,0.53,F,8,0,1,D,9,71,C,8,272
1/1/2005,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,A,7,10,E,9,-1,A,7,-1,A,7,100,A,7,916,A,7,70,A,7,5.1,A,7,11300,B,7,750,A,7,0.8,E,8,0.039,F,8,0.53,F,8,0,1,D,9,71,C,8,271.3050503
1/1/2005,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,A,7,10,E,9,-1,A,7,-2,A,7,92,A,7,916,A,7,80,A,7,6.7,A,7,11300,B,7,600,A,7,0.8,E,8,0.039,F,8,0.53,F,8,0,1,D,9,0,C,8,271.0086202
1/1/2005,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,A,7,10,E,9,-1,A,7,-2,A,7,92,A,7,917,A,7,70,A,7,5.7,A,7,11300,B,7,600,A,7,0.9,E,8,0.039,F,8,0.53,F,8,0,1,D,9,71,C,8,270.8601491
1/1/2005,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,A,7,10,E,9,-2,A,7,-3,A,7,92,A,7,917,A,7,70,A,7,5.1,A,7,11300,B,7,600,A,7,0.9,E,8,0.039,F,8,0.53,F,8,0,1,D,9,71,C,8,270.8893441
1/1/2005,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,A,7,10,E,9,-2,A,7,-3,A,7,92,A,7,917,A,7,70,A,7,6.2,A,7,3200,B,7,600,A,7,0.9,E,8,0.039,F,8,0.53,F,8,0,1,D,9,71,C,8,271.1699803
1/1/2005,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,A,7,10,E,9,-3,A,7,-3,A,7,100,A,7,917,A,7,80,A,7,6.2,A,7,3200,B,7,600,A,7,0.8,E,8,0.039,F,8,0.53,F,8,0,1,D,9,71,C,8,270.3393094
1/1/2005,8:00,9,460,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,A,7,10,E,9,-3,A,7,-4,A,7,92,A,7,918,A,7,70,A,7,6.2,A,7,11300,B,7,750,A,7,0.8,E,8,0.039,F,8,0.53,F,8,0,1,D,9,0,C,8,269.0920815
1/1/2005,9:00,146,1415,12,2,9,0,2,21,12,2,9,15,2,9,0,2,21,15,2,9,48,2,25,10,A,7,10,E,9,-2,A,7,-4,A,7,85,A,7,919,A,7,70,A,7,5.1,A,7,11300,B,7,750,A,7,0.8,E,8,0.039,F,8,0.53,F,8,0,1,D,9,16,C,8,269.1960936
1/1/2005,10:00,302,1415,96,2,9,82,2,21,78,2,9,104,2,9,66,2,21,90,2,9,169,2,25,10,A,7,10,E,9,-2,A,7,-5,A,7,78,A,7,919,A,7,60,A,7,6.2,A,7,8000,B,7,750,A,7,0.8,E,8,0.039,F,8,0.53,F,8,0,1,D,9,85,C,8,269.5969722
1/1/2005,11:00,411,1415,187,2,9,284,2,21,105,2,9,200,2,9,254,2,21,126,2,9,206,2,25,10,A,7,10,E,9,-2,A,7,-4,A,7,85,A,7,919,A,7,70,A,7,6.7,A,7,6400,B,7,750,A,7,0.8,E,8,0.039,F,8,0.53,F,8,0,1,D,9,85,C,8,270.4429013
1/1/2005,12:00,464,1415,254,2,9,460,2,21,103,2,9,268,2,9,419,2,21,130,2,9,194,2,25,10,A,7,10,E,9,-2,A,7,-4,A,7,85,A,7,919,A,7,70,A,7,5.1,A,7,11300,B,7,660,A,7,0.8,E,8,0.039,F,8,0.53,F,8,0,1,D,9,85,C,8,271.6746096
