727856,FELTS FLD,WA,-8,47.683,-117.317,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2002,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,-4,A,7,-6,A,7,84,A,7,953,A,7,360,B,8,2.8,B,8,16100,B,7,77777,A,7,0.7,E,8,0.041,F,8,0.53,F,8,0,1,D,9,0,C,8,269
1/1/2002,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,E,9,-4,A,7,-6,A,7,84,A,7,953,A,7,340,B,8,2.7,B,8,16100,B,7,77777,A,7,0.8,E,8,0.041,F,8,0.53,F,8,0,1,D,9,0,C,8,268.3891473
1/1/2002,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,-6,A,7,-7,A,7,92,A,7,953,A,7,310,B,8,2.5,B,8,16100,B,7,77777,A,7,0.8,E,8,0.041,F,8,0.53,F,8,0,1,D,9,0,C,8,267.4873982
1/1/2002,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-5,A,7,-6,A,7,92,A,7,953,A,7,290,B,8,2.4,B,8,16100,B,7,1350,A,7,0.8,E,8,0.041,F,8,0.53,F,8,0,1,D,9,0,C,8,266.9614735
1/1/2002,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-4,A,7,-6,A,7,84,A,7,953,A,7,260,B,8,2.2,B,8,16100,B,7,77777,A,7,0.8,E,8,0.041,F,8,0.53,F,8,0,1,D,9,0,C,8,267.1911126
1/1/2002,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-6,A,7,-7,A,7,92,A,7,951,A,7,240,A,7,2.1,A,7,16100,B,7,1140,A,7,0.8,E,8,0.041,F,8,0.53,F,8,0,1,D,9,0,C,8,266.8650979
1/1/2002,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-6,A,7,-7,A,7,92,A,7,951,A,7,220,B,8,2,B,8,16100,B,7,1380,A,7,0.8,E,8,0.041,F,8,0.53,F,8,0,1,D,9,0,C,8,266.3463731
1/1/2002,8:00,10,483,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-5,A,7,-6,A,7,92,A,7,952,A,7,190,B,8,1.9,B,8,16100,B,7,1230,A,7,0.8,E,8,0.041,F,8,0.53,F,8,0,1,D,9,0,C,8,266.3826614
1/1/2002,9:00,149,1415,12,2,9,0,2,21,12,2,9,15,2,9,0,2,21,15,2,9,48,2,25,10,E,9,10,E,9,-3,A,7,-6,A,7,77,A,7,952,A,7,170,B,8,1.8,B,8,16100,B,7,1230,A,7,0.8,E,8,0.041,F,8,0.53,F,8,0,1,D,9,0,C,8,267.2299699
1/1/2002,10:00,303,1415,60,2,9,0,2,21,60,2,9,68,2,9,0,2,21,68,2,9,222,2,25,10,E,9,10,E,9,-2,A,7,-6,A,7,71,A,7,952,A,7,150,B,8,1.7,B,8,16100,B,7,1230,A,7,0.8,E,8,0.041,F,8,0.53,F,8,0,1,D,9,0,C,8,268.1650981
1/1/2002,11:00,411,1415,231,2,9,464,2,21,95,2,9,241,2,9,406,2,21,123,2,9,177,2,25,5,E,9,5,E,9,-1,A,7,-6,A,7,66,A,7,953,A,7,120,B,8,1.6,B,8,16100,B,7,6000,A,7,0.8,E,8,0.041,F,8,0.53,F,8,0,1,D,9,0,C,8,270.6874033
1/1/2002,12:00,463,1415,255,2,9,508,2,21,88,2,9,262,2,9,457,2,21,112,2,9,163,2,25,4,E,9,3,E,9,0,A,7,-6,A,7,60,A,7,951,A,7,100,A,7,1.5,A,7,16100,B,7,6000,A,7,0.8,E,8,0.041,F,8,0.53,F,8,0,1,D,9,0,C,8,272.7235681
1/1/2002,13:00,456,1415,254,2,9,516,2,21,87,2,9,261,2,9,462,2,21,111,2,9,161,2,25,2,E,9,2,E,9,1,A,7,-6,A,7,56,A,7,950,A,7,180,B,8,2.3,B,8,16100,B,7,6000,A,7,0.8,E,8,0.041,F,8,0.53,F,8,0,1,D,9,0,C,8,273.9439107
1/1/2002,14:00,391,1415,238,2,9,514,2,21,95,2,9,247,2,9,441,2,21,125,2,9,177,2,25,4,E,9,3,E,9,1,A,7,-5,A,7,61,A,7,951,A,7,260,A,7,3.1,A,7,16100,B,7,6000,A,7,0.8,E,8,0.041,F,8,0.53,F,8,0,1,D,9,0,C,8,274.979616
1/1/2002,15:00,271,1415,132,2,9,270,2,21,80,2,9,138,2,9,198,2,21,100,2,9,157,2,25,6,E,9,5,E,9,1,A,7,-5,A,7,61,A,7,950,A,7,80,A,7,1.5,A,7,16100,B,7,6000,A,7,0.8,E,8,0.041,F,8,0.53,F,8,0,1,D,9,0,C,8,275.0666442
1/1/2002,16:00,108,1415,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,3,E,9,2,E,9,0,A,7,-6,A,7,60,A,7,949,A,7,120,A,7,2.1,A,7,16100,B,7,6000,A,7,0.8,E,8,0.041,F,8,0.53,F,8,0,1,D,9,0,C,8,273.6096593
1/1/2002,17:00,1,153,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,5,E,9,4,E,9,-1,A,7,-6,A,7,66,A,7,949,A,7,180,B,8,1.5,A,7,16100,B,7,6000,A,7,0.9,E,8,0.041,F,8,0.53,F,8,0,1,D,9,0,C,8,271.9602147
1/1/2002,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,5,E,9,-1,A,7,-5,A,7,71,A,7,949,A,7,240,A,7,1.5,A,7,16100,B,7,6000,A,7,1,E,8,0.041,F,8,0.53,F,8,0,1,D,9,0,C,8,271.3579923
