727910,ASTORIA REGIONAL AIRPORT,OR,-8,46.15,-123.883,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1987,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,10,A,7,7.8,A,7,86,A,7,1002,A,7,180,A,7,8.2,A,7,11300,B,7,670,A,7,1.5,E,8,0,?,0,0,?,0,3,1,D,9,61,C,8,283
1/1/1987,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,10.6,A,7,8.3,A,7,86,A,7,1002,A,7,190,A,7,10.8,A,7,11300,B,7,490,A,7,1.5,E,8,0,?,0,0,?,0,25,1,D,9,61,C,8,288.2342027
1/1/1987,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,11.1,A,7,10,A,7,93,A,7,1003,A,7,220,A,7,7.2,A,7,11300,B,7,210,A,7,1.7,E,8,0,?,0,0,?,0,0,1,D,9,61,C,8,284.9785683
1/1/1987,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,11.1,A,7,10,A,7,93,A,7,1003,A,7,220,A,7,5.7,A,7,11300,B,7,2290,A,7,1.7,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,283.6132353
1/1/1987,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,9.4,A,7,7.2,A,7,86,A,7,1002,A,7,230,A,7,5.2,A,7,11300,B,7,1250,A,7,1.4,E,8,0,?,0,0,?,0,5,1,D,9,2,C,8,282.655165
1/1/1987,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,9.4,A,7,7.2,A,7,86,A,7,1004,A,7,220,A,7,5.2,A,7,11300,B,7,2440,A,7,1.4,E,8,0,?,0,0,?,0,0,1,D,9,61,C,8,281.462198
1/1/1987,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,3,A,7,8.9,A,7,7.2,A,7,89,A,7,1004,A,7,180,A,7,5.2,A,7,16100,B,7,77777,A,7,1.4,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,281.0435297
1/1/1987,8:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,8,A,7,9.4,A,7,7.2,A,7,86,A,7,1004,A,7,220,A,7,5.7,A,7,16100,B,7,2130,A,7,1.4,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,280.9024491
1/1/1987,9:00,94,1403,13,1,13,4,1,9,12,1,13,14,1,13,2,1,9,13,1,13,31,1,21,10,A,7,10,A,7,9.4,A,7,7.8,A,7,90,A,7,1005,A,7,240,A,7,3.6,A,7,12900,B,7,1160,A,7,1.5,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,280.9173785
1/1/1987,10:00,269,1415,49,1,13,3,1,9,48,1,13,56,1,13,1,1,9,56,1,13,179,1,21,10,A,7,10,A,7,8.9,A,7,7.8,A,7,93,A,7,1005,A,7,170,A,7,4.6,A,7,12900,B,7,1070,A,7,1.5,E,8,0,F,8,0,?,0,10,1,D,9,61,C,8,280.6135419
1/1/1987,11:00,402,1415,121,1,9,1,1,9,121,1,13,134,1,9,1,1,9,134,1,13,410,1,18,10,A,7,10,A,7,8.9,A,7,7.8,A,7,93,A,7,1005,A,7,120,A,7,2.1,A,7,19300,B,7,910,A,7,1.5,E,8,0,F,8,0,?,0,0,1,D,9,61,C,8,280.0190456
1/1/1987,12:00,482,1415,90,1,9,4,1,9,88,1,13,104,1,9,2,1,9,103,1,13,358,1,18,10,A,7,10,A,7,8.9,A,7,7.2,A,7,89,A,7,1004,A,7,90,A,7,3.1,A,7,19300,B,7,550,A,7,1.4,E,8,0,F,8,0,?,0,3,1,D,9,0,C,8,279.7216477
