727928,BREMERTON NATIONAL,WA,-8,47.483,-122.75,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2004,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,1,A,7,-1,A,7,86,A,7,997,E,9,0,A,7,0,A,7,8000,B,7,300,A,7,1,E,8,0.07,F,8,0.35,F,8,0,1,D,9,0,C,8,274
1/1/2004,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1,A,7,-1,A,7,86,A,7,997,E,9,0,A,7,0,A,7,4800,B,7,240,A,7,1,E,8,0.07,F,8,0.35,F,8,0,1,D,9,0,C,8,273.3409432
1/1/2004,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1,A,7,-1,A,7,86,A,7,997,E,9,0,A,7,0,A,7,6400,B,7,180,A,7,1,E,8,0.07,F,8,0.35,F,8,0,1,D,9,0,C,8,273.0101361
1/1/2004,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1,A,7,-1,A,7,86,A,7,997,E,9,0,A,7,0,A,7,8000,B,7,180,A,7,1,E,8,0.07,F,8,0.35,F,8,0,1,D,9,0,C,8,272.8446874
1/1/2004,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1,A,7,-1,A,7,86,A,7,997,E,9,0,A,7,0,A,7,4800,B,7,1500,A,7,1,E,8,0.07,F,8,0.35,F,8,0,1,D,9,0,C,8,272.7637869
1/1/2004,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1,A,7,-1,A,7,86,A,7,997,E,9,30,A,7,3.1,A,7,16100,B,7,1500,A,7,1,E,8,0.07,F,8,0.35,F,8,0,1,D,9,0,C,8,272.7246177
1/1/2004,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,2,A,7,-1,A,7,80,A,7,997,E,9,40,A,7,5.7,A,7,16100,B,7,77777,A,7,1,E,8,0.07,F,8,0.35,F,8,0,1,D,9,0,C,8,273.0368519
1/1/2004,8:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,E,9,1,A,7,-1,A,7,86,A,7,997,E,9,40,A,7,5.7,A,7,16100,B,7,77777,A,7,1,E,8,0.07,F,8,0.35,F,8,0,1,D,9,0,C,8,273.0489396
1/1/2004,9:00,88,1403,15,2,8,11,2,15,14,2,8,16,2,8,6,2,15,16,2,8,36,2,19,10,E,9,9,E,9,2,A,7,-1,A,7,80,A,7,997,E,9,40,A,7,6.2,A,7,16100,B,7,77777,A,7,1,E,8,0.07,F,8,0.35,F,8,0,1,D,9,0,C,8,273.208457
1/1/2004,10:00,256,1415,67,2,8,21,2,15,63,2,8,73,2,8,17,2,15,70,2,8,157,2,19,9,E,9,9,E,9,2,A,7,-1,A,7,80,A,7,997,E,9,50,A,7,6.7,A,7,16100,B,7,77777,A,7,1,E,8,0.07,F,8,0.35,F,8,0,1,D,9,0,C,8,273.3540181
1/1/2004,11:00,382,1415,77,2,8,0,2,15,77,2,8,88,2,8,0,2,15,88,2,8,294,2,19,8,E,9,7,E,9,2,A,7,-1,A,7,80,A,7,997,E,9,40,A,7,6.2,A,7,16100,B,7,77777,A,7,1,E,8,0.07,F,8,0.35,F,8,0,1,D,9,0,C,8,273.1771187
1/1/2004,12:00,455,1415,69,2,8,0,2,15,69,2,8,81,2,8,0,2,15,81,2,8,288,2,19,10,E,9,9,E,9,3,A,7,-2,A,7,68,A,7,997,E,9,10,A,7,5.1,A,7,16100,B,7,77777,A,7,1,E,8,0.07,F,8,0.35,F,8,0,1,D,9,0,C,8,273.3865928
1/1/2004,13:00,469,1415,69,2,8,0,2,15,69,2,8,81,2,8,0,2,15,81,2,8,291,2,19,8,E,9,8,E,9,3,A,7,-3,A,7,63,A,7,997,E,9,20,A,7,5.1,A,7,16100,B,7,77777,A,7,1,E,8,0.07,F,8,0.35,F,8,0,1,D,9,0,C,8,273.6939339
1/1/2004,14:00,424,1415,77,2,8,0,2,15,77,2,8,89,2,8,0,2,15,89,2,8,307,2,19,10,E,9,10,E,9,3,A,7,-2,A,7,68,A,7,997,E,9,10,A,7,3.6,A,7,16100,B,7,600,A,7,1,E,8,0.07,F,8,0.35,F,8,0,1,D,9,0,C,8,273.8022687
1/1/2004,15:00,323,1415,78,2,8,0,2,15,78,2,8,88,2,8,0,2,15,88,2,8,276,2,19,10,E,9,10,E,9,2,A,7,-1,A,7,80,A,7,997,E,9,30,A,7,2.6,A,7,11300,B,7,390,A,7,1,E,8,0.07,F,8,0.35,F,8,0,1,D,9,0,C,8,273.4944797
