727970,QUILLAYUTE STATE AIRPORT,WA,-8,47.933,-124.567,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1987,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,7.8,A,7,6.7,A,7,93,A,7,992,A,7,140,A,7,7.2,A,7,2400,B,7,150,A,7,1.4,E,8,0,?,0,0,?,0,28,1,D,9,45,C,8,280.8
1/1/1987,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6,A,7,6,A,7,7.2,A,7,6.7,A,7,96,A,7,992,A,7,170,A,7,4.6,A,7,6400,B,7,670,A,7,1.4,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,279.694809
1/1/1987,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,A,7,8,A,7,8.3,A,7,7.2,A,7,93,A,7,992,A,7,140,A,7,2.6,A,7,6400,B,7,310,A,7,1.4,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,279.5822501
1/1/1987,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,8.3,A,7,8.3,A,7,100,A,7,992,A,7,210,A,7,2.6,A,7,4800,B,7,240,A,7,1.5,E,8,0,?,0,0,?,0,5,1,D,9,45,C,8,279.7379196
1/1/1987,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,8.9,A,7,8.3,A,7,96,A,7,992,A,7,150,A,7,1.5,A,7,4800,B,7,240,A,7,1.5,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,280.0122626
1/1/1987,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,8.3,A,7,6.7,A,7,89,A,7,993,A,7,160,A,7,4.1,A,7,4800,B,7,240,A,7,1.4,E,8,0,?,0,0,?,0,5,1,D,9,45,C,8,280.0556163
1/1/1987,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,8.3,A,7,7.2,A,7,93,A,7,994,A,7,210,A,7,4.6,A,7,4800,B,7,240,A,7,1.4,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,279.959984
1/1/1987,8:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,7.8,A,7,7.2,A,7,96,A,7,994,A,7,160,A,7,2.6,A,7,4800,B,7,240,A,7,1.4,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,279.7543351
1/1/1987,9:00,62,1191,18,1,13,1,1,9,18,1,13,20,1,13,0,1,9,20,1,13,60,1,21,10,A,7,10,A,7,8.3,A,7,7.2,A,7,93,A,7,995,A,7,170,A,7,3.1,A,7,4800,B,7,240,A,7,1.4,E,8,0,F,8,0,?,0,0,1,D,9,45,C,8,279.6639201
1/1/1987,10:00,229,1415,67,1,13,51,1,9,59,1,13,74,1,13,39,1,9,67,1,13,144,1,21,8,A,7,8,A,7,8.9,A,7,5.6,A,7,80,A,7,996,A,7,220,A,7,4.1,A,7,11300,B,7,1370,A,7,1.3,E,8,0,F,8,0,?,0,0,1,D,9,45,C,8,280.0171792
