742060,TACOMA MCCHORD AFB,WA,-8,47.15,-122.483,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1991,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,5.6,A,7,3.9,A,7,89,A,7,1013,A,7,200,A,7,4.1,A,7,11200,B,7,1800,A,7,1,E,8,0.074,F,8,0.35,F,8,0,1,D,9,0,C,8,278.6
1/1/1991,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,5.6,A,7,3.9,A,7,89,A,7,1013,A,7,200,A,7,3.1,A,7,11200,B,7,720,A,7,1,E,8,0.074,F,8,0.35,F,8,0,1,D,9,0,C,8,277.8969151
1/1/1991,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,5.6,A,7,3.9,A,7,89,A,7,1013,A,7,200,A,7,3.1,A,7,11200,B,7,840,A,7,1,E,8,0.074,F,8,0.35,F,8,0,1,D,9,0,C,8,277.5479918
1/1/1991,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,6,E,9,5.6,A,7,3.3,A,7,85,A,7,1013,A,7,200,A,7,5.1,A,7,11200,B,7,2400,A,7,1,E,8,0.074,F,8,0.35,F,8,0,1,D,9,0,C,8,277.3757219
1/1/1991,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,5.6,A,7,3.9,A,7,89,A,7,1013,A,7,200,A,7,4.6,A,7,11200,B,7,1800,A,7,1,E,8,0.074,F,8,0.35,F,8,0,1,D,9,0,C,8,277.2925713
1/1/1991,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,5.6,A,7,3.9,A,7,89,A,7,1013,A,7,200,A,7,4.1,A,7,11200,B,7,930,A,7,1,E,8,0.074,F,8,0.35,F,8,0,1,D,9,0,C,8,277.2528281
1/1/1991,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,6,E,9,5,A,7,3.3,A,7,89,A,7,1013,A,7,200,A,7,4.6,A,7,11200,B,7,3000,A,7,1,E,8,0.074,F,8,0.35,F,8,0,1,D,9,0,C,8,277.0433613
1/1/1991,8:00,0,35,0,1,11,0,1,17,0,1,11,0,1,11,0,1,17,0,1,11,0,1,23,9,A,7,6,E,9,5.6,A,7,3.3,A,7,85,A,7,1013,A,7,200,A,7,5.1,A,7,11200,B,7,1200,A,7,1,E,8,0.074,F,8,0.35,F,8,0,1,D,9,0,C,8,277.0207323
1/1/1991,9:00,96,1415,33,1,11,17,1,17,32,1,11,36,1,11,10,1,17,36,1,11,70,1,23,9,A,7,6,E,9,5.6,A,7,3.9,A,7,89,A,7,1014,A,7,200,A,7,5.1,A,7,16000,B,7,690,A,7,1,E,8,0.074,F,8,0.35,F,8,0,1,D,9,0,C,8,277.1153376
1/1/1991,10:00,265,1415,103,1,11,56,1,17,92,1,11,112,1,11,45,1,17,103,1,11,211,1,23,9,A,7,6,E,9,6.1,A,7,3.9,A,7,86,A,7,1014,A,7,210,A,7,2.6,A,7,16000,B,7,3000,A,7,1,E,8,0.074,F,8,0.35,F,8,0,1,D,9,0,C,8,277.3040204
1/1/1991,11:00,391,1415,68,1,11,0,1,17,68,1,11,79,1,11,0,1,17,79,1,11,269,1,23,10,A,7,10,E,9,6.7,A,7,4.4,A,7,85,A,7,1015,A,7,220,A,7,4.1,A,7,16000,B,7,690,A,7,1,E,8,0.074,F,8,0.35,F,8,0,1,D,9,0,C,8,277.4443249
1/1/1991,12:00,463,1415,230,1,11,149,1,17,181,1,11,245,1,11,138,1,17,200,1,11,410,1,23,9,A,7,6,E,9,7.2,A,7,3.9,A,7,80,A,7,1014,A,7,220,A,7,2.6,A,7,32000,B,7,600,A,7,1,E,8,0.074,F,8,0.35,F,8,0,1,D,9,0,C,8,277.7644268
1/1/1991,13:00,477,1415,254,1,11,280,1,17,159,1,11,265,1,11,263,1,17,176,1,11,338,1,23,9,A,7,6,E,9,7.8,A,7,3.9,A,7,76,A,7,1014,A,7,240,A,7,3.1,A,7,32000,B,7,750,A,7,1,E,8,0.074,F,8,0.35,F,8,0,1,D,9,0,C,8,278.4599487
1/1/1991,14:00,431,1415,238,1,11,204,1,17,176,1,11,253,1,11,185,1,17,197,1,11,395,1,23,9,A,7,6,E,9,7.8,A,7,4.4,A,7,79,A,7,1014,A,7,210,A,7,3.1,A,7,24000,B,7,810,A,7,1,E,8,0.074,F,8,0.35,F,8,0,1,D,9,0,C,8,279.0919568
1/1/1991,15:00,328,1415,130,1,11,188,1,17,87,1,11,138,1,11,152,1,17,103,1,11,169,1,23,9,A,7,6,E,9,7.2,A,7,4.4,A,7,82,A,7,1014,A,7,180,A,7,2.1,A,7,24000,B,7,720,A,7,1,E,8,0.074,F,8,0.35,F,8,0,1,D,9,0,C,8,279.5080994
1/1/1991,16:00,176,1415,33,1,11,0,1,17,33,1,11,38,1,11,0,1,17,38,1,11,117,1,23,10,A,7,10,E,9,6.7,A,7,4.4,A,7,85,A,7,1014,A,7,170,A,7,1,A,7,24000,B,7,600,A,7,1,E,8,0.074,F,8,0.35,F,8,0,1,D,9,0,C,8,279.1766823
1/1/1991,17:00,21,672,6,1,11,3,1,17,6,1,11,0,1,11,0,1,17,0,1,11,0,1,23,9,A,7,6,E,9,7.2,A,7,4.4,A,7,82,A,7,1015,A,7,200,A,7,1,A,7,16000,B,7,810,A,7,1,E,8,0.074,F,8,0.35,F,8,0,1,D,9,0,C,8,278.8060905
