743700,FORT DRUM/WHEELER-S,NY,-5,44.05,-75.717,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1995,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-1.2,A,7,-1.7,A,7,96,A,7,990,A,7,130,A,7,3.6,A,7,6400,B,7,390,A,7,1,E,8,0.06,F,8,0.37,F,8,0,1,D,9,71,C,8,271.8
1/1/1995,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-1.2,A,7,-1.7,A,7,96,A,7,990,A,7,130,A,7,5.1,A,7,2000,B,7,360,A,7,0.9,E,8,0.06,F,8,0.37,F,8,0,1,D,9,71,C,8,271.0789045
1/1/1995,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-1.2,A,7,-1.7,A,7,96,A,7,989,A,7,140,A,7,3.6,A,7,4000,B,7,360,A,7,0.9,E,8,0.06,F,8,0.37,F,8,0,1,D,9,71,C,8,270.7969928
1/1/1995,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-0.6,A,7,-1.7,A,7,91,A,7,988,A,7,130,A,7,4.1,A,7,4800,B,7,360,A,7,0.9,E,8,0.06,F,8,0.37,F,8,0,1,D,9,71,C,8,270.847955
1/1/1995,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-0.6,A,7,-1.2,A,7,95,A,7,987,A,7,130,A,7,3.6,A,7,4800,B,7,330,A,7,0.9,E,8,0.06,F,8,0.37,F,8,0,1,D,9,45,C,8,270.9861467
1/1/1995,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,0,A,7,-0.6,A,7,95,A,7,986,A,7,130,A,7,2.5,A,7,4800,B,7,750,A,7,0.8,E,8,0.06,F,8,0.37,F,8,0,1,D,9,45,C,8,271.2495966
1/1/1995,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,0,A,7,-0.6,A,7,95,A,7,985,A,7,120,A,7,2,A,7,4800,B,7,420,A,7,0.8,E,8,0.06,F,8,0.37,F,8,0,1,D,9,45,C,8,271.4883464
1/1/1995,8:00,11,483,1,1,11,0,1,17,1,1,11,0,1,11,0,1,17,0,1,11,0,1,23,10,A,7,10,E,9,0,A,7,-0.6,A,7,95,A,7,985,A,7,110,A,7,1.5,A,7,1600,B,7,330,A,7,0.8,E,8,0.06,F,8,0.37,F,8,0,1,D,9,45,C,8,271.5971747
1/1/1995,9:00,166,1415,22,1,11,0,1,17,22,1,11,26,1,11,0,1,17,26,1,11,83,1,23,10,A,7,10,E,9,0,A,7,0,A,7,100,A,7,985,A,7,90,A,7,1,A,7,1200,B,7,240,A,7,0.8,E,8,0.06,F,8,0.37,F,8,0,1,D,9,45,C,8,271.5723925
1/1/1995,10:00,342,1415,54,1,11,0,1,17,54,1,11,63,1,11,0,1,17,63,1,11,213,1,23,10,A,7,10,E,9,0,A,7,0,A,7,100,A,7,985,A,7,260,A,7,1,A,7,800,B,7,240,A,7,0.8,E,8,0.06,F,8,0.37,F,8,5,1,D,9,45,C,8,271.4041864
1/1/1995,11:00,469,1415,82,1,11,0,1,17,82,1,11,95,1,11,0,1,17,95,1,11,335,1,23,10,A,7,10,E,9,0.5,A,7,0.5,A,7,100,A,7,984,A,7,240,A,7,1.5,A,7,600,B,7,270,A,7,0.8,E,8,0.06,F,8,0.37,F,8,8,1,D,9,45,C,8,271.3302413
1/1/1995,12:00,538,1415,82,1,11,0,1,17,82,1,11,97,1,11,0,1,17,97,1,11,353,1,23,10,A,7,10,E,9,0.5,A,7,0.5,A,7,100,A,7,983,A,7,300,A,7,2.5,A,7,1200,B,7,120,A,7,0.8,E,8,0.06,F,8,0.37,F,8,8,1,D,9,45,C,8,271.3390297
1/1/1995,13:00,545,1415,83,1,11,0,1,17,83,1,11,98,1,11,0,1,17,98,1,11,359,1,23,10,A,7,10,E,9,0.5,A,7,0.5,A,7,100,A,7,982,A,7,310,A,7,2,A,7,200,B,7,30,A,7,0.7,E,8,0.06,F,8,0.37,F,8,8,1,D,9,45,C,8,271.3395611
1/1/1995,14:00,489,1415,72,1,11,0,1,17,72,1,11,85,1,11,0,1,17,85,1,11,306,1,23,10,A,7,10,E,9,0.5,A,7,0.5,A,7,100,A,7,982,A,7,300,A,7,1.5,A,7,200,B,7,60,A,7,0.7,E,8,0.06,F,8,0.37,F,8,0,1,D,9,45,C,8,271.3761246
1/1/1995,15:00,373,1415,51,1,11,0,1,17,51,1,11,60,1,11,0,1,17,60,1,11,209,1,23,10,A,7,10,E,9,0,A,7,0,A,7,100,A,7,983,A,7,290,A,7,2,A,7,200,B,7,30,A,7,0.7,E,8,0.06,F,8,0.37,F,8,0,1,D,9,45,C,8,271.3186479
1/1/1995,16:00,207,1415,24,1,11,0,1,17,24,1,11,28,1,11,0,1,17,28,1,11,94,1,23,10,A,7,10,E,9,0,A,7,0,A,7,100,A,7,983,A,7,190,A,7,2.5,A,7,200,B,7,30,A,7,0.7,E,8,0.06,F,8,0.37,F,8,0,1,D,9,45,C,8,271.3313248
1/1/1995,17:00,30,790,3,1,11,0,1,17,3,1,11,0,1,11,0,1,17,0,1,11,0,1,23,10,A,7,10,E,9,0.5,A,7,0.5,A,7,100,A,7,983,A,7,230,A,7,3,A,7,200,B,7,30,A,7,0.7,E,8,0.06,F,8,0.37,F,8,1,1,D,9,45,C,8,271.633938
1/1/1995,18:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,1.1,A,7,1.1,A,7,100,A,7,983,A,7,250,A,7,3,A,7,200,B,7,30,A,7,0.7,E,8,0.06,F,8,0.37,F,8,1,1,D,9,45,C,8,272.127756
1/1/1995,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,0.5,A,7,0.5,A,7,100,A,7,983,A,7,260,A,7,3,A,7,400,B,7,30,A,7,0.7,E,8,0.06,F,8,0.37,F,8,1,1,D,9,45,C,8,272.2792905
1/1/1995,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,0.5,A,7,0.5,A,7,100,A,7,983,A,7,230,A,7,2.5,A,7,400,B,7,30,A,7,0.7,E,8,0.06,F,8,0.37,F,8,0,1,D,9,45,C,8,272.2362401
1/1/1995,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,0.5,A,7,0.5,A,7,100,A,7,982,A,7,270,A,7,4.6,A,7,400,B,7,30,A,7,0.6,E,8,0.06,F,8,0.37,F,8,0,1,D,9,45,C,8,272.2153132
1/1/1995,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,0.5,A,7,0.5,A,7,100,A,7,982,A,7,260,A,7,4.1,A,7,2400,B,7,150,A,7,0.6,E,8,0.06,F,8,0.37,F,8,0,1,D,9,45,C,8,272.205233
1/1/1995,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,0.5,A,7,0.5,A,7,100,A,7,981,A,7,260,A,7,5.6,A,7,2000,B,7,150,A,7,0.6,E,8,0.06,F,8,0.37,F,8,0,1,D,9,45,C,8,272.2003831
1/1/1995,24:00:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,0.5,A,7,0.5,A,7,100,A,7,981,A,7,250,A,7,5.6,A,7,2000,B,7,150,A,7,0.6,E,8,0.06,F,8,0.37,F,8,0,1,D,9,45,C,8,272.1980509
1/2/1995,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,0.5,A,7,0,A,7,96,A,7,981,A,7,250,A,7,4.1,A,7,800,B,7,120,A,7,0.6,E,8,0.06,F,8,0.37,F,8,0,1,D,9,45,C,8,272.1969296
1/2/1995,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,0,A,7,0,A,7,100,A,7,981,A,7,260,A,7,3.6,A,7,2000,B,7,120,A,7,0.6,E,8,0.06,F,8,0.37,F,8,3,1,D,9,45,C,8,272.0388706
1/2/1995,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,0.5,A,7,0,A,7,96,A,7,981,A,7,250,A,7,3,A,7,2000,B,7,120,A,7,0.6,E,8,0.06,F,8,0.37,F,8,3,1,D,9,45,C,8,272.026281
1/2/1995,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,0,A,7,0,A,7,100,A,7,980,A,7,270,A,7,4.1,A,7,2000,B,7,120,A,7,0.6,E,8,0.06,F,8,0.37,F,8,3,1,D,9,45,C,8,271.9550435
1/2/1995,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,0,A,7,-0.6,A,7,95,A,7,980,A,7,290,A,7,4.6,A,7,2000,B,7,120,A,7,0.5,E,8,0.06,F,8,0.37,F,8,4,1,D,9,45,C,8,271.8258374
1/2/1995,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-0.6,A,7,-0.6,A,7,100,A,7,980,A,7,270,A,7,6.1,A,7,2000,B,7,150,A,7,0.5,E,8,0.06,F,8,0.37,F,8,0,1,D,9,45,C,8,271.5769726
